"Tỉnh, thành phố",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-AGG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2,2
geoId-BR-VT,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4,5,5
,5.0,5.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,3.0,3.0,5.0,5,5,5
,,,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4,3,3
geoId-BTN,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
geoId-BDH,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4,4,4
geoId-BLU,,,,,,,,,,1.0,1.0,4.0,5,5,5
geoId-BGG,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,8.0,8.0,8.0,8,6,5
geoId-BKN,,,,,,,,,,,,,1,1,1
geoId-BNH,,,,,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3,3,3
geoId-SCC,15.0,16.0,18.0,22.0,24.0,35.0,23.0,27.0,26.0,33.0,43.0,51.0,55,63,63
geoId-BTE,,,,,,,,1.0,1.0,1.0,1.0,1.0,2,2,2
geoId-CMU,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4,3,2
,72.0,85.0,101.0,116.0,115.0,130.0,139.0,160.0,168.0,189.0,212.0,240.0,250,254,258
geoId-CTO,,,,,1.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,6,5,5
geoId-GLI,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1
geoId-HNM,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3,3,4
geoId-HNI,11.0,13.0,18.0,20.0,15.0,16.0,19.0,24.0,22.0,22.0,22.0,26.0,29,28,28
geoId-HTH,1.0,1.0,1.0,1.0,3.0,15.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1,1
geoId-HBH,1.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3,3,3
,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3,3,3
geoId-HPG,7.0,7.0,7.0,9.0,7.0,7.0,9.0,10.0,10.0,11.0,10.0,10.0,11,11,11
geoId-HGG,,,,,,,,,,1.0,1.0,1.0,1,1,1
geoId-KHA,,,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,10.0,10,10,11
geoId-KGG,,,,,,,,,,1.0,1.0,1.0,1,1,1
geoId-KTM,,,,,,,,,,,,,1,1,1
geoId-LCU,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2
geoId-LAN,,,,,,,,,,,1.0,1.0,1,1,1
geoId-LCI,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1,2
geoId-LDG,,1.0,,1.0,,,,,,1.0,2.0,2.0,2,1,3
geoId-LSN,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2,2,3
geoId-NAN,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,7.0,13.0,17.0,19,27,27
geoId-NBH,,,,,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2,2,2
geoId-NTN,,,,,,,,1.0,1.0,1.0,1.0,1.0,1,1,1
geoId-PTO,,,,,1.0,,1.0,1.0,2.0,2.0,2.0,3.0,4,4,4
geoId-PYN,,,,,,,,,,1.0,1.0,1.0,1,1,1
geoId-QBH,,,,,,1.0,1.0,1.0,,,1.0,1.0,1,1,1
geoId-QNM,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1,1,0
geoId-QNI,,,,,,,,,,,,1.0,2,2,2
geoId-QNH,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,7,7,7
geoId-QTI,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,1,1
geoId-STG,,,,,,,,,1.0,1.0,1.0,2.0,2,2,2
geoId-SLA,,,,2.0,2.0,,,,,,1.0,1.0,1,1,1
geoId-THA,2.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,,1.0,2.0,2.0,2,2,2
geoId-TBH,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1,2,2
geoId-TNN,,,,,,,,3.0,3.0,5.0,6.0,6.0,3,4,4
geoId-TTH,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3,3,3
geoId-TGG,2.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1,1,2
geoId-HCM,18.0,21.0,24.0,27.0,26.0,31.0,33.0,37.0,40.0,43.0,45.0,49.0,45,46,47
geoId-NT,4.0,6.0,9.0,7.0,10.0,10.0,13.0,16.0,18.0,25.0,28.0,31.0,29,28,29
geoId-TVH,,,,,,,,,1.0,1.0,1.0,1.0,2,2,2
geoId-TQG,,,,,,,,,,1.0,1.0,1.0,1,1,1
geoId-TNN,,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,6.0,6.0,8,8,9
geoId-TNH,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2,2,2
geoId-VLG,,,1.0,1.0,,,,,,1.0,1.0,,1,1,1
geoId-VPC,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2
