"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,494.3,494.6,472.4,1132.1,1234.1,1495.5,1676.3,1517.7,1692.5,1637.1,1792.6,1824.2,1935.4,1996.6,2086.0,2146.5,2305.3,2466.7,2761.96,3092.6,2225.3,1712.4,2410.0
geoId-BR-VT,801.66,876.5,831.6,891.3,1175.5,1385.8,1561.0,1707.0,1861.5,1978.7,2008.4,2048.6,2273.2,2399.8,2522.6,2643.7,2672.8,2803.8,3149.33,3263.0,2747.2,2379.96,3545.94
geoId-BDG,114.0,119.3,152.5,179.7,317.4,467.6,654.3,872.1,1214.7,1525.2,1804.3,1941.0,2111.0,2257.9,2420.2,2686.4,2979.2,3104.3,3275.72,3425.1,2362.5,1867.56,2578.16
geoId-BPC,375.6,380.1,389.3,397.5,462.3,514.7,572.3,619.6,656.5,730.9,811.3,904.5,978.1,1053.6,1099.9,1176.9,1305.2,1438.3,1698.01,1699.8,1155.2,658.62,1179.5
geoId-BTN,296.63,301.11,301.5,323.5,352.2,389.2,431.1,438.0,457.2,475.3,542.3,562.4,608.7,642.9,669.7,746.0,812.4,895.3,1054.22,1145.6,1002.8,349.54,770.08
geoId-BDH,702.0,738.7,751.3,748.0,780.0,970.5,1052.6,1227.9,1306.5,1332.5,1364.3,2104.9,2260.5,2459.1,2623.9,2794.5,2998.5,3199.4,3920.38,4297.4,2912.8,1717.68,3316.21
geoId-BLU,218.1,235.9,249.5,358.5,408.7,513.6,578.5,618.2,770.1,835.4,839.6,862.2,912.4,934.2,965.6,1073.7,1173.6,1283.9,1391.68,1502.2,1567.8,1538.64,2367.38
geoId-BGG,233.7,239.1,204.9,289.2,365.9,389.5,469.5,570.3,654.6,775.4,977.5,977.0,1081.4,1163.6,1225.2,1263.4,1363.2,1476.3,1595.5,1819.1,1227.9,761.5,1140.6
geoId-BKN,33.7,35.8,37.0,65.4,119.4,115.9,119.8,122.6,146.2,194.7,194.7,222.7,216.6,210.9,220.8,227.6,231.9,230.3,203.1,259.0,257.2,111.7,122.2
geoId-BNH,95.9,102.3,105.3,134.1,107.3,122.3,149.4,200.9,244.7,280.0,333.2,338.9,368.8,389.3,401.2,442.9,492.6,549.7,761.89,840.9,550.0,311.51,315.62
