dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường hàng không
geoId-VNM,1995,115.3,118.8,107.9,108.5,172.7
geoId-VNM,1996,109.7,106.0,113.0,113.9,96.4
geoId-VNM,1997,105.1,109.5,105.8,104.4,99.3
geoId-VNM,1998,104.3,102.7,105.8,104.0,98.6
geoId-VNM,1999,105.3,107.1,105.4,103.0,104.5
geoId-VNM,2000,106.4,117.6,105.2,101.8,108.4
geoId-VNM,2001,109.7,107.1,104.6,107.3,139.4
geoId-VNM,2002,110.5,107.9,109.4,109.8,116.2
geoId-VNM,2003,112.8,110.1,119.0,92.6,100.1
geoId-VNM,2004,115.3,107.6,112.5,115.3,131.7
geoId-VNM,2005,112.8,104.3,112.7,107.9,118.8
geoId-VNM,2006,110.8,95.0,112.9,93.6,115.2
geoId-VNM,2007,112.4,107.5,113.3,98.8,114.6
geoId-VNM,2008,108.8,97.9,109.8,103.0,110.0
geoId-VNM,2009,109.0,90.7,113.4,93.9,102.2
geoId-VNM,2010,114.9,105.8,112.5,104.8,128.2
geoId-VNM,2011,111.0,104.4,112.7,89.4,110.0
geoId-VNM,2012,106.7,100.6,108.9,99.3,101.5
geoId-VNM,2013,107.3,96.0,106.3,102.8,113.8
geoId-VNM,2014,111.7,101.5,107.3,102.5,129.1
geoId-VNM,2015,111.2,92.6,108.8,102.6,121.2
geoId-VNM,2016,109.32,82.46,108.37,105.07,114.66
geoId-VNM,2017,110.5,105.95,109.8,108.84,112.6
geoId-VNM,2018,110.62,97.71,104.29,128.4,124.93
geoId-VNM,2019,111.65,89.06,110.16,136.19,114.07
geoId-VNM,2020,65.48,47.84,78.26,44.48,44.09
geoId-VNM,2021,62.08,42.39,69.21,44.14,40.83
geoId-VNM,Sơ bộ 2022,195.7,249.84,158.29,294.27,394.17
