"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,864.83,1013.86,1054.51,1388.7,1445.7,1654.5,1780.9,1600.6,1783.7,1687.7,2112.4,2147.4,2267.9,2335.9,2500.0,2586.4,2772.5,2956.8,3312.5,3711.0,2302.3,1779.7,2533.8
geoId-BR-VT,832.0,910.8,900.2,943.1,1230.4,1446.4,1625.7,1773.7,1886.6,1994.0,2163.5,2194.8,2432.1,2560.0,2522.6,2752.2,2788.1,2926.7,3287.91,3376.4,2747.2,2384.27,3551.52
geoId-BDG,114.5,119.9,153.3,180.4,318.4,468.7,655.8,873.7,1216.6,1527.4,1822.2,1959.2,2113.0,2259.9,2422.6,2686.4,2981.7,3106.8,3278.86,3428.4,2362.5,1869.65,2580.84
geoId-BPC,375.6,380.1,389.3,397.5,462.3,514.7,572.3,619.6,656.5,730.9,811.3,904.5,978.1,1053.6,1099.9,1176.9,1305.2,1438.3,1698.01,1729.4,1155.2,658.62,1179.5
geoId-BTN,296.63,301.11,301.5,323.5,352.2,389.2,431.1,438.0,457.2,479.5,546.2,568.3,609.1,646.0,673.1,746.0,812.4,895.3,1054.22,1146.4,1010.1,355.29,784.46
geoId-BDH,706.1,742.8,755.0,755.1,784.9,975.6,1057.5,1230.0,1307.4,1333.3,1365.3,2105.8,2261.4,2460.1,2624.8,2794.5,2999.5,3200.5,3922.33,4300.0,2912.8,1718.55,3322.72
geoId-BLU,320.6,341.4,367.6,431.6,491.0,572.4,654.5,697.6,871.9,955.3,957.2,983.4,1044.6,1073.7,1120.5,1244.8,1362.7,1481.3,1605.13,1718.1,1883.8,1847.34,3164.33
geoId-BGG,233.7,239.1,204.9,289.2,365.9,389.5,469.5,570.4,654.5,775.4,977.5,977.8,1082.0,1164.4,1225.2,1263.4,1364.1,1477.2,1596.42,1820.2,1227.9,762.0,1141.5
geoId-BKN,34.5,36.6,37.9,66.4,120.5,116.6,120.4,123.6,147.6,196.2,203.7,227.1,221.4,215.9,220.8,227.6,237.2,235.6,207.78,235.2,257.2,112.3,128.1
geoId-BNH,96.2,102.5,105.5,134.3,107.5,122.5,149.7,202.1,246.3,281.0,335.2,341.2,371.3,391.7,403.2,444.4,494.3,551.5,764.38,843.5,550.7,311.87,315.87
geoId-SCC,4539.54,4644.34,4602.24,5056.8,5706.4,6379.2,7237.2,8413.8,9770.9,11339.5,13074.4,14986.0,16293.6,17445.8,18442.2,20224.1,22005.6,23970.6,25152.86,28043.5,21504.5,15049.02,25395.79
geoId-BTE,499.8,534.7,622.2,690.5,718.2,831.1,864.7,957.8,968.4,963.0,1109.1,1274.1,1348.8,1462.5,1439.3,1538.7,1655.4,1786.6,1964.79,2105.4,1745.6,1561.47,1915.0
geoId-CBG,80.2,100.91,101.4,103.8,103.3,63.9,71.9,73.5,96.1,74.0,78.7,73.4,76.3,79.9,82.9,94.3,97.7,98.1,94.17,98.8,40.4,33.93,49.16
geoId-CMU,647.8,680.5,806.59,895.7,913.0,985.3,979.1,853.0,715.4,642.2,709.1,725.0,764.2,788.5,821.2,840.8,872.8,921.3,1047.63,1156.2,856.3,658.26,1053.54
geoId-VNM,24159.61,25329.55,27693.57,32082.8,36173.9,40273.6,45079.4,50641.5,56062.7,62505.0,71942.9,80869.0,86578.1,92707.1,98482.6,106282.2,114350.7,124015.4,135274.64,150189.7,114557.8,79928.04,127057.5
