"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,14.9,18.3,23.46,33.9,36.5,36.2,48.4,53.3,61.6,65.8,68.4,71.3,70.8,68.1,75.1,77.1,82.3,89.0,98.95,110.0,84.1,65.6,92.0
geoId-BR-VT,11.5,13.7,12.6,14.2,16.4,19.2,22.1,24.1,26.4,28.0,28.5,29.0,33.9,35.9,36.4,37.5,37.7,40.1,45.09,46.5,38.3,33.05,49.56
geoId-BDG,2.7,2.9,2.9,3.8,4.4,6.3,8.9,12.1,13.8,18.3,21.7,23.1,24.1,25.9,28.2,31.4,34.2,36.5,38.9,40.7,30.4,24.8,35.45
geoId-BPC,2.6,2.6,2.7,2.7,4.0,4.3,4.9,5.3,5.5,6.2,6.7,7.7,8.0,8.5,8.7,9.2,10.0,10.3,12.38,14.0,9.4,5.49,9.86
geoId-BTN,8.8,8.9,7.6,7.8,9.0,9.5,10.2,10.6,11.2,11.8,13.0,13.4,14.2,15.1,16.2,17.8,17.5,19.2,24.86,27.1,22.8,12.06,14.4
geoId-BDH,12.8,13.2,13.4,14.1,14.4,17.9,19.4,20.9,22.3,22.6,23.2,24.3,25.9,26.6,27.9,29.7,31.3,33.0,38.35,43.2,28.6,17.07,32.68
geoId-BLU,11.6,12.7,12.9,16.8,18.6,20.2,24.3,27.2,33.1,35.6,35.6,37.2,38.2,38.8,40.2,45.1,49.7,54.7,58.83,63.3,60.6,59.99,93.23
geoId-BGG,3.3,3.4,3.4,3.7,4.1,4.7,5.7,7.5,9.5,11.7,14.8,16.1,17.3,18.3,19.9,20.6,21.3,22.6,24.36,27.9,18.6,16.0,24.3
geoId-BKN,0.6,0.6,0.7,1.1,1.1,1.2,1.3,1.3,1.5,2.1,2.1,2.4,2.4,2.2,2.5,2.6,2.7,2.7,2.64,3.0,3.0,1.1,1.2
geoId-BNH,1.5,1.7,1.8,2.2,2.6,2.8,3.4,3.7,4.1,4.6,5.6,6.2,6.6,7.1,7.9,8.7,9.7,10.8,12.69,14.2,8.9,5.13,6.73
geoId-SCC,80.89,80.32,80.4,87.5,97.9,109.1,124.3,137.8,151.1,166.5,186.3,202.3,219.2,228.9,245.4,262.8,283.6,308.1,319.88,357.8,256.1,185.19,302.49
geoId-BTE,9.6,10.9,10.4,12.6,14.2,16.8,18.2,20.5,21.0,22.3,26.6,30.5,31.3,28.2,29.2,32.2,34.8,38.2,42.11,44.4,41.1,32.89,40.5
geoId-CBG,1.0,1.1,1.1,1.2,1.3,1.1,0.9,1.0,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,1.9,2.0,2.2,2.3,1.2,1.01,1.43
geoId-CMU,15.89,17.1,17.7,18.4,18.0,19.0,21.1,23.2,29.2,18.6,18.6,19.2,21.4,21.5,22.9,23.9,24.8,26.9,29.6,32.9,32.7,26.2,41.11
geoId-VNM,610.34,666.0,715.53,915.7,1024.5,1153.8,1309.4,1451.8,1601.3,1816.4,2113.2,2299.7,2497.5,2654.5,2856.0,3096.2,3349.4,3672.2,4004.68,4427.3,3241.8,2306.42,3694.44
geoId-CTO,72.3,75.7,80.6,43.1,49.2,61.1,65.7,66.7,67.1,68.5,76.2,83.3,88.9,95.3,95.7,84.8,86.1,94.5,102.09,105.4,95.6,13.0,28.71
geoId-GLI,2.1,2.3,2.3,2.4,2.6,3.2,3.4,3.8,4.8,5.8,5.8,8.9,9.6,10.2,10.9,12.5,14.2,15.2,16.26,18.3,18.7,13.61,17.65
