dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,763.61,61.65,701.96,
geoId-VNM,2001,821.81,75.42,737.81,8.57
geoId-VNM,2002,878.53,106.3,763.48,8.75
geoId-VNM,2003,1076.0,252.6,812.1,11.3
geoId-VNM,2004,1202.9,254.9,936.8,11.2
geoId-VNM,2005,1349.6,296.9,1040.1,12.6
geoId-VNM,2006,1493.8,343.5,1135.7,14.6
geoId-VNM,2007,1638.0,344.0,1279.3,14.7
geoId-VNM,2008,1793.5,367.7,1411.5,14.3
geoId-VNM,2009,2016.9,383.0,1619.7,14.2
geoId-VNM,2010,2315.2,437.1,1863.0,15.1
geoId-VNM,2011,2476.1,475.9,1984.3,15.9
geoId-VNM,2012,2676.5,467.5,2192.6,16.4
geoId-VNM,2013,2839.9,481.8,2341.2,16.9
geoId-VNM,2014,3056.8,500.9,2538.6,17.3
geoId-VNM,2015,3310.5,522.8,2770.0,17.7
geoId-VNM,2016,3623.2,541.6,3063.0,18.6
geoId-VNM,2017,4027.1,589.2,3418.7,19.2
geoId-VNM,2018,4291.46,626.07,3645.84,19.55
geoId-VNM,2019,4776.72,620.97,4135.25,20.5
geoId-VNM,2020,3466.35,358.18,3090.06,18.12
geoId-VNM,2021,2519.84,259.54,2245.18,15.12
geoId-VNM,Sơ bộ 2022,4024.97,418.6,3580.21,26.16
