dia phuong,Năm,Số thuê bao điện thoại,Số thuê bao di động trong số thuê bao điện thoại,Số thuê bao internet băng rộng cố định (ADSL)
geoId-VNM,2005,,,
geoId-VNM,2006,180.0,226.5,246.0
geoId-VNM,2007,197.0,228.0,250.5
geoId-VNM,2008,159.5,166.3,158.3
geoId-VNM,2009,125.6,131.2,144.8
geoId-VNM,2010,111.9,113.6,123.7
geoId-VNM,2011,109.2,114.1,104.6
geoId-VNM,2012,102.7,103.4,124.4
geoId-VNM,2013,92.4,94.0,107.9
geoId-VNM,2014,106.7,107.1,116.5
geoId-VNM,2015,92.9,93.5,127.6
geoId-VNM,2016,101.3,101.2,118.8
geoId-VNM,2017,91.1,91.7,123.9
geoId-VNM,2018,112.83,113.39,115.3
geoId-VNM,2019,96.36,96.73,113.92
geoId-VNM,2020,99.7,98.0,112.5
geoId-VNM,2021,99.17,99.22,116.09
geoId-VNM,Sơ bộ 2022,102.5,103.14,109.93
