dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,103.05,103.11,103.16,103.25,103.34,103.28,103.13,103.43,103.56,103.67,104.19,104.16
geoId-VNM,2011,104.25,104.13,104.51,105.25,106.23,106.27,106.46,106.29,106.21,106.41,105.99,105.81
geoId-VNM,2012,105.7,105.69,105.45,104.63,103.73,103.95,107.01,112.55,131.34,138.52,145.38,145.23
geoId-VNM,2013,155.59,156.04,155.4,160.63,162.63,162.03,156.84,154.86,132.39,125.09,119.04,118.97
geoId-VNM,2014,110.96,110.37,110.37,106.56,104.97,105.65,105.65,101.7,101.89,102.33,102.3,102.25
geoId-VNM,2015,102.37,102.36,102.33,102.49,102.45,102.09,102.19,102.0,102.2,101.67,101.68,101.79
geoId-VNM,2016,101.71,101.73,126.44,126.77,126.8,126.39,126.22,133.98,133.43,146.84,148.09,155.72
geoId-VNM,2017,156.97,157.21,135.93,146.21,146.2,146.14,146.64,142.06,142.39,132.13,131.22,127.79
geoId-VNM,2018,128.83,128.63,122.02,112.95,112.94,112.96,105.96,103.03,102.82,100.69,100.5,103.65
geoId-VNM,2019,101.8,101.75,99.8,99.79,99.69,99.71,105.93,108.88,108.83,108.84,108.88,102.99
geoId-VNM,2020,103.14,103.26,103.28,103.3,103.41,103.37,103.38,100.58,100.6,100.57,100.53,100.51
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
