dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,100.0,100.2,98.8,100.0,99.9,100.3,100.8,99.4,100.4,100.6,100.5,100.3
geoId-VNM,2003,100.3,100.1,100.0,100.1,100.0,100.5,100.0,100.3,102.0,101.1,100.4,100.1
geoId-VNM,2004,100.2,100.0,96.6,100.1,100.1,99.9,100.4,100.4,100.4,100.3,99.7,100.1
geoId-VNM,2005,100.1,100.0,100.1,100.2,100.1,100.7,100.6,100.6,101.3,100.7,100.2,100.4
geoId-VNM,2006,100.1,100.1,100.1,100.1,100.3,99.8,100.3,100.3,100.7,101.6,100.1,100.1
geoId-VNM,2007,100.19,100.2,100.06,100.17,100.07,100.17,100.08,100.28,100.39,100.2,100.06,100.08
geoId-VNM,2008,100.2,100.1,100.3,100.38,100.45,100.67,101.02,101.16,101.4,100.69,100.12,100.17
geoId-VNM,2009,100.07,100.04,100.09,100.1,100.04,100.07,100.21,100.15,104.33,100.73,100.06,100.08
geoId-VNM,2010,100.27,100.12,100.18,100.12,100.07,100.09,100.11,101.29,112.02,103.9,100.23,100.07
geoId-VNM,2011,102.89,100.89,100.9,100.29,100.25,100.47,100.26,101.13,108.62,103.2,100.08,100.05
geoId-VNM,2012,100.02,100.07,101.11,101.63,100.07,100.1,100.11,100.48,110.54,101.88,100.13,100.09
geoId-VNM,2013,100.3,100.03,100.04,100.05,100.02,100.03,100.09,100.9,109.38,100.53,100.1,100.02
geoId-VNM,2014,100.01,100.01,100.03,100.06,100.01,100.01,100.03,100.22,106.38,101.31,100.03,100.03
geoId-VNM,2015,100.08,100.03,100.01,100.01,100.0,100.0,100.01,100.87,101.24,100.05,100.06,100.04
geoId-VNM,2016,100.89,100.26,100.66,100.37,100.02,100.06,100.0,100.47,107.19,100.61,100.0,100.0
geoId-VNM,2017,100.47,100.0,100.75,100.01,100.02,100.09,100.05,100.57,105.0,100.19,100.03,100.0
geoId-VNM,2018,100.03,100.02,100.01,100.06,100.0,100.11,100.05,100.46,105.07,100.58,100.05,100.0
geoId-VNM,2019,100.15,99.53,100.01,100.05,100.05,100.23,100.22,100.57,103.15,100.19,100.04,100.01
geoId-VNM,2020,100.02,100.04,100.04,100.0,100.0,100.01,100.02,100.18,102.08,101.35,100.0,100.01
geoId-VNM,2021,100.33,100.0,100.01,100.03,100.03,100.03,100.03,100.04,97.11,100.25,99.08,99.57
geoId-VNM,2022,100.03,100.51,100.1,100.96,100.17,100.07,100.2,101.46,105.84,102.35,99.37,100.32
