dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thuỷ sản",Công nghiệp và xây dựng,Dịch vụ,Thuế sản phẩm trừ trợ cấp sản phẩm
geoId-VNM,Sơ bộ 2022,9548737.67,1141602.12,3645266.52,3945763.2,816105.84
geoId-VNM,1986,599.0,228.0,173.0,198.0,
geoId-VNM,1987,2870.0,1164.0,814.0,892.0,
geoId-VNM,1988,15420.0,7139.0,3695.0,4586.0,
geoId-VNM,1989,28093.0,11818.0,6444.0,9831.0,
geoId-VNM,1990,41955.0,16252.0,9513.0,16190.0,
geoId-VNM,1991,76707.0,31058.0,18252.0,27397.0,
geoId-VNM,1992,110532.0,37513.0,30135.0,42884.0,
geoId-VNM,1993,140258.0,41895.0,40535.0,57828.0,
geoId-VNM,1994,178534.0,48968.0,51540.0,78026.0,
geoId-VNM,1995,228892.0,62219.0,65820.0,100853.0,
geoId-VNM,1996,272036.0,75514.0,80876.0,115646.0,
geoId-VNM,1997,313623.0,80826.0,100595.0,132202.0,
geoId-VNM,1998,361017.0,93073.0,117299.0,150645.0,
geoId-VNM,1999,399942.0,101723.0,137959.0,160260.0,
geoId-VNM,2000,441646.0,108356.0,162220.0,171070.0,
geoId-VNM,2001,481295.0,111858.0,183515.0,185922.0,
geoId-VNM,2002,535762.0,123383.0,206197.0,206182.0,
geoId-VNM,2003,613443.0,138285.0,242126.0,233032.0,
geoId-VNM,2004,715307.0,155992.0,287616.0,271699.0,
geoId-VNM,2005,914001.0,176402.0,348519.0,389080.0,
geoId-VNM,2006,1061565.0,198797.0,409602.0,453166.0,
geoId-VNM,2007,1246769.0,232586.0,480151.0,534032.0,
geoId-VNM,2008,1616047.0,329886.0,599193.0,686968.0,
geoId-VNM,2009,1809149.0,346786.0,676408.0,785955.0,
geoId-VNM,2010,2739843.17,421253.37,904775.04,1113126.28,300688.48
geoId-VNM,2011,3539881.31,575554.56,1224105.43,1377262.14,362959.19
geoId-VNM,2012,4073762.29,659929.43,1460860.62,1593608.56,359363.67
geoId-VNM,2013,4473655.6,680694.09,1591509.71,1813709.91,387741.89
geoId-VNM,2014,4937031.68,734647.54,1742701.51,2020411.56,439271.07
geoId-VNM,2015,5191323.73,751429.89,1778887.37,2190375.68,470630.79
geoId-VNM,2016,5639401.0,779266.83,1923894.56,2416736.54,519503.08
geoId-VNM,2017,6293904.55,813794.27,2227435.73,2679990.15,572684.4
geoId-VNM,2018,7009042.13,862579.58,2561274.55,2955777.4,629410.6
geoId-VNM,2019,7707200.29,908257.22,2836491.47,3273149.53,689302.07
geoId-VNM,2020,8044385.73,1018050.0,2955806.03,3365059.9,705470.32
geoId-VNM,2021,8487475.6,1069685.0,3173596.07,3501715.16,742480.14
