dia phuong,Năm,Tổng sản phẩm trong nước (Tỷ đồng),Tổng thu nhập quốc gia (Tỷ đồng),Thu nhập thuần tuý từ nước ngoài (Tỷ đồng),Tỷ lệ tổng thu nhập quốc gia so với tổng sản phẩm trong nước (%)
geoId-VNM,Sơ bộ 2022,9548737.67,9085303.04,-463434.63,95.15
geoId-VNM,1990,41955.0,39284.0,-2671.0,93.6
geoId-VNM,1991,76707.0,72620.0,-4087.0,94.7
geoId-VNM,1992,110532.0,106757.0,-3775.0,96.6
geoId-VNM,1993,140258.0,134913.0,-5345.0,96.2
geoId-VNM,1994,178534.0,174017.0,-4517.0,97.5
geoId-VNM,1995,228892.0,228677.0,-215.0,99.9
geoId-VNM,1996,272036.0,269654.0,-2382.0,99.1
geoId-VNM,1997,313623.0,308600.0,-5023.0,98.4
geoId-VNM,1998,361017.0,352836.0,-8181.0,97.7
geoId-VNM,1999,399942.0,392693.0,-7249.0,98.2
geoId-VNM,2000,441646.0,435319.0,-6327.0,98.6
geoId-VNM,2001,481295.0,474855.0,-6440.0,98.7
geoId-VNM,2002,535762.0,527056.0,-8706.0,98.4
geoId-VNM,2003,613443.0,603688.0,-9755.0,98.4
geoId-VNM,2004,715307.0,701906.0,-13401.0,98.1
geoId-VNM,2005,914001.0,897222.0,-16779.0,98.16
geoId-VNM,2006,1061565.0,1038755.0,-22810.0,97.85
geoId-VNM,2007,1246769.0,1211806.0,-34963.0,97.2
geoId-VNM,2008,1616047.0,1567964.0,-48083.0,97.02
geoId-VNM,2009,1809149.0,1731221.0,-77928.0,95.69
geoId-VNM,2010,2739843.17,2654839.22,-85003.95,96.9
geoId-VNM,2011,3539881.31,3440740.05,-99141.26,97.2
geoId-VNM,2012,4073762.29,3944024.68,-129737.61,96.82
geoId-VNM,2013,4473655.6,4320071.29,-153584.31,96.57
geoId-VNM,2014,4937031.68,4749963.56,-187068.11,96.21
geoId-VNM,2015,5191323.73,4927883.62,-263440.11,94.93
geoId-VNM,2016,5639401.0,5329176.69,-310224.31,94.5
geoId-VNM,2017,6293904.55,5913669.01,-380235.54,93.96
geoId-VNM,2018,7009042.13,6651467.84,-357574.29,94.9
geoId-VNM,2019,7707200.29,7320005.5,-387194.79,94.98
geoId-VNM,2020,8044385.73,7700497.98,-343887.75,95.73
geoId-VNM,2021,8487475.6,8053248.76,-434226.84,94.88
