"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,105.69,106.84,102.94,100.24,105.29
geoId-BR-VT,99.73,100.59,90.87,94.32,105.76
geoId-BDG,108.51,110.65,106.24,102.78,108.85
geoId-BPC,108.27,110.33,104.94,109.03,110.73
geoId-BTN,108.54,110.31,104.7,102.58,107.76
geoId-BDH,107.31,106.83,103.55,103.97,107.71
geoId-BLU,107.31,104.91,104.25,105.31,110.01
geoId-BGG,116.18,116.13,113.52,108.52,120.09
geoId-BKN,105.14,105.62,104.57,104.41,106.11
geoId-BNH,111.28,101.23,103.42,107.68,106.79
geoId-SCC,109.93,108.6,101.04,104.74,109.85
geoId-BTE,107.6,106.48,100.84,102.64,106.7
geoId-CBG,107.01,104.17,106.02,99.38,105.11
geoId-CMU,103.19,104.58,101.0,97.46,107.27
geoId-CTO,108.15,105.38,99.44,100.11,112.7
geoId-GLI,107.21,104.41,104.08,109.81,107.24
geoId-HBH,108.56,101.0,102.76,103.6,109.52
geoId-HGG,106.13,106.58,102.73,105.11,107.01
geoId-HNM,111.89,111.75,107.14,108.79,110.76
geoId-HNI,107.32,107.75,104.11,102.94,108.95
geoId-HTH,120.85,109.27,102.85,106.11,102.54
geoId-HYN,109.33,109.21,105.97,108.41,113.67
geoId-HDG,109.92,107.39,102.76,108.54,109.17
geoId-HPG,116.2,117.02,110.61,112.86,112.48
geoId-HGG,106.24,107.37,102.47,103.6,113.56
geoId-KHA,107.53,108.46,89.85,94.68,119.3
geoId-KGG,108.89,104.89,103.01,100.34,107.62
geoId-KTM,108.3,107.62,106.81,106.55,109.9
geoId-LCU,106.7,99.05,108.19,104.2,109.27
geoId-LAN,110.59,109.66,104.12,101.29,108.31
geoId-LCI,109.06,108.33,103.34,104.03,109.36
geoId-LDG,107.69,106.2,102.64,103.9,111.01
geoId-LSN,107.75,106.57,103.9,106.75,107.64
geoId-NDH,108.56,107.61,104.54,106.66,107.81
geoId-NAN,108.73,106.87,104.44,106.31,108.92
geoId-NBH,109.69,114.39,107.39,104.17,108.8
geoId-NTN,107.41,114.69,110.38,109.13,108.13
geoId-PTO,109.13,109.4,103.75,106.94,108.61
geoId-PYN,107.75,107.64,103.09,99.86,107.23
geoId-QBH,107.34,107.07,103.16,104.27,107.38
geoId-QNM,107.99,104.26,99.02,105.0,111.01
geoId-QNI,108.31,104.25,99.4,106.95,108.92
geoId-QNH,110.77,112.05,108.04,109.5,110.26
geoId-QTI,107.25,107.64,103.73,106.57,107.22
geoId-STG,106.47,105.91,101.25,102.41,107.87
geoId-SLA,105.83,97.42,107.21,102.72,108.77
geoId-THA,116.58,116.43,105.06,109.67,112.04
geoId-TBH,110.6,109.8,101.79,107.57,108.94
geoId-TNN,109.75,107.19,103.32,106.23,107.72
geoId-TTH,106.72,107.25,102.04,104.24,108.56
geoId-TGG,107.07,104.87,100.3,98.94,106.75
geoId-HCM,107.86,107.95,101.16,95.99,109.26
geoId-NT,109.3,107.2,106.0,105.95,110.85
geoId-TVH,108.93,111.19,103.0,97.93,104.64
geoId-TQG,107.06,106.87,105.89,107.32,108.68
geoId-TNN,107.14,105.64,104.59,106.61,108.74
geoId-TNH,107.85,109.32,103.23,100.74,109.85
geoId-VLG,105.79,106.74,104.96,100.01,113.67
geoId-VPC,108.16,108.2,102.84,108.01,109.47
geoId-YBI,106.34,107.24,105.23,107.31,109.47
geoId-DBN,105.54,104.0,102.49,106.65,110.6
geoId-DNG,108.17,107.04,92.2,101.4,113.43
geoId-ST,106.77,107.28,100.83,97.88,108.73
geoId-DLK,106.47,105.35,106.11,105.79,108.28
geoId-DNG1,106.45,106.06,105.09,108.96,106.71
geoId-MRD,107.4,106.56,102.17,100.45,108.36
geoId-RRD,109.44,108.92,105.16,106.32,109.57
geoId-DNI,108.72,107.49,103.05,101.37,108.37
geoId-DTP,107.01,106.29,101.21,99.42,108.0
