Phân theo địa phương,Năm,Đất sản xuất nông nghiệp,Đất lâm nghiêp,Đất chuyên dùng,Đất ở
geoId-AGG,2020/2019,99.96,100.0,100.0,100.0
geoId-AGG,2021/2020,99.96,99.99,100.11,100.36
geoId-BR-VT,2020/2019,99.81,100.0,100.27,102.63
geoId-BR-VT,2021/2020,100.01,99.94,99.71,101.53
geoId-BDG,2020/2019,99.84,100.0,100.23,101.36
geoId-BDG,2021/2020,145.87,100.0,101.45,100.72
geoId-BPC,2020/2019,99.8,100.0,101.01,106.06
geoId-BPC,2021/2020,63.14,100.25,100.84,105.92
geoId-BTN,2020/2019,100.06,99.94,100.17,100.0
geoId-BTN,2021/2020,100.07,99.82,100.66,100.04
geoId-BDH,2020/2019,99.93,99.97,100.81,100.0
geoId-BDH,2021/2020,99.66,99.97,101.85,101.06
geoId-BLU,2020/2019,100.0,100.0,100.0,100.0
geoId-BLU,2021/2020,99.98,103.99,100.56,100.86
geoId-BGG,2020/2019,99.66,100.0,100.58,101.03
geoId-BGG,2021/2020,99.54,99.93,100.94,101.48
geoId-BKN,2020/2019,99.78,99.98,100.81,100.0
geoId-BKN,2021/2020,99.82,99.96,101.93,100.87
geoId-BNH,2020/2019,98.32,100.0,102.67,101.89
geoId-BNH,2021/2020,99.41,100.0,100.55,101.62
geoId-SCC,2020/2019,99.89,99.96,100.83,100.41
geoId-SCC,2021/2020,99.85,99.9,100.68,100.64
geoId-BTE,2020/2019,99.93,100.0,100.0,101.11
geoId-BTE,2021/2020,99.96,99.99,100.45,100.14
geoId-CBG,2020/2019,99.91,99.98,100.0,100.0
geoId-CBG,2021/2020,99.99,100.0,99.65,100.07
geoId-CMU,2020/2019,99.93,100.07,100.53,100.0
geoId-CMU,2021/2020,99.92,99.95,101.41,100.56
geoId-VNM,2020/2019,99.76,100.15,100.64,100.59
geoId-VNM,2021/2020,99.16,100.23,100.69,100.69
geoId-CTO,2020/2019,99.91,,100.83,100.0
geoId-CTO,2021/2020,99.97,,100.04,100.39
geoId-GLI,2020/2019,99.92,100.0,100.49,100.59
geoId-GLI,2021/2020,99.17,101.4,100.85,100.78
geoId-HBH,2020/2019,100.0,100.0,100.0,100.0
geoId-HBH,2021/2020,99.84,99.88,101.44,100.35
geoId-HGG,2020/2019,99.8,100.17,100.45,100.0
geoId-HGG,2021/2020,100.01,100.4,100.42,100.06
geoId-HNM,2020/2019,100.0,100.0,101.94,101.54
geoId-HNM,2021/2020,99.39,100.0,101.12,100.39
geoId-HNI,2020/2019,99.74,100.0,100.44,100.25
geoId-HNI,2021/2020,99.84,100.0,100.55,100.24
geoId-HTH,2020/2019,99.57,99.91,100.96,103.94
geoId-HTH,2021/2020,99.89,99.98,100.19,101.29
geoId-HYN,2020/2019,99.81,0.0,100.53,101.01
geoId-HYN,2021/2020,98.78,0.0,102.29,102.79
geoId-HDG,2020/2019,99.64,98.9,100.31,100.58
geoId-HDG,2021/2020,99.5,99.94,100.76,100.55
geoId-HPG,2020/2019,100.0,100.0,100.61,100.65
geoId-HPG,2021/2020,99.73,99.5,100.2,100.82
geoId-HGG,2020/2019,100.0,100.0,100.0,100.0
geoId-HGG,2021/2020,99.98,100.0,100.04,99.82
geoId-KHA,2020/2019,99.7,99.96,100.77,101.33
geoId-KHA,2021/2020,99.94,99.49,101.04,100.8
,2020/2019,,,,
,2021/2020,,100.0,,
geoId-KGG,2020/2019,100.0,100.0,100.3,100.0
geoId-KGG,2021/2020,100.0,99.97,100.02,100.14
geoId-KTM,2020/2019,100.0,99.98,100.81,100.0
geoId-KTM,2021/2020,99.71,100.09,100.8,100.35
geoId-LCU,2020/2019,91.19,105.5,100.0,100.0
geoId-LCU,2021/2020,99.82,100.78,101.64,100.13
geoId-LAN,2020/2019,100.39,100.0,100.82,101.0
geoId-LAN,2021/2020,99.92,99.99,100.21,100.62
geoId-LCI,2020/2019,96.15,99.1,100.47,100.0
geoId-LCI,2021/2020,97.6,104.01,101.92,100.23
geoId-LDG,2020/2019,99.95,100.0,100.0,102.63
geoId-LDG,2021/2020,99.86,100.0,100.59,102.63
geoId-LSN,2020/2019,100.0,100.0,100.34,100.0
geoId-LSN,2021/2020,99.82,100.16,100.27,100.9
geoId-NDH,2020/2019,99.89,100.0,100.32,100.88
geoId-NDH,2021/2020,99.53,100.0,100.79,100.44
geoId-NAN,2020/2019,99.8,99.97,100.37,101.13
geoId-NAN,2021/2020,99.79,100.0,100.71,101.24
geoId-NBH,2020/2019,99.67,100.7,100.0,100.0
geoId-NBH,2021/2020,100.44,101.4,98.65,100.46
geoId-NTN,2020/2019,99.07,99.6,109.95,100.0
geoId-NTN,2021/2020,99.57,100.28,98.93,99.85
geoId-PTO,2020/2019,99.83,100.0,100.74,100.0
geoId-PTO,2021/2020,99.84,99.94,100.79,100.66
geoId-PYN,2020/2019,99.94,100.0,100.0,100.0
geoId-PYN,2021/2020,99.92,99.98,100.25,100.15
geoId-QBH,2020/2019,99.78,99.94,101.9,101.47
geoId-QBH,2021/2020,99.88,99.93,101.26,102.24
geoId-QNM,2020/2019,100.0,100.0,100.22,100.0
geoId-QNM,2021/2020,99.92,99.72,100.18,100.18
geoId-QNI,2020/2019,99.94,100.0,100.39,100.84
geoId-QNI,2021/2020,100.03,99.99,100.36,100.83
geoId-QNH,2020/2019,99.33,99.97,101.75,102.2
geoId-QNH,2021/2020,99.32,99.96,100.72,100.19
geoId-QTI,2020/2019,99.84,99.97,101.01,102.22
geoId-QTI,2021/2020,99.84,99.94,101.77,101.15
geoId-STG,2020/2019,99.95,100.0,100.0,100.0
geoId-STG,2021/2020,99.92,99.46,101.49,100.38
geoId-SLA,2020/2019,99.93,100.2,100.24,101.15
geoId-SLA,2021/2020,99.88,101.25,100.16,100.13
geoId-THA,2020/2019,100.29,100.03,100.25,99.12
geoId-THA,2021/2020,99.65,99.98,100.9,100.42
geoId-TNN,2020/2019,99.37,99.95,102.31,101.59
geoId-TNN,2021/2020,99.84,99.95,101.06,100.55
geoId-TBH,2020/2019,100.0,100.0,100.66,100.0
geoId-TBH,2021/2020,99.63,99.86,101.06,100.3
geoId-TTH,2020/2019,99.56,100.0,101.1,100.0
geoId-TTH,2021/2020,99.81,99.93,100.92,100.25
geoId-TGG,2020/2019,99.94,100.0,100.67,100.93
geoId-TGG,2021/2020,99.93,97.22,100.44,100.57
geoId-HCM,2020/2019,99.84,100.0,99.72,100.0
geoId-HCM,2021/2020,99.87,100.0,100.03,100.27
geoId-NT,2020/2019,99.13,100.46,100.64,100.5
geoId-NT,2021/2020,99.74,100.52,100.88,100.66
geoId-TVH,2020/2019,99.93,100.0,100.69,101.69
geoId-TVH,2021/2020,99.93,100.95,99.69,100.52
geoId-TQG,2020/2019,99.9,100.0,100.84,101.56
geoId-TQG,2021/2020,99.85,99.99,101.08,101.76
geoId-TNN,2020/2019,99.94,99.98,100.37,100.68
geoId-TNN,2021/2020,99.71,100.39,100.64,101.05
geoId-TNH,2020/2019,99.92,99.86,100.0,100.0
geoId-TNH,2021/2020,99.87,100.01,99.95,101.66
geoId-VLG,2020/2019,99.92,,104.72,100.0
geoId-VLG,2021/2020,99.96,,100.25,100.26
geoId-VPC,2020/2019,99.82,100.0,100.0,100.0
geoId-VPC,2021/2020,99.61,100.01,100.76,100.64
geoId-YBI,2020/2019,99.92,99.98,100.55,100.0
geoId-YBI,2021/2020,99.87,99.99,100.92,100.67
geoId-DBN,2020/2019,99.79,100.17,102.94,101.82
geoId-DBN,2021/2020,99.97,100.0,101.9,100.2
geoId-DNG,2020/2019,100.0,100.0,100.0,100.0
geoId-DNG,2021/2020,96.55,100.26,100.2,99.83
geoId-ST,2020/2019,99.87,100.0,100.21,101.14
geoId-ST,2021/2020,94.28,100.08,100.92,101.16
geoId-DLK,2020/2019,99.97,100.0,100.35,100.63
geoId-DLK,2021/2020,100.29,100.1,100.64,100.41
geoId-DNG1,2020/2019,99.87,99.91,100.69,100.0
geoId-DNG1,2021/2020,99.74,100.39,100.08,101.51
geoId-MRD,2020/2019,100.0,100.0,100.47,100.44
geoId-MRD,2021/2020,99.96,100.0,100.36,100.38
geoId-RRD,2020/2019,99.7,100.02,100.87,100.54
geoId-RRD,2021/2020,99.61,100.03,100.66,100.66
geoId-DNI,2020/2019,100.0,99.94,99.61,101.03
geoId-DNI,2021/2020,99.47,100.0,102.6,100.69
geoId-DTP,2020/2019,99.92,100.0,100.4,100.0
geoId-DTP,2021/2020,99.98,100.0,100.01,100.08
