"Tỉnh, thành phố",Năm 2010 so với năm 2009,Năm 2011 so với năm 2010,Năm 2012 so với năm 2011,Năm 2013 so với năm 2012,Năm 2014 so với năm 2013,Năm 2015 so với năm 2014,Năm 2016 so với năm 2015,Năm 2017 so với năm 2016,Năm 2018 so với năm 2017,Năm 2019 so với năm 2018,Năm 2020 so với năm 2019,Năm 2021 so với năm 2020,Năm 2022 so với năm 2022
,274.7,-18.2,318.2,582.1,-802.1,445.6,-200.8,473.4,-334.1,-807.4,398.0,-119.1,798.1
geoId-CMU,,201.5,-292.0,-212.6,124.4,231.5,6.9,-128.9,-167.4,255.1,132.0,-264.7,788.3
,-955.1,1627.0,-2111.0,355.7,-416.2,-103.2,1593.2,305.9,-1588.1,-532.7,2828.2,-976.9,78.0
geoId-HNI,-372.9,556.0,6.0,133.5,-274.1,-140.6,111.1,227.7,-163.9,-383.5,435.0,205.8,252.7
geoId-LCU,-118.1,159.9,601.0,37.9,-389.4,27.9,-108.7,992.7,-284.0,-352.6,194.5,-244.6,17.7
geoId-NDH,-182.2,305.8,5.6,-15.5,-35.9,-371.7,262.6,706.0,-518.2,-535.1,376.5,585.8,315.1
,1265.4,-1330.3,354.1,-316.3,-393.2,478.3,941.7,-1011.1,388.7,-788.9,244.9,691.9,-128.0
,,-158.2,-359.7,36.3,213.9,-823.6,255.9,-2.7,442.0,-267.3,49.9,312.6,-462.9
,411.3,-1160.0,-41.9,421.9,-277.0,-276.5,1166.9,-122.0,-552.5,107.8,-657.5,1172.7,3.4
geoId-SLA,207.4,-116.4,386.6,60.0,-125.4,388.8,-331.1,-90.3,157.6,-524.3,179.0,-177.9,701.5
geoId-TQG,,165.2,545.8,-346.6,-149.5,674.5,-678.8,877.8,-838.5,-78.6,64.2,366.8,549.6
,1307.3,-457.9,-366.1,606.8,-1032.8,-2.3,710.7,159.8,-416.0,1276.5,-210.9,-562.9,913.7
,,220.2,-167.3,151.0,10.8,-97.9,86.5,343.7,-138.4,-503.4,356.0,-24.2,250.0
,,-199.1,209.5,75.9,143.6,-127.6,82.4,14.1,-175.6,-191.8,485.3,-407.3,437.4
geoId-DNG,-781.0,1411.0,-1951.7,620.6,-92.6,-351.7,816.3,-403.3,253.7,-388.7,925.8,-484.1,442.3
