Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2002,geoId-LCU,80.0,77.0,77.0,74.0,72.0,82.0,86.0,86.0,80.0,82.0,79.0,80.0
2002,geoId-SLA,80.0,79.0,73.0,71.0,85.0,87.0,89.0,86.0,82.0,83.0,84.0,84.0
2002,geoId-TQG,81.0,84.0,83.0,80.0,83.0,84.0,84.0,84.0,81.0,83.0,85.0,83.0
2002,,,,,,,,,,,,,
2002,,82.0,90.0,86.0,84.0,85.0,86.0,86.0,85.0,77.0,79.0,82.0,84.0
2002,geoId-NDH,84.0,90.0,87.0,87.0,85.0,83.0,82.0,86.0,84.0,85.0,83.0,88.0
2002,,89.0,91.0,88.0,86.0,84.0,75.0,75.0,84.0,87.0,87.0,90.0,92.0
2002,,92.0,91.0,90.0,85.0,84.0,81.0,75.0,81.0,91.0,91.0,94.0,95.0
2002,geoId-DNG,84.0,84.0,85.0,84.0,78.0,78.0,73.0,82.0,86.0,86.0,85.0,87.0
2002,,,,,,,,,,,,,
2002,,80.0,75.0,75.0,74.0,81.0,92.0,94.0,94.0,94.0,88.0,86.0,85.0
2002,,82.0,73.0,78.0,81.0,84.0,90.0,89.0,92.0,91.0,90.0,88.0,87.0
2002,,76.0,77.0,78.0,77.0,76.0,75.0,72.0,77.0,82.0,81.0,87.0,83.0
2002,,77.0,76.0,78.0,77.0,76.0,82.0,81.0,82.0,82.0,84.0,82.0,79.0
2002,geoId-CMU,74.0,75.0,74.0,73.0,76.0,84.0,83.0,86.0,86.0,83.0,84.0,81.0
2002,geoId-HNI,78.0,85.0,82.0,82.0,81.0,80.0,79.0,81.0,76.0,78.0,72.0,81.0
2002,,78.0,79.0,79.0,79.0,76.0,72.0,62.0,73.0,80.0,81.0,87.0,85.0
2003,geoId-LCU,78.0,73.0,63.0,72.0,79.0,79.0,79.0,81.0,74.0,78.0,78.0,73.0
2003,geoId-SLA,82.0,76.0,74.0,73.0,79.0,82.0,82.0,85.0,84.0,77.0,77.0,72.0
2003,geoId-TQG,81.0,81.0,79.0,79.0,81.0,82.0,76.0,89.0,87.0,80.0,76.0,77.0
2003,,,,,,,,,,,,,
2003,,81.0,88.0,84.0,85.0,85.0,83.0,82.0,89.0,85.0,78.0,77.0,75.0
2003,geoId-NDH,84.0,89.0,82.0,85.0,85.0,78.0,81.0,87.0,86.0,78.0,77.0,75.0
2003,,91.0,92.0,90.0,86.0,80.0,70.0,75.0,80.0,84.0,86.0,85.0,85.0
2003,,90.0,92.0,91.0,84.0,81.0,78.0,77.0,77.0,87.0,90.0,91.0,92.0
2003,geoId-DNG,84.0,88.0,84.0,84.0,81.0,76.0,79.0,79.0,87.0,85.0,83.0,87.0
2003,,,,,,,,,,,,,
2003,,79.0,78.0,76.0,75.0,86.0,90.0,90.0,93.0,93.0,88.0,85.0,81.0
2003,,80.0,79.0,84.0,82.0,92.0,90.0,91.0,92.0,94.0,91.0,88.0,87.0
2003,,76.0,79.0,78.0,80.0,81.0,75.0,77.0,76.0,78.0,83.0,79.0,77.0
2003,,76.0,78.0,77.0,75.0,81.0,79.0,82.0,83.0,83.0,83.0,79.0,76.0
2003,geoId-CMU,76.0,77.0,80.0,75.0,83.0,82.0,87.0,84.0,86.0,93.0,83.0,78.0
2003,geoId-HNI,76.0,82.0,77.0,81.0,78.0,75.0,80.0,82.0,81.0,72.0,71.0,70.0
2003,,78.0,80.0,81.0,80.0,75.0,72.0,73.0,68.0,74.0,82.0,79.0,81.0
2004,geoId-LCU,83.0,76.0,80.0,86.0,82.0,82.0,87.0,88.0,83.0,82.0,85.0,83.0
2004,geoId-SLA,77.0,75.0,72.0,80.0,83.0,83.0,85.0,86.0,85.0,77.0,82.0,78.0
2004,geoId-TQG,80.0,83.0,81.0,84.0,82.0,81.0,84.0,85.0,82.0,78.0,81.0,81.0
2004,,,,,,,,,,,,,
2004,,81.0,87.0,85.0,88.0,84.0,83.0,87.0,88.0,83.0,73.0,78.0,75.0
2004,geoId-NDH,83.0,87.0,85.0,86.0,72.0,80.0,83.0,86.0,86.0,78.0,82.0,80.0
2004,,90.0,90.0,90.0,89.0,83.0,74.0,73.0,81.0,84.0,83.0,86.0,83.0
2004,,93.0,92.0,91.0,89.0,83.0,80.0,81.0,82.0,88.0,90.0,92.0,90.0
2004,geoId-DNG,86.0,83.0,85.0,84.0,80.0,76.0,80.0,76.0,83.0,83.0,86.0,85.0
2004,,,,,,,,,,,,,
