"Tỉnh, thành phố",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,82.0,80.0,80.8,81.0,82.3,82.1,84.2,83.0,81.9,82.8,81.7,81.8,82.5,82.75,81.0,81.08,81.33
geoId-CMU,83.0,83.0,83.2,82.3,84.0,79.5,81.3,81.0,81.0,80.0,80.6,80.8,80.7,80.83,78.8,79.92,78.67
,85.0,87.0,87.6,87.2,87.1,87.8,85.0,87.0,85.4,85.4,86.8,88.4,86.3,84.92,85.7,84.67,87.75
geoId-HNI,78.0,78.0,79.3,76.9,77.7,77.3,78.5,78.0,78.5,78.3,73.9,76.6,75.0,75.33,75.0,75.0,74.25
geoId-LCU,78.0,81.0,83.8,80.1,79.2,82.3,83.2,83.0,79.6,80.5,81.5,84.3,85.2,79.75,82.2,82.75,84.08
geoId-NDH,83.0,82.0,83.6,82.9,83.0,81.1,84.7,84.0,83.6,82.2,80.7,82.8,82.4,82.67,81.3,81.58,81.83
,78.0,80.0,80.3,79.9,79.2,77.6,78.5,78.0,76.9,77.0,79.4,80.0,78.0,76.08,77.3,78.5,79.67
,83.0,83.0,83.5,83.2,83.0,82.0,80.8,80.0,80.2,80.1,81.2,82.5,81.6,81.08,81.1,81.33,82.17
,77.0,79.0,78.7,77.7,80.8,76.4,75.2,79.0,77.5,80.0,80.4,79.6,76.8,76.42,80.0,78.58,78.83
geoId-SLA,80.0,80.0,82.8,77.9,78.3,81.2,80.2,80.0,79.8,78.7,78.8,78.8,79.3,77.0,79.6,77.92,80.83
geoId-TQG,83.0,82.0,82.2,80.3,79.5,81.9,82.1,81.0,81.7,80.3,79.8,81.5,80.9,81.92,81.5,80.67,80.0
,83.0,82.0,81.9,81.3,81.7,83.0,82.3,84.0,83.3,81.8,81.8,83.6,82.1,81.33,81.1,81.33,81.67
,77.0,78.0,77.8,79.6,81.8,79.1,78.2,78.0,77.6,76.8,78.5,78.5,78.0,76.75,77.5,78.83,79.92
,87.0,86.0,86.8,85.8,85.8,84.3,83.8,84.0,85.8,84.0,84.7,86.0,84.2,82.75,85.1,86.17,86.5
geoId-DNG,81.0,82.0,82.0,81.0,82.4,80.8,79.9,81.0,80.6,80.7,80.6,81.8,79.1,78.08,78.5,77.67,80.25
