"Tỉnh, thành phố",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,106.6,105.1,102.6,105.0,105.7,106.9,108.9,109.9,103.3,103.1,111.1
geoId-BR-VT,99.5,95.1,103.9,100.9,96.1,96.2,99.4,102.1,93.3,95.5,105.7
geoId-BDG,110.4,111.7,107.2,109.3,108.1,110.4,108.4,109.0,106.1,103.0,108.5
geoId-BPC,114.7,112.1,111.2,106.8,106.0,108.8,112.3,111.9,111.7,117.2,120.7
geoId-BTN,107.8,114.9,98.0,113.3,107.3,106.4,120.5,133.0,112.6,99.8,100.6
geoId-BDH,106.8,107.0,105.7,108.5,107.3,108.8,108.7,108.4,105.3,105.8,107.0
geoId-BLU,103.8,105.3,105.2,114.1,103.4,109.0,112.3,112.4,104.1,109.3,114.7
geoId-BGG,122.9,118.7,114.7,116.8,120.3,129.3,129.7,130.1,119.8,112.2,132.9
geoId-BKN,74.9,96.8,91.5,100.8,100.1,100.8,113.8,118.0,104.8,107.1,108.8
geoId-BNH,175.0,149.2,87.5,112.0,105.1,135.5,107.4,88.6,103.9,109.3,104.3
geoId-SCC,,,,,,,,,,,
geoId-BTE,114.8,111.9,102.7,108.5,106.5,108.0,113.8,109.6,104.0,94.8,115.9
geoId-CBG,99.1,110.4,110.9,43.3,122.7,138.9,126.3,108.5,105.7,92.3,111.7
geoId-CMU,109.9,112.4,109.1,100.8,98.2,103.4,108.2,106.1,104.3,100.0,105.5
geoId-VNM,105.8,105.9,107.6,109.8,107.4,111.3,110.1,109.1,103.3,104.7,107.4
geoId-CTO,104.6,107.7,108.2,107.3,108.8,107.2,107.8,107.7,96.5,94.7,129.2
geoId-GLI,121.0,108.1,106.1,99.1,92.3,121.4,113.1,92.5,98.2,119.2,112.8
geoId-HBH,128.7,112.8,101.1,103.3,104.8,113.8,103.6,86.6,100.7,94.3,114.8
geoId-HGG,118.6,105.4,99.5,101.2,109.4,121.1,112.8,107.4,90.9,109.8,118.8
geoId-HNM,130.7,110.9,111.9,124.8,111.1,112.8,113.0,112.8,105.5,112.6,114.1
geoId-HNI,105.0,104.5,104.2,108.3,107.3,107.0,106.9,108.5,104.7,104.8,108.8
geoId-HTH,107.0,113.1,119.1,120.3,120.9,171.0,188.5,125.5,95.5,112.7,83.6
geoId-HYN,108.9,107.2,107.5,108.7,108.5,109.4,110.7,111.6,107.2,108.7,110.4
geoId-HDG,99.0,108.1,114.6,110.6,108.8,109.6,110.0,110.2,102.4,112.6,111.3
geoId-HPG,103.9,106.5,112.9,116.6,116.9,120.0,125.3,124.3,114.6,118.7,114.4
geoId-HGG,135.4,104.5,95.0,106.2,107.3,109.6,111.2,110.2,108.1,104.8,116.9
geoId-KHA,106.8,104.5,103.1,106.8,106.8,107.0,107.0,107.2,100.2,95.6,122.0
geoId-KGG,105.8,108.9,106.2,108.6,106.3,108.5,108.0,111.4,104.0,101.1,117.9
geoId-KTM,115.3,113.4,105.4,105.2,106.3,119.6,114.2,116.4,111.3,113.1,122.4
geoId-LCU,101.2,95.4,115.7,100.2,278.2,129.8,107.1,89.8,129.0,101.6,121.1
geoId-LAN,114.6,113.8,111.6,112.8,113.5,116.2,116.5,115.1,108.0,96.8,109.0
geoId-LCI,104.0,124.0,105.2,112.1,123.3,117.1,114.4,118.8,113.0,101.0,104.6
geoId-LDG,126.0,129.0,116.5,105.5,106.2,110.4,107.2,104.9,100.2,110.6,109.5
geoId-LSN,96.1,103.0,105.2,111.6,107.7,105.1,106.5,109.5,101.7,105.3,107.1
geoId-NDH,116.4,116.1,110.6,110.3,108.8,109.0,111.0,113.8,106.6,118.7,114.3
geoId-NAN,109.7,106.0,110.0,109.0,109.4,117.1,116.6,113.2,108.7,116.9,110.1
geoId-NBH,111.6,111.4,117.4,112.3,101.9,118.6,131.1,126.5,105.6,105.6,104.1
geoId-NTN,110.9,112.1,125.2,109.1,102.1,106.1,109.7,143.6,139.4,124.7,109.3
geoId-PTO,97.5,106.0,106.2,116.6,109.5,108.1,108.3,112.0,102.7,109.3,111.4
geoId-PYN,113.4,106.2,107.3,109.3,106.5,107.8,109.0,111.6,106.6,105.3,113.2
geoId-QBH,108.5,108.7,106.6,109.3,109.2,107.0,107.2,107.4,104.6,104.1,114.1
geoId-QNM,118.2,109.6,105.3,135.0,128.2,95.2,102.5,104.1,92.1,102.3,119.0
geoId-QNI,107.7,116.6,86.9,108.6,100.4,100.6,108.5,113.3,100.4,108.2,109.1
geoId-QNH,92.0,102.3,104.7,105.2,100.1,103.1,108.7,113.5,108.9,113.5,106.0
geoId-QTI,113.0,109.2,104.8,113.6,112.3,115.0,109.2,109.8,104.7,108.7,118.3
geoId-STG,102.0,104.7,125.4,103.5,111.5,110.8,106.8,107.9,116.3,99.0,105.1
geoId-SLA,117.0,171.0,106.2,102.7,102.2,121.8,103.0,73.1,113.6,93.6,121.2
geoId-THA,107.9,108.2,106.9,109.8,109.2,109.2,134.2,115.8,112.8,118.1,115.6
geoId-TBH,106.5,114.1,101.8,108.3,112.3,116.5,115.1,115.9,96.0,114.0,114.8
geoId-TNN,106.7,102.1,322.8,176.0,123.7,118.3,112.1,111.1,104.2,107.7,110.8
geoId-TTH,112.6,108.1,111.2,109.4,110.3,113.4,108.0,108.5,103.0,106.1,107.0
geoId-TGG,118.9,112.1,108.1,115.2,114.8,115.0,112.1,111.1,101.6,97.2,113.7
geoId-HCM,105.0,106.3,106.8,107.2,107.3,107.9,108.0,107.3,95.4,85.7,112.6
geoId-NT,,,,,,,,,,,
geoId-TVH,116.2,106.3,110.4,112.6,117.3,143.0,114.3,127.7,111.5,88.1,75.9
geoId-TQG,120.8,105.5,105.2,99.9,83.8,109.4,108.2,107.0,110.0,111.9,109.2
geoId-TNN,,,,,,,,,,,
geoId-TNH,121.4,119.2,115.5,114.1,111.8,115.5,115.8,116.0,107.3,101.5,115.5
geoId-VLG,102.1,112.0,109.8,111.6,111.3,109.1,109.6,115.0,97.5,93.3,125.0
geoId-VPC,97.0,114.0,97.1,101.6,105.8,107.5,114.5,111.1,99.4,111.4,115.5
geoId-YBI,114.5,112.3,104.8,103.7,105.3,106.9,104.3,110.9,108.1,108.1,109.0
geoId-DBN,105.4,107.0,102.6,108.1,109.0,114.5,110.6,98.4,103.2,107.8,122.1
geoId-DNG,106.0,110.5,111.0,113.1,113.2,109.5,106.6,104.3,89.6,97.7,106.8
geoId-ST,,,,,,,,,,,
geoId-DLK,110.5,100.3,103.8,98.7,107.1,119.3,101.0,102.6,105.4,126.7,117.4
geoId-DNG1,109.4,105.1,107.2,107.0,103.6,158.2,109.0,104.3,107.3,110.7,103.8
geoId-MRD,,,,,,,,,,,
geoId-RRD,,,,,,,,,,,
geoId-DNI,107.4,107.6,107.6,107.7,107.5,108.6,108.7,108.3,103.6,103.6,108.1
geoId-DTP,105.2,106.8,108.9,109.8,104.7,107.0,107.2,108.3,101.8,91.5,113.6
