Tỉnh/thành phố,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,211999,220813,221549,214087,222843,202357,207121,240630
geoId-BR-VT,103879,105272,99242,107161,117560,102738,100948,107467
geoId-BDG,165754,173300,194401,189574,205220,200900,209497,235293
geoId-BPC,81246,85983,86332,84870,90985,84758,87273,100858
geoId-BTN,90195,92621,105225,111462,111978,100295,106127,118394
geoId-BDH,156601,160661,164608,154303,160981,157040,155562,172150
geoId-BLU,97298,96389,94244,97043,115991,80459,83899,90407
geoId-BGG,117408,119469,128168,126459,128100,134014,134938,125362
geoId-BKN,18269,17253,18717,18691,19099,18951,20213,21574
geoId-BNH,188044,195316,212376,221279,233695,211168,218740,224588
geoId-SCC,1731920,1774865,1894792,1897087,1959112,1894068,1877288,1873423
geoId-BTE,127707,127599,143073,143960,151976,135976,137302,148068
geoId-CBG,22093,22553,25566,24758,25530,27092,28496,32428
geoId-CMU,100018,105723,106121,103308,115720,113381,118227,123974
geoId-VNM,7987457,8261870,8701319,8667520,9048804,8655748,8490029,9001029
geoId-CTO,136858,148135,146507,150667,159071,152369,151109,162310
geoId-GLI,71088,71596,76874,81931,85353,84069,90570,93248
geoId-HGG,30621,31030,34486,34778,36106,42666,39274,43786
geoId-HNM,90051,96758,93682,90099,91419,88282,87696,88442
geoId-HNI,631556,663934,705954,672948,693842,765410,660314,675349
geoId-HTH,120817,102195,115796,115290,118065,121000,119819,113578
geoId-HBH,49913,52519,53829,52004,53829,54150,55507,57577
geoId-HYN,134506,143073,144786,140260,152070,137956,134241,131970
geoId-HDG,190161,190459,195615,188483,190592,186753,181788,171611
geoId-HPG,143077,143372,158778,146192,150937,158460,151103,163798
geoId-HGG,76298,78817,82632,81637,90766,79196,81920,95472
geoId-KHA,97371,109105,107510,108601,109387,98860,87811,97815
geoId-KGG,138104,156324,176713,181154,196491,163513,161742,179602
geoId-KTM,34027,36487,38508,39298,40281,38759,38773,40781
geoId-LCU,14166,15251,17603,17675,18244,17347,17460,19880
geoId-LAN,107619,110627,117591,124111,129513,120279,115887,134492
geoId-LCI,32159,34362,39134,38656,40264,41077,41593,47279
geoId-LDG,98128,105564,107849,107666,122568,108813,112596,128656
geoId-LSN,43742,43510,47414,43864,46053,45223,47098,48254
geoId-NDH,192618,198754,198756,204973,203401,205441,213932,201233
geoId-NAN,240243,244573,259175,254050,257055,255235,251551,234277
geoId-NBH,151934,151759,163529,163044,165851,149684,148580,143701
geoId-NTN,52808,53952,54793,56186,61152,59743,61286,60226
geoId-PTO,108813,112404,113710,111112,114028,105081,106778,102298
geoId-PYN,84509,84766,89862,89898,94995,94396,95118,97821
geoId-QBH,104114,106277,111742,114100,119144,113430,115569,113988
geoId-QNM,124935,130588,140746,144441,146436,146102,145474,146742
geoId-QNI,110878,114959,123229,122926,128465,124997,122902,124259
geoId-QNH,99782,100809,118933,118612,132779,111106,107436,113566
geoId-QTI,61302,64207,67491,68541,72754,69579,72546,70408
geoId-STG,107311,113570,104978,98631,106433,101025,101678,112564
geoId-SLA,42782,44528,47702,47737,52002,45698,48449,51462
geoId-THA,282952,292305,325114,322089,330857,316357,312127,278793
geoId-TBH,201341,216902,236529,219986,221124,198018,204109,196352
geoId-TNN,96468,101037,109193,107401,115440,100492,102243,104518
geoId-TTH,105027,107818,120037,120295,127079,114528,114135,113198
geoId-TGG,133110,138226,147082,138416,152411,144479,147729,158946
geoId-HCM,760819,787343,810433,829877,843321,807227,707674,896442
geoId-NT,688098,703750,764391,748403,776781,754478,772722,787493
geoId-TVH,105292,108164,110802,113087,117614,114409,114458,124002
geoId-TQG,45324,43769,53760,51533,51272,45704,48305,51155
geoId-TNN,340255,356906,376246,380090,410957,386441,398208,437746
geoId-TNH,114556,119954,120412,127782,138893,123407,123274,134198
geoId-VLG,115976,121272,117981,125454,119631,121153,123895,137798
geoId-VPC,111812,108125,119186,116524,128074,120684,116760,110504
geoId-YBI,44003,42748,49050,49255,51854,51459,54294,53255
geoId-DBN,22337,23317,26059,24480,24960,25524,28074,28665
geoId-DNG,100168,110838,109464,114905,120764,122506,117261,131774
geoId-ST,1455431,1504627,1558526,1595421,1664626,1575543,1485866,1774893
geoId-DLK,104778,108944,114997,112371,122085,115828,116469,131498
geoId-DNG1,32234,34315,38018,38824,40670,38972,39800,43563
geoId-MRD,1636871,1712461,1759240,1764119,1873544,1712256,1731246,1906360
geoId-RRD,2134882,2209261,2348124,2282400,2363784,2332962,2224699,2221114
geoId-DNI,229177,232775,247706,256157,268647,256513,257200,300635
geoId-DTP,179281,186802,189967,192564,195084,183660,186279,198095
