Tỉnh/thành phố,2016,2017,2018,2019,2020,2021,2022
geoId-AGG,619,778,724,720,858,604,879
geoId-BR-VT,1368,1601,1616,1740,1951,1400,1933
geoId-BDG,4820,5549,5923,6612,6557,5293,6494
geoId-BPC,726,896,944,1066,1257,1058,1172
geoId-BTN,578,703,714,838,941,644,886
geoId-BDH,787,947,901,888,1061,969,1238
geoId-BLU,242,277,323,384,421,336,329
geoId-BGG,869,1297,1209,1356,1332,1399,1706
geoId-BKN,92,66,79,66,64,107,116
geoId-BNH,1660,2046,2041,2405,2390,2368,2700
geoId-SCC,14825,17556,18820,19255,18626,16842,20080
geoId-BTE,387,535,550,507,524,418,566
geoId-CBG,114,150,127,167,167,138,174
geoId-CMU,515,538,526,499,594,474,658
geoId-VNM,110100,126859,131275,138139,134940,116839,148533
geoId-CTO,1257,1366,1398,1483,1564,1283,1807
geoId-GLI,478,593,560,645,1089,805,897
geoId-HGG,112,174,149,173,151,126,183
geoId-HNM,481,628,596,684,682,666,796
geoId-HNI,22663,24545,25231,27711,26135,24026,29720
geoId-HTH,734,741,761,810,758,889,895
geoId-HBH,287,374,383,365,361,455,490
geoId-HYN,903,1311,1185,1194,1153,1331,1364
geoId-HDG,1213,1509,1549,1695,1600,1425,1579
geoId-HPG,2568,2979,3145,2943,2867,3034,3294
geoId-HGG,404,376,364,366,529,350,562
geoId-KHA,1880,1990,1924,1900,1825,1219,1982
geoId-KGG,1208,1442,1536,1447,1479,1304,1892
geoId-KTM,216,237,256,286,370,302,336
geoId-LCU,153,188,157,144,131,128,194
geoId-LAN,1354,1497,1578,1713,1638,1419,1763
geoId-LCI,394,399,389,421,525,604,655
geoId-LDG,923,1116,1009,1133,1323,1238,1523
geoId-LSN,288,355,386,387,409,493,463
geoId-NDH,675,799,818,796,794,906,1088
geoId-NAN,1547,1794,1903,1779,1846,1955,2143
geoId-NBH,548,639,684,725,683,641,781
geoId-NTN,374,426,434,531,656,383,510
geoId-PTO,597,680,784,723,717,793,1008
geoId-PYN,337,408,491,459,519,394,561
geoId-QBH,564,576,659,604,631,623,706
geoId-QNM,1081,1221,1339,1476,1276,1143,1245
geoId-QNI,638,716,776,862,708,595,735
geoId-QNH,1254,1593,1654,1605,1456,1455,1643
geoId-QTI,282,307,366,381,474,448,492
geoId-STG,332,372,370,349,514,368,450
geoId-SLA,232,320,283,269,302,266,257
geoId-THA,1453,3065,3398,3249,3492,3676,3852
geoId-TBH,631,776,825,890,714,847,1130
geoId-TNN,631,758,740,752,732,891,955
geoId-TTH,672,640,680,736,687,610,835
geoId-TGG,562,615,628,655,750,576,935
geoId-HCM,36442,41686,43230,44769,41423,32344,45425
geoId-NT,4193,5300,5271,5382,5532,6127,6932
geoId-TVH,260,363,351,382,491,370,519
geoId-TQG,131,200,202,211,235,256,297
geoId-TNN,2631,3236,3219,3599,4849,3787,4470
geoId-TNH,580,606,559,669,736,676,816
geoId-VLG,286,310,347,360,393,329,438
geoId-VPC,857,1250,1145,1194,1249,1214,1377
geoId-YBI,206,218,252,251,274,342,321
geoId-DBN,87,121,131,97,132,129,113
geoId-DNG,3898,4022,4474,4742,3752,3294,4000
geoId-ST,47108,53698,55821,58673,55850,43857,60043
geoId-DLK,729,929,1008,1173,1562,1054,1249
geoId-DNG1,285,361,386,362,505,388,465
geoId-MRD,7890,8994,9271,9388,10360,8313,11536
geoId-RRD,33453,38075,38873,41842,39723,37913,45472
geoId-DNI,3172,3360,3549,3817,3926,3086,4203
geoId-DTP,464,525,576,523,605,482,738
