Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,48245,60633,62057,65718,68548,71999,68456,78514
geoId-BR-VT,180738,188894,195527,202571,201445,197280,201337,199493
geoId-BDG,728504,996020,1056201,1105958,1122043,1149430,1168700,1069969
geoId-BPC,65722,105276,118058,119522,120308,132636,129741,125459
geoId-BTN,49952,70368,72052,72502,74187,74993,67606,70819
geoId-BDH,106482,123535,123655,125461,127468,128300,131204,143273
geoId-BLU,14164,19424,27350,28753,31717,34132,30119,30130
geoId-BGG,80791,143125,174718,194714,216200,254603,302376,338445
geoId-BKN,8759,7900,7156,7222,7385,7597,6739,7016
geoId-BNH,112902,281341,330826,399089,387507,414407,462754,465976
geoId-SCC,1192381,1503638,1640828,1688910,1699014,1772810,1674396,1773525
geoId-BTE,34573,65753,71860,75355,81725,81423,77434,82756
geoId-CBG,17960,18103,17407,17455,17231,16665,17030,15417
geoId-CMU,43404,47477,47163,51580,48804,47077,47160,47276
geoId-VNM,9741782,12856856,14012276,14518326,14817812,15151631,14702546,14799642
geoId-CTO,96348,100468,112215,118787,115034,116676,112395,121111
geoId-GLI,68183,69467,60445,58936,52400,52540,51416,52585
geoId-HGG,29441,31611,24471,22177,22301,23032,24114,24179
geoId-HNM,51825,98727,112841,123979,126230,129338,141891,153277
geoId-HNI,1502832,2163380,2321533,2400215,2450715,2469072,2241791,2247072
geoId-HTH,51145,73750,70175,72840,72487,75798,73383,74999
geoId-HBH,33774,44639,45548,48988,49346,47533,49419,59991
geoId-HYN,96819,173072,194770,199588,202479,220181,221557,237303
geoId-HDG,189091,270609,307220,326019,352250,347213,356790,374320
geoId-HPG,293765,369064,423994,443650,467848,482603,485274,513121
geoId-HGG,15884,34614,37648,42703,45043,44194,44506,47957
geoId-KHA,110764,150073,168898,172156,177782,176405,146047,137965
,332762,228771,340658,354295,388921,411052,406143,417817
geoId-KGG,55546,75683,83746,91604,98181,95408,87907,91278
geoId-KTM,29044,30145,28973,29024,29690,29712,26294,26308
geoId-LCU,13425,14856,12273,12080,10830,10356,9175,10168
geoId-LAN,153818,252546,274993,287861,330428,354970,338538,324627
geoId-LCI,43283,56672,55781,60526,51347,52710,46239,40037
geoId-LDG,48342,55019,61527,61126,65288,65317,57297,63801
geoId-LSN,18106,21513,24806,24607,22789,21526,19902,20146
geoId-NDH,104680,138458,156330,172039,184945,191464,186419,201994
geoId-NAN,125371,183516,188948,202029,196192,201229,192831,207976
geoId-NBH,106908,144362,141222,147566,151493,145710,144724,150841
geoId-NTN,19925,23955,24219,24746,24752,26711,26212,29049
geoId-PTO,106271,125599,134552,141400,142366,151608,156543,169674
geoId-PYN,42949,34946,35990,36473,38098,39779,42898,41626
geoId-QBH,42722,40343,42286,43443,43920,45386,41972,44595
geoId-QNM,85015,124357,147623,150948,157110,167224,159968,172331
geoId-QNI,48366,57026,65424,70068,77367,82847,90921,103067
geoId-QNH,205568,240296,245588,243286,239139,249875,237058,233208
geoId-QTI,28559,29497,28210,28116,29477,29239,26355,29458
geoId-STG,33814,31901,33380,34711,37224,41356,42892,45423
geoId-SLA,31452,29867,27986,28181,26631,26729,19924,19665
geoId-THA,202561,217891,267678,287608,293964,328745,313202,355131
geoId-TBH,110041,156882,172019,174480,179118,186061,182938,190412
geoId-TNN,66642,171520,195684,214085,212270,202117,186323,194461
geoId-TTH,69033,84733,85421,87555,90187,89211,88328,96148
geoId-TGG,74422,155152,163222,173099,183549,185389,167467,166689
geoId-HCM,2283075,2728603,2932531,2936548,2958127,2946688,2813212,2701011
geoId-NT,525311,760649,818712,875079,878177,916385,936092,1004912
geoId-TVH,31572,56175,55377,53333,48722,51916,34599,47216
geoId-TQG,21709,29515,28126,26727,24809,27975,32887,38373
geoId-TNN,236833,239437,240520,240172,238282,237098,226028,223700
geoId-TNH,85871,174589,178880,185517,191145,201962,204030,195708
geoId-VLG,45119,60148,66154,63906,68223,75453,74359,75000
geoId-VPC,75351,129228,159405,185898,194442,206661,220404,232579
geoId-YBI,28197,27373,29887,34497,34770,35446,35374,37646
geoId-DBN,25501,38356,40317,42420,39902,38488,30047,29694
geoId-DNG,209537,289648,320249,314965,296023,306943,273469,267088
geoId-ST,3904691,4937556,5304055,5386976,5453273,5500284,5381341,5145237
geoId-DLK,79847,68253,71064,72588,75334,72062,71607,61677
geoId-DNG1,11417,16553,18511,18498,15570,17467,19414,19329
geoId-MRD,700022,1021386,1101755,1157085,1223979,1271417,1196946,1234348
geoId-RRD,2849782,4165419,4565748,4815809,4936166,5042585,4881600,5000103
geoId-DNI,560781,744174,822858,836860,860205,872288,864321,853597
geoId-DTP,53113,61412,66590,69675,66781,71424,71114,76371
