Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,5.87,2.13,1.82,2.51,2.2,2.66,2.23,1.81
geoId-BR-VT,23.11,5.09,4.8,5.85,2.08,3.78,3.24,4.82
geoId-BDG,4.43,3.77,4.17,3.92,4.37,3.71,4.07,2.9
geoId-BPC,8.58,2.98,1.94,1.97,1.38,1.49,2.03,0.89
geoId-BTN,3.86,1.47,4.44,1.83,2.37,4.87,4.75,8.01
geoId-BDH,2.56,1.66,1.82,2.19,1.86,2.18,2.01,1.17
geoId-BLU,7.38,6.37,5.59,5.36,4.43,0.8,-0.01,2.02
geoId-BGG,2.11,0.53,2.17,2.06,1.34,2.78,2.74,3.09
geoId-BKN,0.78,-7.85,-0.78,1.73,-3.14,-3.21,-1.63,-2.77
geoId-BNH,4.1,6.15,6.02,7.12,5.72,4.95,4.64,4.72
geoId-SCC,2.32,2.2,2.2,2.12,0.9,0.1,-1.16,2.84
geoId-BTE,2.54,3.48,3.73,3.96,3.86,3.49,5.14,2.66
geoId-CBG,3.46,0.04,-2.0,-0.04,-0.38,-1.41,1.15,1.9
geoId-CMU,2.55,3.29,2.45,3.92,0.83,0.34,1.46,3.26
geoId-VNM,4.53,3.63,3.99,4.25,3.79,3.38,3.49,4.2
geoId-CTO,2.05,1.62,1.46,2.33,1.85,1.45,1.24,1.1
geoId-GLI,12.5,5.21,-0.24,2.6,-4.48,-6.44,-3.17,1.7
geoId-HGG,3.53,7.53,4.77,6.48,5.5,6.18,3.84,5.6
geoId-HNM,2.14,1.66,1.79,1.49,1.12,0.8,0.89,1.34
geoId-HNI,4.85,2.85,2.71,3.6,3.64,3.67,3.6,5.2
geoId-HTH,1.07,-3.45,-7.75,-6.21,-2.01,-7.99,-3.4,13.67
geoId-HBH,-30.08,-0.44,1.36,0.31,1.16,1.4,0.14,0.37
geoId-HYN,-5.6,1.54,1.06,3.74,2.64,1.99,3.11,3.62
geoId-HDG,2.02,3.79,3.63,4.23,4.37,3.19,3.4,4.51
geoId-HPG,0.87,-0.47,1.41,1.46,1.42,1.78,0.81,0.48
geoId-HGG,7.7,1.01,3.29,4.89,3.92,3.22,3.55,5.52
geoId-KHA,3.98,2.95,3.28,3.91,2.09,-0.83,-6.91,-7.47
,2.36,8.58,9.57,10.04,10.53,9.11,9.03,13.01
geoId-KGG,4.23,4.79,4.33,6.03,3.18,1.94,-1.71,3.3
geoId-KTM,6.66,1.54,2.7,1.67,0.68,0.01,1.41,1.62
geoId-LCU,2.15,0.01,4.69,0.18,0.66,0.57,-0.42,1.85
geoId-LAN,5.59,2.14,7.22,2.13,4.65,2.05,3.5,2.57
geoId-LCI,4.9,1.57,0.87,3.03,3.37,1.47,0.2,5.58
geoId-LDG,1.21,2.31,2.45,2.88,2.39,2.52,1.93,2.38
geoId-LSN,0.52,-0.25,-0.98,-1.48,-0.38,-0.05,-0.52,-0.24
