Địa phương,Năm,Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2)
geoId-AGG,2011,3536.7,2097.54,593.08
geoId-AGG,2012,3536.7,2077.94,587.54
geoId-AGG,2013,3536.7,2051.62,580.09
geoId-AGG,2014,3536.7,2024.59,572.45
geoId-AGG,2015,3536.7,2000.9,565.75
geoId-AGG,2016,3536.7,1976.4,558.83
geoId-AGG,2017,3536.7,1954.2,552.55
geoId-AGG,2018,3536.7,1931.0,545.99
geoId-AGG,2019 ,3536.7,1907.4,539.0
geoId-AGG,2020 ,3536.8,1904.53,538.0
geoId-AGG,2021 ,3536.83,1909.51,540.0
geoId-AGG,2022 ,3536.82,1905.52,539.0
geoId-BR-VT,2011,1989.5,1040.8,523.14
geoId-BR-VT,2012,1989.5,1057.84,531.71
geoId-BR-VT,2013,1989.5,1076.85,541.27
geoId-BR-VT,2014,1989.5,1093.37,549.57
geoId-BR-VT,2015,1989.5,1104.3,555.06
geoId-BR-VT,2016,1980.8,1117.6,564.22
geoId-BR-VT,2017,1981.0,1127.2,569.01
geoId-BR-VT,2018,1981.0,1138.3,574.61
geoId-BR-VT,2019 ,1981.0,1152.2,582.0
geoId-BR-VT,2020 ,1982.6,1167.94,589.0
geoId-BR-VT,2021 ,1982.56,1176.08,593.0
geoId-BR-VT,2022 ,1982.56,1178.7,595.0
geoId-BDG,2011,2694.4,1699.93,630.91
geoId-BDG,2012,2694.4,1789.71,664.23
geoId-BDG,2013,2694.4,1873.48,695.32
geoId-BDG,2014,2694.4,1977.84,734.06
geoId-BDG,2015,2694.4,2069.2,767.96
geoId-BDG,2016,2694.7,2138.8,793.71
geoId-BDG,2017,2694.6,2227.2,826.54
geoId-BDG,2018,2694.6,2345.2,870.33
geoId-BDG,2019 ,2694.6,2456.3,912.0
geoId-BDG,2020 ,2694.6,2580.55,958.0
geoId-BDG,2021 ,2694.64,2596.79,964.0
geoId-BDG,2022 ,2694.64,2763.12,1025.0
geoId-BPC,2011,6871.5,899.57,130.91
geoId-BPC,2012,6871.5,911.35,132.63
geoId-BPC,2013,6871.5,923.49,134.39
geoId-BPC,2014,6871.5,934.37,135.98
geoId-BPC,2015,6871.5,947.2,137.84
geoId-BPC,2016,6876.6,962.7,140.0
geoId-BPC,2017,6876.8,972.6,141.43
geoId-BPC,2018,6876.8,984.9,143.22
geoId-BPC,2019 ,6876.8,997.8,145.0
geoId-BPC,2020 ,6873.6,1011.08,147.0
geoId-BPC,2021 ,6873.56,1024.29,149.0
geoId-BPC,2022 ,6873.56,1034.67,151.0
geoId-BTN,2011,7812.9,1180.68,151.12
geoId-BTN,2012,7812.8,1189.59,152.26
geoId-BTN,2013,7812.8,1194.66,152.91
geoId-BTN,2014,7813.1,1197.26,153.24
geoId-BTN,2015,7813.1,1205.4,154.28
geoId-BTN,2016,7944.0,1213.6,152.77
geoId-BTN,2017,7943.9,1220.5,153.64
geoId-BTN,2018,7943.9,1227.3,154.5
geoId-BTN,2019 ,7943.9,1232.3,155.0
geoId-BTN,2020 ,7942.5,1239.26,156.0
geoId-BTN,2021 ,7942.6,1246.31,157.0
geoId-BTN,2022 ,7942.6,1252.06,158.0
geoId-BDH,2011,6050.6,1487.46,245.84
geoId-BDH,2012,6050.6,1487.51,245.84
geoId-BDH,2013,6050.6,1487.55,245.85
geoId-BDH,2014,6050.6,1487.6,245.86
geoId-BDH,2015,6050.6,1487.6,245.86
geoId-BDH,2016,6066.1,1487.7,245.25
geoId-BDH,2017,6066.2,1487.7,245.24
geoId-BDH,2018,6066.2,1487.8,245.26
geoId-BDH,2019 ,6066.2,1487.8,245.0
geoId-BDH,2020 ,6066.4,1487.9,245.0
geoId-BDH,2021 ,6066.4,1508.32,249.0
geoId-BDH,2022 ,6066.4,1504.29,248.0
geoId-BLU,2011,2468.7,866.87,351.15
geoId-BLU,2012,2468.7,872.14,353.28
geoId-BLU,2013,2468.7,877.04,355.26
geoId-BLU,2014,2468.7,882.16,357.34
geoId-BLU,2015,2468.7,887.3,359.42
geoId-BLU,2016,2669.1,892.8,334.49
geoId-BLU,2017,2669.0,897.7,336.34
geoId-BLU,2018,2669.0,903.0,338.33
geoId-BLU,2019 ,2669.0,908.2,340.0
geoId-BLU,2020 ,2667.9,913.48,342.0
geoId-BLU,2021 ,2667.88,918.51,344.0
geoId-BLU,2022 ,2667.88,921.81,346.0
geoId-BGG,2011,3844.0,1586.02,412.6
geoId-BGG,2012,3848.9,1607.77,417.72
geoId-BGG,2013,3849.7,1630.65,423.58
geoId-BGG,2014,3849.5,1646.86,427.81
geoId-BGG,2015,3849.5,1667.0,433.04
geoId-BGG,2016,3895.5,1696.9,435.61
geoId-BGG,2017,3895.5,1736.8,445.85
geoId-BGG,2018,3895.6,1777.5,456.28
geoId-BGG,2019 ,3895.6,1810.4,465.0
geoId-BGG,2020 ,3895.9,1841.62,473.0
geoId-BGG,2021 ,3895.89,1875.24,481.0
geoId-BGG,2022 ,3895.89,1890.93,485.0
geoId-BKN,2011,4859.4,298.69,61.47
geoId-BKN,2012,4859.4,300.8,61.9
geoId-BKN,2013,4859.4,301.73,62.09
geoId-BKN,2014,4859.4,302.94,62.34
geoId-BKN,2015,4859.4,305.6,62.89
geoId-BKN,2016,4860.0,307.7,63.31
geoId-BKN,2017,4860.0,309.9,63.77
geoId-BKN,2018,4860.0,312.0,64.2
geoId-BKN,2019 ,4860.0,314.4,65.0
geoId-BKN,2020 ,4860.0,316.46,65.0
geoId-BKN,2021 ,4859.96,323.71,67.0
geoId-BKN,2022 ,4859.96,324.35,67.0
geoId-BNH,2011,822.7,1072.38,1303.49
geoId-BNH,2012,822.7,1104.69,1342.76
geoId-BNH,2013,822.7,1139.89,1385.54
geoId-BNH,2014,822.7,1177.06,1430.73
geoId-BNH,2015,822.7,1218.5,1481.1
geoId-BNH,2016,822.8,1257.9,1528.8
geoId-BNH,2017,822.7,1297.8,1577.49
geoId-BNH,2018,822.7,1337.3,1625.5
geoId-BNH,2019 ,822.7,1378.6,1676.0
geoId-BNH,2020 ,822.71,1419.13,1725.0
geoId-BNH,2021 ,822.71,1462.95,1778.0
geoId-BNH,2022 ,822.71,1488.2,1809.0
geoId-SCC,2011,95838.0,19116.29,199.46
geoId-SCC,2012,95835.8,19253.84,200.9
geoId-SCC,2013,95834.5,19391.97,202.35
geoId-SCC,2014,95832.4,19511.45,203.6
geoId-SCC,2015,95832.4,19653.7,205.08
geoId-SCC,2016,95871.3,19802.5,206.55
geoId-SCC,2017,95871.9,19949.0,208.08
geoId-SCC,2018,95876.0,20085.1,209.49
geoId-SCC,2019 ,95875.8,20220.4,211.0
geoId-SCC,2020 ,95860.1,20343.18,212.0
geoId-SCC,2021 ,95847.52,20584.91,215.0
geoId-SCC,2022 ,95847.87,20661.65,216.0
geoId-BTE,2011,2360.6,1262.66,534.89
geoId-BTE,2012,2357.7,1266.73,537.28
geoId-BTE,2013,2359.5,1269.72,538.13
geoId-BTE,2014,2359.8,1272.51,539.24
geoId-BTE,2015,2359.8,1275.8,540.64
geoId-BTE,2016,2394.6,1278.6,533.95
geoId-BTE,2017,2394.7,1282.4,535.52
geoId-BTE,2018,2394.8,1286.0,537.0
geoId-BTE,2019 ,2394.8,1289.1,538.0
geoId-BTE,2020 ,2379.7,1292.4,543.0
geoId-BTE,2021 ,2379.7,1295.7,544.0
geoId-BTE,2022 ,2379.7,1298.01,545.0
geoId-CBG,2011,6707.9,514.02,76.63
geoId-CBG,2012,6707.9,515.88,76.91
geoId-CBG,2013,6707.9,517.85,77.2
geoId-CBG,2014,6703.4,519.87,77.55
geoId-CBG,2015,6703.4,522.0,77.87
geoId-CBG,2016,6700.2,524.2,78.24
geoId-CBG,2017,6700.3,526.4,78.56
geoId-CBG,2018,6700.3,528.7,78.91
geoId-CBG,2019 ,6700.3,530.9,79.0
geoId-CBG,2020 ,6700.4,533.09,80.0
geoId-CBG,2021 ,6700.39,542.22,81.0
geoId-CBG,2022 ,6700.39,543.05,81.0
geoId-CMU,2011,5294.9,1204.5,227.48
geoId-CMU,2012,5294.9,1203.46,227.29
geoId-CMU,2013,5294.9,1202.07,227.02
geoId-CMU,2014,5294.9,1200.74,226.77
geoId-CMU,2015,5294.9,1199.5,226.54
geoId-CMU,2016,5221.2,1198.1,229.47
geoId-CMU,2017,5221.2,1197.0,229.26
geoId-CMU,2018,5221.2,1195.6,228.99
geoId-CMU,2019 ,5221.2,1194.3,229.0
geoId-CMU,2020 ,5274.5,1193.89,226.0
geoId-CMU,2021 ,5274.51,1208.75,229.0
geoId-CMU,2022 ,5274.51,1207.63,229.0
geoId-VNM,2011,330957.6,88145.83,266.34
geoId-VNM,2012,330951.1,89202.89,269.53
geoId-VNM,2013,330972.4,90191.42,272.5
geoId-VNM,2014,330966.9,91203.76,275.57
geoId-VNM,2015,330966.9,92228.6,278.66
geoId-VNM,2016,331230.8,93250.7,281.53
geoId-VNM,2017,331230.8,94286.0,284.65
geoId-VNM,2018,331235.7,95385.2,287.97
geoId-VNM,2019 ,331236.0,96484.0,291.0
geoId-VNM,2020 ,331317.1,97582.69,295.0
geoId-VNM,2021 ,331344.27,98506.19,297.0
geoId-VNM,2022 ,331345.7,99474.42,300.0
geoId-CTO,2011,1409.0,1195.93,848.78
geoId-CTO,2012,1409.0,1200.93,852.33
geoId-CTO,2013,1409.0,1203.23,853.96
geoId-CTO,2014,1408.9,1205.72,855.79
geoId-CTO,2015,1408.9,1208.5,857.76
geoId-CTO,2016,1439.2,1214.6,843.94
geoId-CTO,2017,1439.0,1222.4,849.48
geoId-CTO,2018,1439.0,1227.7,853.16
geoId-CTO,2019 ,1439.0,1236.0,859.0
geoId-CTO,2020 ,1440.4,1240.73,861.0
geoId-CTO,2021 ,1440.4,1246.99,866.0
geoId-CTO,2022 ,1440.4,1252.35,869.0
