dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,1990,100.0,48.78,51.22,19.51,80.49
geoId-VNM,1991,100.0,48.8,51.2,19.67,80.33
geoId-VNM,1992,100.0,48.83,51.17,19.85,80.15
geoId-VNM,1993,100.0,48.86,51.14,20.05,79.95
geoId-VNM,1994,100.0,48.9,51.1,20.37,79.63
geoId-VNM,1995,100.0,48.94,51.06,20.75,79.25
geoId-VNM,1996,100.0,49.01,50.99,21.08,78.92
geoId-VNM,1997,100.0,49.08,50.92,22.66,77.34
geoId-VNM,1998,100.0,49.15,50.85,23.15,76.85
geoId-VNM,1999,100.0,49.17,50.83,23.61,76.39
geoId-VNM,2000,100.0,49.16,50.84,24.12,75.88
geoId-VNM,2001,100.0,49.17,50.83,24.55,75.45
geoId-VNM,2002,100.0,49.17,50.83,24.99,75.01
geoId-VNM,2003,100.0,49.13,50.87,25.76,74.24
geoId-VNM,2004,100.0,49.17,50.83,26.53,73.47
geoId-VNM,2005,100.0,49.18,50.82,27.1,72.9
geoId-VNM,2006,100.0,49.21,50.79,27.66,72.34
geoId-VNM,2007,100.0,49.21,50.79,28.2,71.8
geoId-VNM,2008,100.0,49.29,50.71,28.99,71.01
geoId-VNM,2009,100.0,49.43,50.57,29.74,70.26
geoId-VNM,2010,100.0,49.46,50.54,30.39,69.61
geoId-VNM,2011,100.0,49.49,50.51,31.4,68.6
geoId-VNM,2012,100.0,49.51,50.49,31.7,68.3
geoId-VNM,2013,100.0,49.55,50.45,32.0,68.0
geoId-VNM,2014,100.0,49.57,50.43,33.19,66.81
geoId-VNM,2015,100.0,49.61,50.39,33.48,66.52
geoId-VNM,2016,100.0,49.65,50.35,33.67,66.33
geoId-VNM,2017,100.0,49.69,50.31,33.86,66.14
geoId-VNM,2018,100.0,49.72,50.28,34.22,65.78
geoId-VNM,2019,100.0,49.77,50.23,35.05,64.95
geoId-VNM,2020,100.0,49.83,50.17,36.76,63.24
geoId-VNM,2021,100.0,49.84,50.16,37.12,62.88
geoId-VNM,Sơ bộ 2022,100.0,49.85,50.15,37.55,62.45
