"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,1602.1,1619.8,1616.0,1634.5,1650.1,1604.2,1600.9,1596.8,1591.4,1585.7,1579.2,1570.0,1560.8,1550.9,1537.9,1513.28,1488.9,1468.34,1443.11,1417.48,1394.2,1370.6,1348.6,1326.0,1304.8,1302.89,1263.48,1260.74
geoId-BR-VT,462.4,458.5,467.8,480.5,467.3,476.9,487.0,492.8,496.1,499.9,503.1,504.4,503.9,502.6,500.7,502.96,504.81,504.17,504.01,502.23,497.5,493.4,487.4,481.6,476.6,495.63,489.21,466.81
geoId-BDG,527.1,529.1,491.0,488.6,479.8,543.4,589.5,635.0,680.1,725.1,775.5,842.0,914.7,982.2,1059.5,1082.2,603.31,636.78,668.46,455.5,481.7,506.5,530.3,469.5,494.5,402.38,407.11,435.7
geoId-BPC,452.3,467.3,484.0,516.0,548.7,576.9,596.9,616.6,633.6,652.4,669.8,684.9,699.9,715.2,728.2,731.23,737.52,741.27,744.94,747.2,750.6,755.7,755.9,757.6,759.2,768.03,776.75,730.71
geoId-BTN,730.4,750.2,766.0,787.0,804.0,731.9,732.8,734.1,734.7,733.8,730.7,725.8,721.0,715.9,709.9,714.61,719.68,726.56,731.11,733.14,740.6,747.1,752.8,758.4,763.0,767.12,766.46,768.79
geoId-BDH,1132.0,1144.5,1152.1,1105.2,1112.1,1111.1,1107.4,1103.6,1099.7,1095.8,1091.6,1087.4,1082.9,1079.1,1074.9,1071.68,1068.51,1020.0,1018.69,1017.38,1016.1,1014.8,1013.5,1012.2,1011.0,888.05,887.51,884.64
geoId-BLU,538.2,543.7,547.0,553.7,557.1,565.0,574.6,583.1,590.4,598.0,605.0,611.6,619.0,626.0,631.2,633.67,636.14,638.77,641.1,643.57,646.0,648.7,651.0,653.5,656.0,659.84,663.57,665.92
geoId-BGG,1349.0,1368.1,1372.2,1368.7,1384.1,1378.4,1382.1,1386.1,1390.1,1394.9,1398.9,1401.8,1404.6,1407.4,1410.9,1419.02,1431.22,1447.67,1464.99,1460.78,1477.9,1503.8,1538.6,1574.6,1603.1,1507.65,1533.58,1520.59
geoId-BKN,220.7,224.7,228.2,232.5,236.1,238.5,239.7,240.9,241.9,243.1,244.2,244.9,245.8,246.7,247.3,247.72,248.14,248.54,247.91,247.47,248.2,248.3,248.5,248.6,248.7,244.99,250.6,250.79
geoId-BNH,874.7,878.7,873.2,849.6,854.1,854.2,852.1,849.2,844.2,838.1,830.4,821.7,812.0,799.3,785.0,773.24,793.03,818.34,846.19,849.78,882.4,912.4,942.5,971.7,997.7,972.56,926.8,933.68
