Địa phương,Năm,Tổng số,Kết hôn lần đầu,Lần thứ 2 trở lên
geoId-AGG,2018,19013,17293,1720
geoId-AGG,2019,19080,17282,1798
geoId-AGG,2020,16448,14609,1839
geoId-AGG,2021,13765,12319,1446
geoId-AGG,2022,19300,17356,1944
geoId-BR-VT,2018,10544,9253,1291
geoId-BR-VT,2019,10225,8989,1236
geoId-BR-VT,2020,9027,7627,1400
geoId-BR-VT,2021,5504,4641,863
geoId-BR-VT,2022,10130,8330,1800
geoId-BDG,2018,10105,8321,1784
geoId-BDG,2019,9638,7813,1825
geoId-BDG,2020,8328,6756,1572
geoId-BDG,2021,5996,4656,1340
geoId-BDG,2022,9793,7716,2077
geoId-BPC,2018,7974,7842,132
geoId-BPC,2019,6693,5675,1018
geoId-BPC,2020,7305,6177,1128
geoId-BPC,2021,5518,4689,829
geoId-BPC,2022,9734,8304,1430
geoId-BTN,2018,12586,11629,957
geoId-BTN,2019,12327,10924,1403
geoId-BTN,2020,11608,10106,1502
geoId-BTN,2021,7314,6421,893
geoId-BTN,2022,12985,11388,1597
geoId-BDH,2018,12509,11854,655
geoId-BDH,2019,12934,11921,1013
geoId-BDH,2020,11126,10134,992
geoId-BDH,2021,8191,7278,913
geoId-BDH,2022,12204,10829,1375
geoId-BLU,2018,7282,7078,204
geoId-BLU,2019,6923,6277,646
geoId-BLU,2020,6549,6099,450
geoId-BLU,2021,4401,3972,429
geoId-BLU,2022,7063,6128,935
geoId-BGG,2018,11712,10311,1401
geoId-BGG,2019,12792,11182,1610
geoId-BGG,2020,11101,9631,1470
geoId-BGG,2021,8804,7973,831
geoId-BGG,2022,13489,10882,2607
geoId-BKN,2018,2402,2242,160
geoId-BKN,2019,2203,1949,254
geoId-BKN,2020,2079,1831,248
geoId-BKN,2021,1958,1686,272
geoId-BKN,2022,1929,1669,260
geoId-BNH,2018,8849,8315,534
geoId-BNH,2019,8534,7603,931
geoId-BNH,2020,7338,6470,868
geoId-BNH,2021,6552,5685,867
geoId-BNH,2022,8486,7480,1006
geoId-SCC,2018,169745,158507,11238
geoId-SCC,2019,161817,148858,12959
geoId-SCC,2020,143096,129159,13937
geoId-SCC,2021,117157,105620,11537
geoId-SCC,2022,157839,140605,17234
geoId-BTE,2018,11304,9567,1737
geoId-BTE,2019,10845,8993,1852
geoId-BTE,2020,10349,7427,2922
geoId-BTE,2021,6995,5466,1529
geoId-BTE,2022,10647,8631,2016
geoId-CBG,2018,4664,4538,126
geoId-CBG,2019,4626,4465,161
geoId-CBG,2020,4295,4018,277
geoId-CBG,2021,3995,3735,260
geoId-CBG,2022,4116,3883,233
geoId-CMU,2018,11508,10896,612
geoId-CMU,2019,10767,9941,826
geoId-CMU,2020,10122,8776,1346
geoId-CMU,2021,6282,5406,876
geoId-CMU,2022,12606,10900,1706
geoId-VNM,2018,735292,661890,73402
geoId-VNM,2019,699265,620784,78481
geoId-VNM,2020,627660,548520,79140
geoId-VNM,2021,500001,434698,65303
geoId-VNM,2022,710438,610458,99980
geoId-CTO,2018,8976,8412,564
geoId-CTO,2019,8660,7515,1145
geoId-CTO,2020,7638,6459,1179
geoId-CTO,2021,5035,4212,823
geoId-CTO,2022,9293,7594,1699
geoId-GLI,2018,14307,13512,795
geoId-GLI,2019,13261,12419,842
geoId-GLI,2020,12315,11347,968
geoId-GLI,2021,9726,8922,804
geoId-GLI,2022,14133,13143,990
geoId-HGG,2018,7622,7415,207
geoId-HGG,2019,7279,6842,437
geoId-HGG,2020,7617,7178,439
geoId-HGG,2021,7347,6854,493
geoId-HGG,2022,8278,7847,431
geoId-HNM,2018,6292,5724,568
geoId-HNM,2019,5820,5237,583
geoId-HNM,2020,4674,4104,570
geoId-HNM,2021,4262,3714,548
geoId-HNM,2022,5224,4595,629
geoId-HNI,2018,47803,40990,6813
geoId-HNI,2019,47581,40576,7005
geoId-HNI,2020,40899,34570,6329
geoId-HNI,2021,38058,31596,6462
geoId-HNI,2022,43133,35284,7849
geoId-HTH,2018,11073,10624,449
geoId-HTH,2019,9919,9002,917
geoId-HTH,2020,8171,7502,669
geoId-HTH,2021,6778,6185,593
geoId-HTH,2022,9533,8600,933
geoId-HBH,2018,5169,5058,111
geoId-HBH,2019,5145,4553,592
geoId-HBH,2020,4759,4027,732
geoId-HBH,2021,4778,3968,810
geoId-HBH,2022,5935,4844,1091
geoId-HYN,2018,8781,7927,854
geoId-HYN,2019,8155,7276,879
geoId-HYN,2020,6839,5865,974
geoId-HYN,2021,6014,5315,699
geoId-HYN,2022,7914,6843,1071
geoId-HDG,2018,13793,11775,2018
geoId-HDG,2019,13376,11281,2095
geoId-HDG,2020,10831,8841,1990
geoId-HDG,2021,9829,7885,1944
geoId-HDG,2022,13366,10624,2742
geoId-HPG,2018,13224,10993,2231
geoId-HPG,2019,13173,11047,2126
geoId-HPG,2020,11607,9430,2177
geoId-HPG,2021,10531,8360,2171
geoId-HPG,2022,12011,9611,2400
geoId-HGG,2018,5337,4899,438
geoId-HGG,2019,5687,5269,418
geoId-HGG,2020,5772,4868,904
geoId-HGG,2021,3313,2750,563
geoId-HGG,2022,6912,5759,1153
geoId-KHA,2018,10370,8986,1384
geoId-KHA,2019,10629,9177,1452
geoId-KHA,2020,9168,7785,1383
geoId-KHA,2021,6835,5740,1095
geoId-KHA,2022,9943,8352,1591
geoId-KGG,2018,17516,16257,1259
geoId-KGG,2019,16764,15436,1328
geoId-KGG,2020,15327,13746,1581
geoId-KGG,2021,10952,9837,1115
geoId-KGG,2022,18474,16414,2060
geoId-KTM,2018,4207,4018,189
geoId-KTM,2019,4137,3935,202
geoId-KTM,2020,4605,4306,299
geoId-KTM,2021,3444,3158,286
geoId-KTM,2022,4487,4044,443
