"Tỉnh, thành phố",Năm,Tổng số,Đúng hạn,Quá hạn
geoId-AGG,2018,20704,12904,7800
geoId-AGG,2019,19154,13139,6015
geoId-AGG,2020,20142,13750,6392
geoId-AGG,2021,26032,17120,8912
geoId-AGG,2022,26213,16333,9880
geoId-BR-VT,2018,5768,4888,880
geoId-BR-VT,2019,6207,5044,1163
geoId-BR-VT,2020,5923,4870,1053
geoId-BR-VT,2021,5759,4676,1083
geoId-BR-VT,2022,7974,6363,1611
geoId-BDG,2018,6922,4907,2015
geoId-BDG,2019,6682,5277,1405
geoId-BDG,2020,6567,5399,1168
geoId-BDG,2021,7879,6097,1782
geoId-BDG,2022,7144,5858,1286
geoId-BPC,2018,6454,4988,1466
geoId-BPC,2019,3698,2550,1148
geoId-BPC,2020,4659,3209,1450
geoId-BPC,2021,4443,2973,1470
geoId-BPC,2022,5787,3817,1970
geoId-BTN,2018,10581,5865,4716
geoId-BTN,2019,9941,4794,5147
geoId-BTN,2020,9844,5244,4600
geoId-BTN,2021,8942,4817,4125
geoId-BTN,2022,11780,5974,5806
geoId-BDH,2018,10795,6617,4178
geoId-BDH,2019,11852,6494,5358
geoId-BDH,2020,11832,6386,5446
geoId-BDH,2021,13184,6796,6388
geoId-BDH,2022,18044,8398,9646
geoId-BLU,2018,6681,3494,3187
geoId-BLU,2019,5342,3810,1532
geoId-BLU,2020,5304,3562,1742
geoId-BLU,2021,5142,3255,1887
geoId-BLU,2022,7394,4197,3197
geoId-BGG,2018,8624,7052,1572
geoId-BGG,2019,9377,7525,1852
geoId-BGG,2020,10144,8061,2083
geoId-BGG,2021,9240,7825,1415
geoId-BGG,2022,11425,9259,2166
geoId-BKN,2018,1840,1446,394
geoId-BKN,2019,1913,1475,438
geoId-BKN,2020,2086,1590,496
geoId-BKN,2021,2053,1633,420
geoId-BKN,2022,2431,1935,496
geoId-BNH,2018,6346,5540,806
geoId-BNH,2019,6318,5242,1076
geoId-BNH,2020,6233,5147,1086
geoId-BNH,2021,6376,5449,927
geoId-BNH,2022,7585,6391,1194
geoId-SCC,2018,143588,83919,59669
geoId-SCC,2019,143060,84272,58788
geoId-SCC,2020,144384,86208,58176
geoId-SCC,2021,149961,90696,59265
geoId-SCC,2022,185761,104782,80979
geoId-BTE,2018,10355,7850,2505
geoId-BTE,2019,10413,7739,2674
geoId-BTE,2020,10700,7634,3066
geoId-BTE,2021,11124,7308,3816
geoId-BTE,2022,13041,9437,3604
geoId-CBG,2018,3594,1879,1715
geoId-CBG,2019,4245,2442,1803
geoId-CBG,2020,4347,2425,1922
geoId-CBG,2021,4876,2654,2222
geoId-CBG,2022,5669,3017,2652
geoId-CMU,2018,6653,4547,2106
geoId-CMU,2019,7139,4583,2556
geoId-CMU,2020,7872,5496,2376
geoId-CMU,2021,7237,4379,2858
geoId-CMU,2022,9714,5833,3881
geoId-VNM,2018,569338,403361,165977
geoId-VNM,2019,556015,403778,152237
geoId-VNM,2020,583751,424992,158759
geoId-VNM,2021,625455,446634,178821
