"Tỉnh, thành phố",Năm,Tổng số,Cấp tỉnh,Cấp huyện
geoId-AGG,2013,435,12,423
geoId-AGG,2014,468,10,458
geoId-AGG,2015,753,25,728
geoId-AGG,2016,570,29,541
geoId-AGG,2017,661,40,621
geoId-AGG,2018,784,44,740
geoId-AGG,2019,703,55,648
geoId-AGG,2020,589,25,564
geoId-AGG,2021,609,32,577
geoId-AGG,2022,840,42,798
geoId-BR-VT,2013,236,27,209
geoId-BR-VT,2014,345,49,296
geoId-BR-VT,2015,440,40,400
geoId-BR-VT,2016,411,20,391
geoId-BR-VT,2017,458,35,423
geoId-BR-VT,2018,582,35,547
geoId-BR-VT,2019,576,27,549
geoId-BR-VT,2020,520,58,462
geoId-BR-VT,2021,445,29,416
geoId-BR-VT,2022,596,39,557
geoId-BDG,2013,363,16,347
geoId-BDG,2014,390,20,370
geoId-BDG,2015,480,11,469
geoId-BDG,2016,459,16,443
geoId-BDG,2017,484,25,459
geoId-BDG,2018,469,5,464
geoId-BDG,2019,364,9,355
geoId-BDG,2020,236,3,233
geoId-BDG,2021,137,5,132
geoId-BDG,2022,243,5,238
geoId-BPC,2013,261,4,257
geoId-BPC,2014,326,4,322
geoId-BPC,2015,363,4,359
geoId-BPC,2016,365,4,361
geoId-BPC,2017,409,6,403
geoId-BPC,2018,387,6,381
geoId-BPC,2019,293,6,287
geoId-BPC,2020,346,1,345
geoId-BPC,2021,393,4,389
geoId-BPC,2022,444,6,438
geoId-BTN,2013,258,12,246
geoId-BTN,2014,325,10,315
geoId-BTN,2015,395,13,382
geoId-BTN,2016,444,11,433
geoId-BTN,2017,538,36,502
geoId-BTN,2018,623,44,579
geoId-BTN,2019,425,35,390
geoId-BTN,2020,312,36,276
geoId-BTN,2021,334,26,308
geoId-BTN,2022,409,26,383
geoId-BDH,2013,239,9,230
geoId-BDH,2014,271,17,254
geoId-BDH,2015,243,8,235
geoId-BDH,2016,255,7,248
geoId-BDH,2017,411,35,376
geoId-BDH,2018,358,7,351
geoId-BDH,2019,283,2,281
geoId-BDH,2020,281,9,272
geoId-BDH,2021,239,6,233
geoId-BDH,2022,214,2,212
geoId-BLU,2013,197,12,185
geoId-BLU,2014,234,11,223
geoId-BLU,2015,342,27,315
geoId-BLU,2016,282,14,268
geoId-BLU,2017,353,24,329
geoId-BLU,2018,399,21,378
geoId-BLU,2019,321,7,314
geoId-BLU,2020,187,18,169
geoId-BLU,2021,258,15,243
geoId-BLU,2022,540,19,521
geoId-BGG,2013,306,19,287
geoId-BGG,2014,336,23,313
geoId-BGG,2015,429,16,413
geoId-BGG,2016,432,24,408
geoId-BGG,2017,507,21,486
geoId-BGG,2018,617,43,574
geoId-BGG,2019,623,89,534
geoId-BGG,2020,550,76,474
geoId-BGG,2021,500,69,431
geoId-BGG,2022,664,156,508
geoId-BKN,2013,54,1,53
geoId-BKN,2014,31,1,30
geoId-BKN,2015,48,1,47
geoId-BKN,2016,27,0,27
geoId-BKN,2017,41,1,40
geoId-BKN,2018,35,,35
geoId-BKN,2019,42,,42
geoId-BKN,2020,35,2,33
geoId-BKN,2021,57,3,54
geoId-BKN,2022,48,5,43
geoId-BNH,2013,110,8,102
geoId-BNH,2014,147,,147
geoId-BNH,2015,133,1,132
geoId-BNH,2016,151,5,146
geoId-BNH,2017,202,18,184
geoId-BNH,2018,251,9,242
geoId-BNH,2019,210,11,199
geoId-BNH,2020,187,2,185
geoId-BNH,2021,150,3,147
geoId-BNH,2022,184,0,184
geoId-SCC,2013,3032,237,2795
geoId-SCC,2014,3250,246,3004
geoId-SCC,2015,3595,229,3366
geoId-SCC,2016,4117,244,3873
geoId-SCC,2017,4841,287,4554
geoId-SCC,2018,4703,319,4384
geoId-SCC,2019,4593,292,4301
geoId-SCC,2020,4544,389,4155
geoId-SCC,2021,4576,516,4060
geoId-SCC,2022,5502,637,4865
geoId-BTE,2013,553,4,549
geoId-BTE,2014,606,15,591
geoId-BTE,2015,743,21,722
geoId-BTE,2016,760,19,741
geoId-BTE,2017,717,22,695
geoId-BTE,2018,773,,773
geoId-BTE,2019,598,,598
geoId-BTE,2020,349,0,349
geoId-BTE,2021,431,0,431
geoId-BTE,2022,694,25,669
geoId-CBG,2013,50,,50
geoId-CBG,2014,65,,65
geoId-CBG,2015,74,0,74
geoId-CBG,2016,47,0,47
geoId-CBG,2017,76,,76
geoId-CBG,2018,89,1,88
geoId-CBG,2019,64,2,62
geoId-CBG,2020,52,0,52
geoId-CBG,2021,58,2,56
geoId-CBG,2022,102,0,102
geoId-CMU,2013,679,4,675
geoId-CMU,2014,662,12,650
geoId-CMU,2015,1076,25,1051
geoId-CMU,2016,872,9,863
geoId-CMU,2017,1121,18,1103
geoId-CMU,2018,1117,16,1101
geoId-CMU,2019,1179,34,1145
geoId-CMU,2020,1112,25,1087
geoId-CMU,2021,656,13,643
geoId-CMU,2022,1415,22,1393
geoId-VNM,2013,18308,1499,16809
geoId-VNM,2014,19960,1552,18408
geoId-VNM,2015,24101,1440,22661
geoId-VNM,2016,24308,1665,22643
geoId-VNM,2017,27948,1800,26148
geoId-VNM,2018,28076,1933,26143
geoId-VNM,2019,25702,2138,23564
geoId-VNM,2020,22762,1972,20790
geoId-VNM,2021,22132,2369,19763
geoId-VNM,2022,29010,2717,26293
geoId-CTO,2013,398,36,362
geoId-CTO,2014,459,37,422
geoId-CTO,2015,575,38,537
geoId-CTO,2016,583,78,505
geoId-CTO,2017,607,82,525
geoId-CTO,2018,794,165,629
geoId-CTO,2019,706,168,538
geoId-CTO,2020,741,155,586
geoId-CTO,2021,603,142,461
geoId-CTO,2022,745,110,635
geoId-GLI,2013,134,1,133
geoId-GLI,2014,200,,200
geoId-GLI,2015,240,0,240
geoId-GLI,2016,183,0,183
geoId-GLI,2017,233,2,231
geoId-GLI,2018,188,,188
geoId-GLI,2019,183,,183
geoId-GLI,2020,203,0,203
geoId-GLI,2021,260,2,258
geoId-GLI,2022,354,4,350
geoId-HGG,2013,55,,55
geoId-HGG,2014,71,,71
geoId-HGG,2015,76,0,76
geoId-HGG,2016,76,0,76
geoId-HGG,2017,63,,63
geoId-HGG,2018,91,1,90
geoId-HGG,2019,79,,79
geoId-HGG,2020,68,1,67
geoId-HGG,2021,104,0,104
geoId-HGG,2022,118,0,118
geoId-HNM,2013,91,1,90
geoId-HNM,2014,109,5,104
geoId-HNM,2015,76,3,73
geoId-HNM,2016,87,2,85
geoId-HNM,2017,116,6,110
geoId-HNM,2018,145,,145
geoId-HNM,2019,203,23,180
geoId-HNM,2020,151,13,138
geoId-HNM,2021,161,11,150
geoId-HNM,2022,188,15,173
geoId-HNI,2013,953,86,867
geoId-HNI,2014,1018,85,933
geoId-HNI,2015,875,45,830
geoId-HNI,2016,884,41,843
geoId-HNI,2017,1273,91,1182
geoId-HNI,2018,963,14,949
geoId-HNI,2019,1017,118,899
geoId-HNI,2020,825,75,750
geoId-HNI,2021,1003,104,899
geoId-HNI,2022,1209,151,1058
geoId-HTH,2013,73,4,69
geoId-HTH,2014,107,13,94
geoId-HTH,2015,126,13,113
geoId-HTH,2016,133,21,112
geoId-HTH,2017,112,14,98
geoId-HTH,2018,139,9,130
geoId-HTH,2019,117,11,106
geoId-HTH,2020,183,85,98
geoId-HTH,2021,221,129,92
geoId-HTH,2022,143,14,129
geoId-HBH,2013,73,4,69
geoId-HBH,2014,81,1,80
geoId-HBH,2015,111,1,110
geoId-HBH,2016,112,3,109
geoId-HBH,2017,138,3,135
geoId-HBH,2018,124,4,120
geoId-HBH,2019,105,3,102
geoId-HBH,2020,80,3,77
geoId-HBH,2021,101,3,98
geoId-HBH,2022,135,8,127
geoId-HYN,2013,230,11,219
geoId-HYN,2014,194,2,192
geoId-HYN,2015,194,11,183
geoId-HYN,2016,213,5,208
geoId-HYN,2017,276,3,273
geoId-HYN,2018,300,10,290
geoId-HYN,2019,237,5,232
geoId-HYN,2020,140,0,140
geoId-HYN,2021,162,11,151
geoId-HYN,2022,164,13,151
geoId-HDG,2013,262,42,220
geoId-HDG,2014,333,60,273
geoId-HDG,2015,338,66,272
geoId-HDG,2016,378,72,306
geoId-HDG,2017,409,34,375
geoId-HDG,2018,415,70,345
geoId-HDG,2019,467,169,298
geoId-HDG,2020,365,121,244
geoId-HDG,2021,471,167,304
geoId-HDG,2022,420,171,249
geoId-HPG,2013,558,163,395
geoId-HPG,2014,670,178,492
geoId-HPG,2015,606,80,526
geoId-HPG,2016,774,105,669
geoId-HPG,2017,891,132,759
geoId-HPG,2018,870,136,734
geoId-HPG,2019,777,158,619
geoId-HPG,2020,660,141,519
geoId-HPG,2021,799,287,512
geoId-HPG,2022,801,260,541
geoId-HGG,2013,327,84,243
geoId-HGG,2014,291,58,233
geoId-HGG,2015,502,65,437
geoId-HGG,2016,422,127,295
geoId-HGG,2017,474,120,354
geoId-HGG,2018,522,54,468
geoId-HGG,2019,460,64,396
geoId-HGG,2020,332,0,332
geoId-HGG,2021,415,124,291
geoId-HGG,2022,423,52,371
geoId-KHA,2013,408,27,381
geoId-KHA,2014,511,30,481
geoId-KHA,2015,497,34,463
geoId-KHA,2016,573,39,534
geoId-KHA,2017,705,46,659
geoId-KHA,2018,332,28,304
geoId-KHA,2019,268,24,244
geoId-KHA,2020,190,39,151
geoId-KHA,2021,175,34,141
geoId-KHA,2022,210,33,177
geoId-KGG,2013,394,25,369
geoId-KGG,2014,380,27,353
geoId-KGG,2015,574,35,539
geoId-KGG,2016,494,26,468
geoId-KGG,2017,563,44,519
geoId-KGG,2018,602,47,555
geoId-KGG,2019,602,71,531
geoId-KGG,2020,520,39,481
geoId-KGG,2021,414,50,364
geoId-KGG,2022,589,40,549
geoId-KTM,2013,43,,43
geoId-KTM,2014,41,1,40
geoId-KTM,2015,63,0,63
geoId-KTM,2016,57,0,57
geoId-KTM,2017,70,1,69
geoId-KTM,2018,92,1,91
geoId-KTM,2019,59,,59
geoId-KTM,2020,35,1,34
geoId-KTM,2021,75,0,75
geoId-KTM,2022,73,1,72
geoId-LCU,2013,27,,27
geoId-LCU,2014,11,,11
geoId-LCU,2015,18,0,18
geoId-LCU,2016,24,0,24
geoId-LCU,2017,24,,24
geoId-LCU,2018,18,,18
geoId-LCU,2019,65,,65
geoId-LCU,2020,27,0,27
geoId-LCU,2021,33,0,33
geoId-LCU,2022,61,2,59
geoId-LAN,2013,634,18,616
geoId-LAN,2014,650,24,626
geoId-LAN,2015,907,11,896
geoId-LAN,2016,871,16,855
geoId-LAN,2017,976,26,950
geoId-LAN,2018,953,20,933
geoId-LAN,2019,786,30,756
