dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,Sơ bộ 2022,26.91,29.0,24.74,28.19,26.09
geoId-VNM,2005,25.1,26.8,23.5,26.8,24.5
geoId-VNM,2006,24.9,26.6,23.2,26.5,24.3
geoId-VNM,2007,25.0,26.6,23.3,26.6,24.3
geoId-VNM,2008,24.9,26.6,23.1,26.6,24.2
geoId-VNM,2009,24.5,26.2,22.8,26.0,23.9
geoId-VNM,2010,24.5,26.2,22.7,26.0,23.8
geoId-VNM,2011,24.6,26.4,22.8,26.2,23.9
geoId-VNM,2012,24.7,26.6,22.8,26.1,24.0
geoId-VNM,2013,24.5,26.4,22.5,25.9,23.8
geoId-VNM,2014,24.9,26.8,22.9,26.0,24.3
geoId-VNM,2015,24.9,26.9,22.8,26.1,24.3
geoId-VNM,2016,25.1,27.2,23.0,26.4,24.5
geoId-VNM,2017,25.3,27.4,23.1,26.6,24.6
geoId-VNM,2018,25.5,27.6,23.3,26.8,24.8
geoId-VNM,2019,25.2,27.2,23.1,26.4,24.5
geoId-VNM,2020,25.7,27.9,23.4,26.8,25.0
geoId-VNM,2021,26.22,28.3,24.05,27.51,25.37
