"Tỉnh, thành phố",2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,24.0,23.9,24.3,24.6,24.7,25.2,25.2,25.1,26.06,26.25,26.79
geoId-BR-VT,26.0,26.0,26.0,26.8,27.0,27.3,27.7,26.3,27.6,28.09,28.81
geoId-BDG,24.8,24.4,24.2,24.4,25.2,24.9,24.2,25.0,24.96,26.11,27.27
geoId-BPC,24.0,24.2,24.2,23.3,25.2,25.3,25.2,24.5,25.71,25.31,26.43
geoId-BTN,25.0,25.1,26.2,26.2,26.7,26.5,26.4,25.7,26.64,26.93,27.99
geoId-BDH,24.2,24.7,25.0,25.9,25.8,25.8,25.7,25.4,26.06,26.15,27.0
geoId-BLU,25.7,25.2,26.0,25.4,25.4,26.2,25.8,25.3,27.42,28.28,28.2
geoId-BGG,23.4,23.4,23.7,23.3,23.6,23.7,24.5,24.2,24.75,25.27,25.7
geoId-BKN,23.2,22.5,23.3,23.4,23.4,23.4,23.8,23.5,23.45,24.4,24.91
geoId-BNH,22.7,22.8,23.5,23.4,23.6,23.8,24.0,24.3,24.42,24.66,25.1
geoId-SCC,24.7,24.5,25.4,25.4,25.5,25.6,27.0,25.4,26.0,26.18,27.04
geoId-BTE,24.3,24.5,25.0,25.3,25.0,25.2,25.7,25.5,25.98,26.51,26.52
geoId-CBG,22.4,22.4,22.6,22.3,22.2,22.1,22.4,22.5,22.53,23.01,23.35
geoId-CMU,24.8,24.6,24.5,24.6,24.4,24.9,26.2,24.8,25.65,26.0,26.73
geoId-VNM,24.5,24.5,24.9,24.9,25.1,25.3,25.5,25.2,25.7,26.22,26.91
geoId-CTO,25.3,25.5,25.7,25.1,26.3,26.6,26.2,26.9,27.42,28.02,29.32
geoId-GLI,23.0,23.4,23.6,23.3,23.7,23.9,24.1,22.8,23.51,23.58,24.43
geoId-HGG,21.4,20.6,21.5,21.3,21.5,21.5,21.2,21.4,21.65,22.23,22.25
geoId-HNM,23.9,25.4,25.4,25.0,25.7,25.2,25.0,24.6,24.93,25.8,26.71
geoId-HNI,24.9,24.9,25.1,25.2,25.3,25.9,26.2,25.7,25.82,26.42,26.89
geoId-HTH,25.0,24.7,25.2,25.1,25.2,25.3,25.4,25.5,25.91,26.38,26.87
geoId-HBH,23.5,23.3,23.4,23.0,22.9,23.0,23.2,23.7,24.31,24.59,25.34
geoId-HYN,23.5,24.2,23.9,23.6,24.0,24.4,24.3,24.4,25.03,25.35,26.41
geoId-HDG,24.3,23.9,24.9,25.2,25.1,24.9,25.3,24.9,25.06,25.87,26.79
geoId-HPG,24.5,24.5,24.9,25.1,25.2,25.4,25.4,25.5,26.04,26.75,27.08
geoId-HGG,24.4,25.0,25.9,25.7,26.3,26.0,26.2,25.5,26.6,27.36,27.96
geoId-KHA,25.8,25.7,26.6,27.0,27.2,27.2,28.5,26.2,27.16,27.47,28.57
geoId-KGG,24.1,24.2,24.5,24.4,24.9,24.9,25.7,25.4,26.08,27.28,27.78
geoId-KTM,23.3,23.1,23.5,24.0,24.3,24.8,25.0,23.5,25.01,24.71,25.06
geoId-LCU,21.1,20.7,20.4,20.3,20.6,20.6,20.6,20.9,21.47,21.59,21.9
geoId-LAN,24.3,23.9,24.7,25.1,25.5,26.0,25.6,25.2,25.86,26.46,26.99
geoId-LCI,21.8,21.7,22.1,22.2,22.5,22.1,22.1,22.0,22.9,23.35,23.61
geoId-LDG,24.6,24.0,24.9,25.3,25.1,25.5,26.0,25.0,25.4,26.31,26.69
geoId-LSN,23.6,23.7,23.7,23.9,24.1,24.5,24.6,24.4,24.89,24.83,25.75
geoId-NDH,23.4,24.7,23.8,23.9,24.2,24.1,23.9,24.6,24.5,24.55,25.19
geoId-NAN,23.9,24.3,25.2,24.9,24.7,25.0,25.4,25.4,26.39,26.26,27.33
geoId-NBH,24.5,24.0,24.5,24.3,24.2,24.7,24.8,24.8,24.8,24.88,25.85
geoId-NTN,24.2,24.6,25.2,26.0,26.2,26.0,25.9,25.1,25.5,26.2,26.63
geoId-PTO,23.7,23.5,24.0,23.6,23.6,23.9,24.0,24.2,24.34,24.88,25.78
geoId-PYN,24.6,24.7,25.4,25.2,25.4,25.0,25.5,24.9,25.62,25.8,26.18
geoId-QBH,25.9,25.5,25.7,25.8,24.9,26.4,26.0,25.7,26.53,26.91,27.11
geoId-QNM,24.6,24.9,25.2,25.5,25.7,25.8,25.7,25.1,25.82,25.56,26.89
geoId-QNI,24.0,23.8,25.4,25.6,25.9,25.8,25.5,25.0,25.55,25.48,26.25
geoId-QNH,24.8,24.4,25.1,25.0,25.3,25.8,25.7,25.1,25.67,26.23,26.46
geoId-QTI,24.9,24.7,25.0,24.9,24.9,25.1,25.3,24.8,25.13,25.31,25.61
geoId-STG,24.7,24.5,25.0,25.7,25.6,25.8,26.2,25.0,26.12,27.11,27.71
geoId-SLA,21.3,20.5,21.2,20.8,20.7,20.8,21.0,21.1,21.51,21.76,22.09
geoId-THA,23.6,22.8,24.5,23.7,24.1,24.0,24.1,24.6,24.71,24.9,26.13
geoId-TBH,24.1,25.1,25.3,24.7,25.5,25.4,25.5,25.2,25.67,26.15,27.02
geoId-TNN,23.8,23.5,23.9,24.3,24.2,24.5,24.9,24.5,24.47,24.87,25.24
geoId-TTH,26.2,25.6,26.6,26.5,27.3,26.7,27.1,26.5,26.99,27.19,27.97
geoId-TGG,24.0,24.3,24.4,24.7,24.9,25.0,25.4,25.4,26.02,26.0,27.07
geoId-HCM,26.6,27.2,26.8,26.7,27.3,27.6,27.7,27.5,27.99,29.0,29.75
geoId-NT,22.7,22.3,22.7,22.6,22.6,22.7,24.6,23.0,23.4,23.66,24.21
geoId-TVH,24.3,23.8,24.5,24.5,24.5,24.7,24.8,25.1,25.42,25.72,26.41
geoId-TQG,23.2,22.3,22.8,22.6,22.6,22.9,23.2,23.2,23.9,24.14,25.13
geoId-TNN,23.7,23.8,24.3,24.5,24.6,24.6,26.9,23.9,24.4,25.02,25.47
geoId-TNH,24.4,24.2,25.0,25.2,25.6,26.2,26.1,25.8,26.58,26.85,27.78
geoId-VLG,25.2,24.5,25.5,25.3,25.5,26.1,26.0,26.0,26.91,26.88,27.23
geoId-VPC,23.8,23.7,23.6,23.6,23.7,23.7,23.7,23.8,24.31,24.52,25.4
geoId-YBI,22.2,21.6,22.1,22.4,22.3,22.2,22.2,22.5,23.18,22.79,23.7
geoId-DBN,21.7,21.4,21.6,21.4,21.5,21.3,21.7,21.3,22.58,22.15,22.81
geoId-DNG,26.5,25.9,26.1,26.2,26.6,26.8,27.1,26.5,26.81,27.33,27.63
geoId-ST,25.9,26.1,26.0,26.1,26.7,26.9,27.3,26.5,27.1,27.89,28.8
geoId-DLK,23.9,24.1,24.7,23.3,25.1,24.7,25.3,24.3,24.56,25.28,25.53
geoId-DNG1,23.1,24.0,24.0,24.1,24.9,24.2,24.1,23.7,24.19,25.68,25.99
geoId-MRD,24.5,24.5,24.9,25.0,25.2,25.6,26.5,25.4,26.3,26.82,27.39
geoId-RRD,24.3,24.5,24.7,24.7,24.9,25.2,26.4,25.1,25.4,25.91,26.52
geoId-DNI,25.9,26.4,26.4,26.4,26.9,27.6,27.7,26.0,27.36,27.63,28.45
geoId-DTP,24.3,25.5,25.2,25.3,25.6,26.2,26.1,25.7,26.59,27.12,27.51
