"Giới tính, thành thị, nông thôn và vùng",2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-SCC,70.7,72.4,72.4,72.4,72.4,72.5,72.6,72.7,72.8,72.9,72.9,73.0,73.2,73.42,73.42
geoId-VNM,72.2,72.8,72.9,73.0,73.0,73.1,73.2,73.3,73.4,73.5,73.5,73.6,73.7,73.64,73.64
,,,70.3,70.42,70.45,70.5,70.6,70.7,70.8,70.9,70.9,71.0,71.0,71.14,71.14
,,,,,,,,,,,72.42,72.57,72.69,73.67,73.67
,,,75.7,75.78,75.8,75.9,76.0,76.1,76.1,76.2,76.2,76.3,76.4,76.44,76.44
,,,,,,,,,,,76.1,76.2,76.24,76.72,76.83
geoId-NT,69.4,70.0,70.0,70.5,70.3,70.4,70.7,70.8,70.9,71.0,71.0,71.1,71.4,71.2,71.2
geoId-TNN,68.7,69.1,69.3,70.0,69.4,69.5,69.5,69.9,70.1,70.2,70.3,70.3,71.0,71.07,71.07
geoId-ST,75.0,75.3,75.5,75.6,75.7,75.7,75.9,76.0,76.0,76.1,76.2,75.7,76.2,76.11,76.11
geoId-MRD,73.4,73.8,74.1,74.3,74.4,74.4,74.6,74.7,74.7,74.8,74.9,75.0,74.9,75.04,75.04
geoId-RRD,74.6,74.2,74.3,74.2,74.3,74.3,74.5,74.5,74.6,74.7,74.7,74.8,74.8,75.16,75.16
