Tỉnh/Thành phố,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,73.65,73.74,73.77,73.71,73.71
geoId-BR-VT,76.35,76.41,76.47,76.41,76.41
geoId-BDG,75.98,74.75,74.75,74.75,74.75
geoId-BPC,73.77,73.86,73.95,73.98,73.98
geoId-BTN,74.38,74.47,74.56,74.65,74.65
geoId-BDH,73.38,73.48,73.51,73.47,73.47
geoId-BLU,74.55,74.62,74.72,74.61,74.61
geoId-BGG,73.31,73.4,73.45,73.42,73.42
geoId-BKN,72.49,72.62,72.58,72.59,72.59
geoId-BNH,74.26,74.34,74.05,74.26,74.26
geoId-SCC,72.93,73.04,73.15,73.42,73.42
geoId-BTE,75.57,75.66,75.61,75.66,75.66
geoId-CBG,70.46,70.6,70.56,71.36,71.36
geoId-CMU,74.88,74.98,75.31,75.12,75.12
geoId-VNM,73.49,73.6,73.66,73.64,73.64
geoId-CTO,75.8,75.9,75.97,75.8,75.8
geoId-GLI,69.74,69.88,70.07,71.17,71.17
geoId-HGG,67.74,67.88,68.4,68.78,68.78
geoId-HNM,74.59,74.66,74.7,74.69,74.69
geoId-HNI,75.4,75.47,75.47,75.66,76.04
geoId-HTH,72.67,72.77,72.59,72.81,72.81
geoId-HBH,72.57,72.66,72.6,72.69,72.69
geoId-HYN,74.5,74.59,74.7,74.66,74.66
geoId-HDG,74.71,74.79,74.83,74.84,74.84
geoId-HPG,74.6,74.67,74.54,74.68,74.68
geoId-HGG,75.44,75.52,75.53,75.54,75.54
geoId-KHA,73.79,73.87,73.52,73.93,73.93
geoId-KGG,74.37,74.46,74.45,74.44,74.44
geoId-KTM,66.59,66.73,67.65,68.01,68.01
geoId-LCU,65.66,65.83,66.69,67.9,67.9
geoId-LAN,75.68,75.76,75.61,75.75,76.12
geoId-LCI,69.01,69.16,69.26,69.96,69.96
geoId-LDG,72.94,73.04,73.29,73.27,73.27
geoId-LSN,72.24,72.35,72.42,72.45,72.45
geoId-NDH,74.37,74.46,74.55,74.48,74.48
geoId-NAN,72.78,72.88,73.09,73.15,73.15
geoId-NBH,73.66,73.75,74.17,74.25,74.25
geoId-NTN,72.93,73.01,72.92,73.14,73.14
geoId-PTO,73.4,73.5,73.44,73.53,73.53
geoId-PYN,73.37,73.46,73.57,73.52,73.52
geoId-QBH,72.72,72.11,72.65,72.86,72.86
geoId-QNM,72.84,72.94,73.04,73.1,73.1
geoId-QNI,72.4,72.51,72.37,72.53,72.53
geoId-QNH,73.4,73.49,73.43,73.49,73.49
geoId-QTI,68.18,68.31,68.17,69.3,69.3
geoId-STG,74.15,74.23,74.35,74.29,74.29
geoId-SLA,70.78,70.9,70.96,70.94,70.94
geoId-THA,73.26,73.35,73.42,73.43,73.43
geoId-TBH,75.35,75.43,74.91,75.41,75.41
geoId-TNN,73.53,73.62,73.68,73.7,73.7
geoId-TTH,71.68,71.79,71.71,72.31,72.31
geoId-TGG,75.9,75.96,76.12,75.95,75.95
geoId-HCM,76.56,76.62,76.46,76.24,76.25
geoId-NT,70.95,71.15,71.39,71.2,71.2
geoId-TVH,74.48,74.58,74.77,74.65,74.65
geoId-TQG,72.15,72.25,72.28,72.18,72.18
geoId-TNN,70.27,70.33,71.03,71.07,71.07
geoId-TNH,74.69,74.77,74.74,74.81,74.81
geoId-VLG,75.42,75.48,75.57,75.42,75.42
geoId-VPC,74.24,74.31,74.0,74.36,74.36
geoId-YBI,69.54,69.68,69.56,69.66,69.66
geoId-DBN,67.69,67.83,68.44,68.44,68.44
geoId-DNG,76.04,76.1,76.27,76.18,76.18
geoId-ST,76.17,75.69,76.18,76.11,76.11
geoId-DLK,70.44,70.55,70.99,71.42,71.42
geoId-DNG1,69.92,70.04,70.12,70.29,70.29
geoId-MRD,74.86,74.96,74.92,75.04,75.04
geoId-RRD,74.72,74.81,74.84,75.16,75.16
geoId-DNI,76.6,76.67,76.3,76.26,76.26
geoId-DTP,74.65,74.72,74.88,74.71,74.71
