dia phuong,Năm,Tổng số,Thành thị,Nông thôn
geoId-VNM,Sơ bộ 2022,2.01,1.72,2.24
geoId-VNM,2001,2.25,1.86,2.38
geoId-VNM,2002,2.28,1.93,2.39
geoId-VNM,2003,2.12,1.7,2.3
geoId-VNM,2004,2.23,1.87,2.38
geoId-VNM,2005,2.11,1.73,2.28
geoId-VNM,2006,2.09,1.72,2.25
geoId-VNM,2007,2.07,1.7,2.22
geoId-VNM,2008,2.08,1.83,2.22
geoId-VNM,2009,2.03,1.81,2.14
geoId-VNM,2010,2.0,1.77,2.11
geoId-VNM,2011,1.99,1.7,2.12
geoId-VNM,2012,2.05,1.8,2.17
geoId-VNM,2013,2.1,1.86,2.21
geoId-VNM,2014,2.09,1.85,2.21
geoId-VNM,2015,2.1,1.82,2.25
geoId-VNM,2016,2.09,1.86,2.21
geoId-VNM,2017,2.04,1.77,2.19
geoId-VNM,2018,2.05,1.75,2.22
geoId-VNM,2019,2.09,1.83,2.26
geoId-VNM,2020,2.12,1.88,2.29
geoId-VNM,2021,2.11,1.64,2.4
