Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,2.0,1.86,1.86,1.97,1.97,1.92,2.17,2.07,2.1,1.73,1.84,1.77,1.78,1.85,1.9,1.94,1.85
geoId-BR-VT,2.06,2.09,2.13,2.01,1.88,1.82,1.7,1.92,1.97,1.56,1.52,1.37,1.51,1.87,1.94,1.78,1.91
geoId-BDG,1.66,1.74,1.85,1.7,1.72,1.76,1.7,1.78,1.44,1.59,1.61,1.9,1.53,1.54,1.63,1.62,1.45
geoId-BPC,2.61,2.47,2.38,2.45,2.43,2.31,2.22,2.43,2.3,2.05,1.92,2.02,1.99,2.27,2.25,2.21,2.29
geoId-BTN,2.38,2.4,2.38,2.07,2.09,2.14,2.39,2.15,1.57,2.04,1.81,1.75,1.82,1.91,1.96,2.06,1.97
geoId-BDH,2.25,2.17,2.09,2.22,2.17,2.28,2.26,2.55,2.29,2.14,2.0,2.09,2.3,2.2,2.24,2.22,2.02
geoId-BLU,2.11,2.1,2.0,1.75,1.59,1.69,1.97,1.82,1.82,1.67,1.63,1.77,1.54,1.61,1.66,1.56,1.46
geoId-BGG,2.21,2.07,2.22,1.94,1.86,1.94,2.09,1.77,2.57,2.77,2.64,2.73,2.38,2.31,2.3,2.32,2.35
geoId-BKN,2.29,2.12,2.07,1.84,1.85,1.91,2.3,2.11,2.07,2.42,2.4,2.37,2.23,2.14,2.14,2.22,2.07
geoId-BNH,2.4,2.28,2.29,2.32,2.26,2.23,2.71,2.29,2.72,2.72,2.63,2.67,2.66,2.53,2.49,2.6,2.53
geoId-SCC,2.37,2.27,2.3,2.21,2.21,2.21,2.32,2.37,2.31,2.34,2.37,2.31,2.3,2.32,2.31,2.32,2.29
geoId-BTE,1.76,1.7,1.71,1.81,1.79,1.71,2.2,1.98,1.89,1.97,1.9,1.88,1.88,1.86,1.87,1.64,1.62
geoId-CBG,2.55,2.28,2.26,2.18,2.09,2.15,2.13,2.05,2.53,2.52,2.46,2.34,2.48,2.43,2.42,2.4,2.4
geoId-CMU,2.1,2.0,2.01,1.75,1.64,1.73,1.62,1.7,1.65,1.8,1.85,1.65,1.75,1.8,1.85,1.86,1.81
geoId-VNM,2.11,2.07,2.08,2.03,2.0,1.99,2.05,2.1,2.09,2.1,2.09,2.04,2.05,2.09,2.12,2.11,2.01
geoId-CTO,1.7,1.64,1.75,1.72,1.62,1.62,1.58,1.81,1.89,1.88,2.01,1.64,1.66,1.66,1.74,1.68,1.73
geoId-GLI,3.1,2.97,2.86,2.88,2.9,2.85,2.36,2.48,2.27,2.45,2.38,2.36,2.27,2.49,2.47,2.44,2.31
geoId-HGG,3.06,2.89,2.86,3.08,3.05,2.57,2.78,2.7,2.51,2.93,2.42,2.49,2.74,2.47,2.57,2.62,2.77
geoId-HNM,2.3,2.18,2.12,2.07,2.09,2.16,1.83,1.87,1.99,2.22,2.11,1.97,2.39,2.44,2.36,2.35,2.42
geoId-HNI,1.83,1.91,2.06,2.08,2.0,2.02,2.06,2.03,2.18,2.04,2.06,2.0,2.07,2.24,2.25,2.18,2.13
geoId-HNI,2.29,2.23,,,,,,,,,,,,,,,
geoId-HTH,2.38,2.46,2.65,2.46,2.46,2.5,2.75,2.95,3.12,2.65,3.21,3.24,2.9,2.83,2.73,2.95,2.87
geoId-HBH,2.09,2.06,2.01,1.98,1.98,2.03,2.08,1.9,2.3,2.84,2.56,2.3,2.42,2.34,2.29,2.19,2.16
geoId-HYN,2.32,2.08,2.25,2.11,2.13,2.19,2.1,2.46,2.29,2.4,2.37,2.1,2.39,2.4,2.4,2.43,2.52
geoId-HDG,2.1,2.04,2.13,1.99,1.98,2.01,2.07,1.99,2.06,2.0,2.3,1.95,2.59,2.48,2.57,2.44,2.13
geoId-HPG,2.13,1.86,1.95,2.16,1.98,2.0,2.37,2.03,2.35,2.02,2.11,1.99,1.92,2.2,2.05,2.35,2.3
geoId-HGG,1.95,1.94,1.89,1.96,1.75,1.77,1.78,1.78,1.61,1.64,1.48,1.53,1.64,1.83,1.84,1.83,1.51
geoId-KHA,2.12,2.14,2.18,2.04,2.06,1.93,2.04,2.04,1.65,1.75,1.75,1.64,1.4,1.77,1.81,1.82,1.88
