dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,Sơ bộ 2022,96.13,97.24,95.08,98.31,94.76
geoId-VNM,2006,93.6,96.0,91.4,96.9,92.3
geoId-VNM,2007,93.8,96.2,91.6,97.0,92.5
geoId-VNM,2008,93.6,96.1,91.3,97.0,92.2
geoId-VNM,2009,94.0,96.1,92.0,97.3,92.5
geoId-VNM,2010,93.7,95.9,91.6,97.0,92.3
geoId-VNM,2011,94.2,96.5,92.2,97.3,92.7
geoId-VNM,2012,94.7,96.6,92.9,97.5,93.3
geoId-VNM,2013,94.8,96.6,93.1,97.6,93.4
geoId-VNM,2014,94.7,96.4,93.0,97.5,93.3
geoId-VNM,2015,94.9,96.6,93.3,97.6,93.5
geoId-VNM,2016,95.0,96.6,93.5,97.7,93.6
geoId-VNM,2017,95.1,96.7,93.6,97.8,93.6
geoId-VNM,2018,94.8,96.5,93.2,97.7,93.2
geoId-VNM,2019,95.8,97.0,94.6,98.3,94.3
geoId-VNM,2020,95.4,96.7,94.1,97.9,93.9
geoId-VNM,2021,95.69,96.9,94.54,98.09,94.2
