Địa phương,2006,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,88.6,88.5,88.4,88.5,89.1,91.0,89.5,90.5,91.0,92.1,91.7,91.6,90.75,91.28,91.5
geoId-BR-VT,95.6,96.0,96.2,96.4,96.0,96.2,96.2,96.8,97.3,97.7,97.2,97.5,97.55,97.73,98.34
geoId-BDG,96.5,97.2,95.3,96.2,97.1,97.2,97.2,97.3,96.8,96.3,96.5,98.0,96.57,97.3,98.22
geoId-BPC,94.3,91.8,94.1,94.9,92.8,93.3,92.7,93.4,95.3,92.9,91.1,93.8,94.29,93.44,94.76
geoId-BTN,93.8,92.0,92.8,93.9,93.3,93.9,93.0,93.3,93.7,94.0,93.2,94.6,94.45,95.09,94.1
geoId-BDH,95.1,95.8,92.7,93.8,95.7,95.8,95.7,96.1,96.7,97.0,96.3,97.2,97.14,96.35,96.43
geoId-BLU,94.2,93.1,93.7,94.6,94.5,95.4,94.3,94.1,93.6,94.5,93.7,95.1,94.59,94.48,93.58
geoId-BGG,96.6,96.7,96.9,97.4,97.7,97.7,97.8,97.7,97.9,97.7,97.5,98.7,98.35,98.2,98.44
geoId-BKN,91.0,90.2,90.7,89.2,91.2,91.8,92.6,93.9,93.9,93.2,92.3,91.7,91.63,93.49,93.31
geoId-BNH,96.5,97.1,96.5,97.2,97.8,97.6,97.8,97.5,97.5,97.7,97.7,98.8,98.46,98.35,98.16
geoId-SCC,94.3,94.5,93.3,93.9,94.5,94.7,95.2,95.2,95.4,95.6,95.3,96.2,95.8,95.98,96.18
geoId-BTE,95.0,94.1,95.3,94.0,95.1,96.1,95.1,94.6,95.0,94.7,93.8,95.2,94.59,94.46,95.85
geoId-CBG,81.9,82.5,84.6,84.9,85.0,86.5,81.5,85.5,84.9,85.5,85.6,85.7,86.6,85.36,87.36
geoId-CMU,96.1,95.5,95.9,95.7,96.0,95.5,96.0,95.6,95.3,95.8,96.4,96.6,96.24,96.07,97.2
geoId-VNM,93.6,94.0,93.7,94.2,94.7,94.8,94.7,94.9,95.0,95.1,94.8,95.8,95.4,95.69,96.13
geoId-CTO,94.0,94.2,94.4,95.1,95.4,94.5,94.2,94.2,94.2,95.4,93.9,96.5,95.4,95.87,96.82
geoId-GLI,83.1,81.8,82.5,83.9,87.9,83.9,85.6,84.0,83.9,84.8,85.4,85.9,84.58,85.99,89.17
geoId-HGG,71.7,68.3,74.6,81.0,73.3,72.4,73.0,74.9,75.8,73.9,72.4,73.5,74.73,74.45,75.84
