Tỉnh/Thành phố,2019,2020,2021,Sơ bộ 2022
geoId-AGG,97.25,96.69,97.25,97.18
geoId-BR-VT,98.83,99.01,98.84,99.23
geoId-BDG,99.09,98.3,99.39,100.0
geoId-BPC,97.41,97.35,97.05,97.55
geoId-BTN,98.67,98.54,98.85,99.54
geoId-BDH,99.5,98.63,98.83,99.46
geoId-BLU,96.85,97.69,98.76,97.45
geoId-BGG,97.99,98.15,99.67,99.78
geoId-BKN,98.6,99.54,99.05,99.61
geoId-BNH,99.86,99.8,99.41,99.94
geoId-SCC,99.18,98.9,98.94,99.32
geoId-BTE,99.17,98.74,98.68,99.17
geoId-CBG,94.49,97.85,95.79,97.46
geoId-CMU,97.51,97.53,97.38,96.12
geoId-VNM,98.77,98.73,98.79,99.04
geoId-CTO,99.94,96.42,98.97,98.92
geoId-GLI,95.96,96.94,96.33,95.61
geoId-HGG,93.48,94.44,93.71,94.75
geoId-HNM,99.74,99.92,99.89,99.94
geoId-HNI,99.51,99.62,99.58,99.62
geoId-HTH,99.18,99.24,99.41,98.92
geoId-HBH,99.42,99.22,99.78,100.0
geoId-HYN,99.82,99.25,99.24,99.72
geoId-HDG,99.86,99.19,99.91,99.93
geoId-HPG,99.53,99.11,99.5,99.31
geoId-HGG,99.53,96.66,97.09,98.7
geoId-KHA,99.13,98.9,99.47,99.66
geoId-KGG,95.69,97.14,97.78,97.39
geoId-KTM,98.31,99.22,99.07,99.32
geoId-LCU,93.49,95.61,97.56,95.67
geoId-LAN,99.22,97.58,99.14,98.38
geoId-LCI,97.04,97.79,98.04,97.94
geoId-LDG,98.59,98.59,99.02,98.12
geoId-LSN,95.9,98.8,98.12,99.02
geoId-NDH,99.77,99.9,99.69,99.68
geoId-NAN,99.32,98.78,98.83,99.39
geoId-NBH,99.73,99.64,99.88,99.76
geoId-NTN,98.11,98.53,98.86,98.14
geoId-PTO,99.7,99.71,99.57,99.89
geoId-PYN,98.8,98.16,98.71,99.43
geoId-QBH,99.45,99.49,99.37,99.71
geoId-QNM,99.16,98.77,99.25,99.32
geoId-QNI,99.03,99.21,96.43,99.37
geoId-QNH,99.82,99.69,99.28,99.7
geoId-QTI,98.81,99.32,99.31,99.23
geoId-STG,96.23,96.18,98.3,96.36
geoId-SLA,95.9,98.8,97.46,99.56
geoId-THA,99.5,98.92,99.36,99.63
geoId-TBH,99.85,100.0,99.79,100.0
geoId-TNN,93.49,95.61,99.25,99.48
geoId-TTH,98.89,99.21,98.42,98.44
geoId-TGG,99.28,99.12,98.43,98.92
geoId-HCM,99.65,99.45,98.99,99.77
geoId-NT,97.72,98.49,98.21,98.75
geoId-TVH,98.57,97.05,99.04,98.47
geoId-TQG,98.74,99.16,98.99,99.5
geoId-TNN,97.11,97.71,97.42,97.72
geoId-TNH,98.09,98.0,98.75,97.45
geoId-VLG,99.46,99.07,98.82,99.08
geoId-VPC,98.99,98.99,99.68,100.0
geoId-YBI,97.99,98.15,98.09,98.23
geoId-DBN,96.46,98.52,97.35,99.01
geoId-DNG,99.05,98.94,99.28,99.11
geoId-ST,99.22,98.99,98.89,99.41
geoId-DLK,96.85,97.12,96.63,98.48
geoId-DNG1,96.92,98.32,98.02,98.98
geoId-MRD,98.17,97.56,98.32,97.99
geoId-RRD,99.63,99.55,99.61,99.72
geoId-DNI,99.44,99.32,98.93,99.49
geoId-DTP,98.9,98.09,98.67,98.06
