Tỉnh/Thành phố,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,23.8,22.9,22.7,21.9,21.6,21.2,20.9,20.7,20.4,20.27,20.51,19.91
geoId-BR-VT,13.3,13.1,12.9,12.5,12.3,12.1,11.9,11.8,11.6,11.46,11.64,11.52
geoId-BDG,13.5,14.1,14.1,13.6,13.4,13.3,13.1,13.0,14.1,13.93,14.36,13.87
geoId-BPC,24.4,22.3,22.2,21.4,21.1,20.7,20.4,20.3,19.9,19.6,19.49,18.88
geoId-BTN,21.0,20.0,19.8,19.1,18.8,18.4,18.2,18.0,17.7,17.38,17.08,16.73
geoId-BDH,22.8,24.1,23.9,23.1,22.7,22.3,22.0,21.8,21.4,21.33,21.48,20.1
geoId-BLU,19.2,19.4,19.1,18.5,18.1,17.8,17.5,17.4,17.2,16.83,17.21,16.64
geoId-BGG,25.1,24.1,23.8,23.0,23.0,22.6,22.3,22.1,21.8,21.54,21.69,19.92
geoId-BKN,29.4,28.2,27.9,27.0,26.5,26.0,25.6,25.5,24.9,25.09,25.06,24.42
geoId-BNH,19.3,20.6,20.2,19.6,19.2,18.9,18.6,18.5,18.2,19.23,18.47,17.3
geoId-SCC,25.7,25.8,25.5,24.9,24.5,24.1,23.9,23.7,23.2,22.77,21.68,20.33
geoId-BTE,17.2,15.3,15.4,14.9,14.6,14.4,14.2,14.1,13.8,13.93,13.78,13.76
geoId-CBG,43.1,38.4,38.2,36.9,36.3,35.6,35.1,34.9,34.2,34.38,30.42,28.38
geoId-CMU,21.0,17.8,17.8,17.2,16.9,16.6,16.3,16.2,15.9,14.87,15.46,15.05
geoId-VNM,23.8,23.2,23.1,22.4,22.1,21.8,21.5,21.4,21.0,22.3,20.47,18.93
geoId-CTO,13.5,14.8,14.6,14.1,13.9,13.6,13.4,13.4,13.2,13.02,13.54,13.0
geoId-GLI,39.1,47.2,47.0,44.2,40.0,39.3,38.7,38.4,37.8,36.8,31.39,28.39
geoId-HBH,29.3,26.6,26.6,25.7,26.2,25.7,25.3,25.1,24.8,25.0,24.64,23.34
geoId-HGG,57.6,55.4,54.6,52.7,51.8,50.8,50.0,49.7,48.9,45.79,43.54,35.39
geoId-HNM,23.6,18.9,18.9,18.3,18.0,17.7,17.4,17.3,17.0,16.88,16.92,15.57
geoId-HNI,15.5,15.7,15.8,15.2,15.2,14.9,14.7,14.6,14.4,13.86,13.78,12.79
geoId-HTH,26.3,27.3,27.1,26.2,25.8,25.3,24.9,24.7,24.3,25.07,24.17,22.77
geoId-HYN,19.3,19.5,19.3,18.6,18.3,18.0,17.7,17.6,17.3,16.89,17.03,16.75
geoId-HDG,18.3,18.5,18.5,17.8,17.5,17.2,17.0,16.8,16.5,16.43,16.4,16.17
geoId-HPG,17.2,19.1,18.9,18.3,18.0,17.6,17.4,17.3,17.0,17.45,16.97,16.88
geoId-HGG,15.8,15.8,15.8,15.3,15.0,14.8,14.6,14.5,14.2,14.2,14.15,13.64
geoId-KHA,22.5,22.1,22.1,21.4,21.0,20.6,20.3,20.2,19.9,21.28,19.66,19.0
geoId-KGG,20.4,19.4,19.5,18.8,18.8,18.5,18.2,18.1,17.8,17.78,17.83,17.56
geoId-KTM,59.4,62.6,62.7,60.4,59.3,58.1,57.2,56.8,55.8,50.2,48.09,43.12
geoId-LCU,73.3,69.9,69.6,67.1,65.9,64.6,63.5,63.1,61.9,56.08,48.76,42.8
geoId-LAN,14.6,14.9,15.0,14.5,14.3,14.0,13.8,13.7,13.5,13.94,13.5,12.56
geoId-LCI,48.6,46.5,46.4,44.8,44.0,43.2,42.5,42.2,41.5,40.9,37.34,33.53
geoId-LDG,21.8,24.8,24.8,25.0,24.6,24.1,23.8,23.6,23.2,22.21,22.29,21.58
geoId-LSN,25.1,29.5,29.0,28.1,27.6,27.1,26.6,26.5,26.0,25.73,25.62,24.52
geoId-NDH,19.8,20.1,19.8,19.1,18.8,18.5,18.2,18.1,17.7,17.43,17.69,16.92
geoId-NAN,25.3,26.1,26.2,25.3,25.3,24.8,24.4,24.3,23.9,23.03,22.79,21.92
geoId-NBH,23.1,22.7,22.6,21.9,21.5,21.1,20.8,20.7,20.3,18.8,18.51,18.27
geoId-NTN,28.3,26.1,25.9,25.0,24.6,24.2,23.8,23.7,23.3,23.72,22.8,21.83
geoId-PTO,27.4,23.7,23.8,23.0,22.6,22.2,21.9,21.8,21.4,21.61,21.23,19.92
geoId-PYN,29.0,24.1,24.0,23.2,22.8,22.4,22.0,21.9,21.5,21.06,21.26,20.89
