dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2001,45.3,56.5,33.4,30.9,50.1
geoId-VNM,2002,39.6,49.8,28.8,25.6,44.1
geoId-VNM,2003,31.8,40.4,22.6,19.5,31.8
geoId-VNM,2004,27.3,35.0,19.0,16.6,31.0
geoId-VNM,2005,26.8,34.5,18.7,14.5,30.9
geoId-VNM,2006,24.1,31.1,16.6,14.9,27.1
geoId-VNM,2007,24.1,31.1,16.6,14.6,28.3
geoId-VNM,2008,22.5,29.2,15.4,14.9,22.5
geoId-VNM,2009,24.1,31.1,16.6,14.0,28.2
geoId-VNM,2010,23.8,30.7,16.3,13.7,27.4
geoId-VNM,2011,23.3,30.2,16.0,12.8,27.2
geoId-VNM,2012,23.2,30.1,15.9,13.4,27.6
geoId-VNM,2013,23.1,29.9,15.8,13.3,27.5
geoId-VNM,2014,22.4,29.1,15.4,13.1,26.9
geoId-VNM,2015,22.1,28.7,15.1,12.9,26.5
geoId-VNM,2016,21.8,28.3,14.9,12.9,26.4
geoId-VNM,2017,21.5,28.0,14.7,12.7,26.0
geoId-VNM,2018,21.4,27.8,14.5,12.6,25.7
geoId-VNM,2019,21.0,27.3,14.2,12.3,25.1
geoId-VNM,2020,22.3,27.2,14.1,12.2,24.6
geoId-VNM,2021,20.47,26.71,13.86,10.8,20.6
geoId-VNM,Sơ bộ 2022,18.93,25.0,12.5,10.51,19.69
