dia phuong,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
geoId-VNM,2001,15.4,3.9,11.6
geoId-VNM,2002,16.9,4.5,12.4
geoId-VNM,2003,15.0,4.7,10.3
geoId-VNM,2004,16.7,4.5,12.2
geoId-VNM,2005,15.6,4.2,11.4
geoId-VNM,2006,15.3,4.8,10.5
geoId-VNM,2007,15.9,4.7,11.2
geoId-VNM,2008,15.8,4.8,11.0
geoId-VNM,2009,17.3,5.5,11.8
geoId-VNM,2010,16.39,5.49,10.9
geoId-VNM,2011,15.28,5.78,9.5
geoId-VNM,2012,16.0,5.9,10.1
geoId-VNM,2013,16.2,6.2,10.0
geoId-VNM,2014,16.71,6.05,10.66
geoId-VNM,2015,15.3,5.83,9.47
geoId-VNM,2016,15.53,6.18,9.34
geoId-VNM,2017,14.0,6.0,8.0
geoId-VNM,2018,13.42,5.37,8.05
geoId-VNM,2019,16.19,5.15,11.05
geoId-VNM,2020,15.94,4.98,10.9
geoId-VNM,2021,13.8,5.1,8.7
geoId-VNM,Sơ bộ 2022,14.21,4.95,9.2
