Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,Sơ bộ 2022
geoId-AGG,5.2,5.1,5.0,8.0,7.9,7.3,7.8,7.8,8.8,7.5,8.8,9.7,8.6,9.7,9.27,8.1,,7.9
geoId-BR-VT,4.4,4.4,4.1,6.6,6.5,6.3,7.1,7.5,5.1,4.5,4.4,5.6,5.0,5.0,4.77,5.4,,4.1
geoId-BDG,4.4,4.5,4.3,5.6,5.5,5.5,5.6,5.6,3.8,3.8,5.2,3.7,3.8,3.4,3.3,3.6,,3.7
geoId-BPC,5.1,5.1,4.8,7.0,6.9,6.4,6.9,6.5,5.2,6.3,4.3,6.1,5.8,4.7,4.48,6.7,,6.1
geoId-BTN,4.6,4.3,4.4,6.1,6.1,6.3,5.5,6.0,5.8,6.6,6.5,6.2,6.8,5.8,5.59,6.3,,6.1
geoId-BDH,6.5,5.7,5.2,7.3,7.3,8.0,7.8,7.8,8.9,5.7,6.8,7.9,7.9,7.1,6.79,7.4,,4.6
geoId-BLU,4.8,4.4,4.5,5.8,5.7,5.6,5.9,6.2,7.1,6.8,6.4,6.0,4.9,6.2,5.99,5.2,,6.5
geoId-BGG,4.9,5.6,5.2,5.5,5.4,6.5,7.2,7.6,6.9,5.2,7.4,8.4,5.4,6.3,6.03,4.0,,4.7
geoId-BKN,6.3,6.1,5.6,7.1,7.1,7.8,8.4,7.8,7.2,8.9,8.3,7.3,7.4,7.8,7.44,9.1,,6.7
geoId-BNH,5.2,6.0,6.6,7.1,7.0,7.2,7.5,7.3,7.4,6.3,6.4,4.8,7.7,5.6,5.38,5.4,,4.9
geoId-SCC,5.9,6.1,5.8,7.1,7.1,7.7,6.8,7.1,7.6,7.1,7.5,7.2,7.9,6.8,6.6,7.0,,6.4
geoId-BTE,5.0,5.6,5.2,7.5,7.4,7.2,7.9,8.1,8.4,9.1,9.5,9.1,9.9,8.2,7.86,6.4,,7.5
geoId-CBG,7.5,7.8,7.2,8.7,8.7,8.7,9.3,9.3,10.3,12.8,11.7,14.4,11.1,10.7,10.31,7.2,,6.8
geoId-CMU,4.8,4.8,4.4,5.6,5.6,5.8,5.3,6.0,7.4,5.4,4.8,6.6,5.0,5.4,5.21,5.4,,5.8
geoId-VNM,5.3,5.3,5.3,6.8,6.8,6.9,7.0,7.1,6.9,6.8,6.8,6.8,6.8,6.3,6.06,6.4,,6.1
geoId-CTO,4.5,4.5,4.7,6.7,6.7,5.9,6.8,6.6,6.7,7.3,6.1,6.3,6.0,5.9,5.7,7.2,,7.3
geoId-GLI,6.3,6.4,6.3,6.3,6.3,6.0,6.2,6.4,5.9,7.1,6.6,6.0,3.4,5.5,5.3,4.6,,5.7
geoId-HGG,7.6,7.9,7.1,6.9,6.9,7.7,8.4,8.5,8.1,7.3,7.1,7.2,7.2,7.9,7.6,7.5,,7.0
geoId-HNM,6.2,6.4,5.0,7.1,7.1,7.9,7.7,7.5,8.5,6.2,6.2,6.5,9.0,6.8,6.52,4.5,,7.8
geoId-HNI,4.2,4.9,4.6,6.0,6.0,6.8,7.2,7.3,6.6,7.3,7.8,5.5,6.1,5.7,5.43,7.6,,6.4
geoId-HNI,5.5,5.9,,,,,,,,,,,,,,,,
