Tỉnh/thành phố,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,96.4,96.7,97.8,98.7,98.71,98.7,98.69,98.68,98.67,98.7,98.7,98.6,98.6,98.62,98.61,98.63,101.66
geoId-BR-VT,100.3,100.4,100.5,99.9,100.0,100.08,100.16,100.25,100.33,100.4,100.5,100.6,100.7,100.74,98.3,98.3,99.49
geoId-BDG,90.5,91.9,92.8,92.7,93.49,94.32,95.16,96.01,96.87,97.7,98.6,99.5,100.4,101.36,105.0,101.58,102.04
geoId-BPC,103.2,103.8,103.3,103.2,103.0,102.85,102.7,102.55,102.4,102.2,102.1,102.0,101.8,101.65,101.64,101.61,101.73
geoId-BTN,99.2,99.5,100.8,100.3,100.39,100.45,100.52,100.59,100.65,100.7,100.8,100.9,100.9,100.99,101.13,101.23,101.66
geoId-BDH,95.0,95.2,95.4,95.1,95.23,95.38,95.44,95.37,95.32,95.5,95.8,96.1,96.5,97.03,97.05,97.05,98.87
geoId-BLU,96.0,94.6,95.1,99.5,99.53,99.6,99.68,99.75,99.82,99.9,100.0,100.0,100.1,100.19,100.15,100.1,100.54
geoId-BGG,97.8,97.8,98.6,98.3,98.56,98.8,99.04,99.29,99.53,99.8,100.0,100.3,100.5,100.77,101.01,100.9,101.6
geoId-BKN,99.9,100.3,101.2,101.6,101.89,102.13,102.37,102.61,102.85,103.1,103.3,103.6,103.8,104.07,103.59,103.59,104.92
geoId-BNH,94.6,94.9,95.8,96.4,96.55,96.66,96.78,96.9,97.02,97.1,97.3,97.4,96.8,97.62,97.07,98.31,96.81
geoId-SCC,96.6,96.7,97.3,97.8,97.83,97.93,98.05,98.14,98.27,98.4,98.6,98.7,98.9,99.05,99.0,99.06,99.75
geoId-BTE,94.2,94.7,95.6,96.3,96.26,96.21,96.16,96.11,96.06,96.0,96.0,95.9,95.9,95.81,96.03,96.03,97.4
geoId-CBG,96.1,96.4,96.4,98.5,98.69,98.87,99.06,99.25,99.44,99.6,99.8,100.0,100.2,100.39,100.35,100.35,100.97
geoId-CMU,97.3,97.3,99.8,101.0,101.2,101.36,101.52,101.68,101.84,102.0,102.2,102.3,102.5,102.63,102.64,102.64,104.52
geoId-VNM,96.8,96.9,97.2,97.8,97.86,97.96,98.08,98.2,98.31,98.4,98.6,98.8,98.9,99.07,99.19,99.37,99.49
geoId-CTO,96.8,97.2,97.7,98.5,98.45,98.44,98.44,98.43,98.42,98.4,98.4,98.4,98.4,98.39,98.65,98.6,98.56
geoId-GLI,98.8,103.6,99.7,100.8,100.79,100.75,100.71,100.67,100.63,100.6,100.6,100.5,100.5,100.43,100.57,100.56,100.59
geoId-HGG,98.1,98.1,98.1,100.3,100.14,99.79,100.03,100.58,100.74,101.4,101.4,101.6,101.9,102.14,102.1,102.25,103.1
geoId-HNM,93.7,94.1,94.5,95.4,95.59,95.74,95.9,96.05,96.2,96.4,96.5,96.7,96.8,96.97,97.13,97.21,98.1
geoId-HNI,100.2,100.5,95.9,96.6,96.76,96.94,97.11,97.28,97.45,97.6,97.8,98.0,98.1,98.32,98.09,98.41,97.63
geoId-HNI,94.2,93.0,,,,,,,,,,,,,,,
geoId-HTH,97.6,98.6,92.3,97.8,97.91,98.02,98.13,98.23,98.34,98.4,98.6,98.7,98.8,98.88,98.12,98.12,98.93
geoId-HBH,98.2,98.9,95.2,98.5,98.64,98.78,98.93,99.08,99.23,99.4,99.5,99.7,99.8,99.97,101.0,101.0,101.38
geoId-HYN,94.2,93.6,93.5,96.0,96.46,96.87,97.41,97.62,97.92,98.5,99.0,99.6,99.8,100.25,100.58,100.58,100.87
geoId-HDG,95.1,95.5,95.6,95.8,96.09,96.39,96.68,96.98,97.28,97.6,97.9,98.2,98.5,98.8,99.6,99.6,100.43
geoId-HPG,97.7,97.7,98.1,98.4,98.39,98.43,98.46,98.5,98.54,98.6,98.6,98.7,98.7,98.74,97.86,97.86,98.35
geoId-HGG,96.4,98.0,99.7,101.3,101.12,100.97,100.83,100.68,100.53,100.4,100.2,100.1,100.0,99.81,101.38,101.38,102.5
geoId-KHA,98.3,98.6,98.5,97.5,97.7,97.85,98.15,98.59,98.3,98.4,98.6,98.8,98.9,99.05,99.19,99.16,99.46
geoId-KGG,97.6,97.3,99.5,101.9,101.99,102.08,102.17,102.26,102.35,102.4,102.5,102.6,102.7,102.8,102.84,102.97,104.78
geoId-KTM,100.5,100.9,99.3,102.6,102.43,102.27,102.11,101.95,101.79,101.6,101.5,101.3,101.2,101.0,100.83,100.71,101.02
geoId-LCU,101.3,101.1,102.8,104.6,103.83,103.83,103.83,103.83,103.83,103.8,103.8,103.8,103.8,103.83,103.04,102.59,102.7
geoId-LAN,96.4,98.8,98.7,98.7,98.74,98.82,98.91,99.0,99.08,99.2,99.3,99.3,99.4,99.52,99.68,99.68,99.72
geoId-LCI,99.1,100.0,100.8,101.3,101.49,101.7,101.92,102.14,102.35,102.6,102.8,103.0,103.2,103.45,103.78,103.28,104.08
geoId-LDG,100.1,100.1,100.5,100.9,100.96,101.01,101.07,101.13,101.18,101.2,101.3,101.4,101.4,101.44,101.43,101.45,101.65
geoId-LSN,98.5,98.9,99.2,99.1,99.58,100.12,100.67,101.22,101.78,102.3,102.9,103.5,104.1,104.49,104.7,104.29,104.74
geoId-NDH,94.9,95.3,94.5,95.8,95.76,95.72,95.7,95.7,95.71,95.7,95.8,95.8,95.9,96.05,96.05,96.0,96.05
geoId-NAN,96.5,96.2,97.6,98.6,98.3,98.3,98.45,98.36,98.91,99.2,99.5,99.6,99.8,100.11,100.28,100.41,100.42
geoId-NBH,95.4,96.9,97.9,98.7,98.76,98.81,98.86,98.91,98.96,99.0,99.1,99.1,99.2,99.24,99.61,99.61,100.12
geoId-NTN,97.4,97.9,98.6,99.4,99.47,99.59,99.72,99.84,99.96,100.1,100.2,100.3,100.4,100.57,102.08,102.08,102.77
geoId-PTO,96.8,96.7,97.1,96.7,97.62,97.3,97.27,97.5,97.7,97.9,98.1,98.5,98.6,98.95,98.57,98.43,99.38
geoId-PYN,98.2,98.5,99.4,100.2,100.31,100.41,100.59,100.66,100.71,100.8,100.9,101.0,101.1,101.22,101.18,101.17,101.64
geoId-QBH,98.8,99.3,99.9,100.4,99.98,99.93,99.81,99.83,99.92,100.0,100.1,100.2,100.6,100.72,100.83,100.91,101.47
geoId-QNM,93.8,93.9,94.5,95.0,95.13,95.34,95.56,95.79,95.93,96.1,96.3,96.5,96.7,96.8,96.82,96.82,97.6
geoId-QNI,95.8,96.3,96.8,97.2,97.28,97.36,97.39,97.44,97.51,97.5,97.6,97.7,97.7,97.75,97.76,97.76,99.13
geoId-QNH,103.7,102.6,103.7,104.3,104.19,104.11,104.03,103.95,103.87,103.8,103.7,103.6,103.6,103.48,103.46,103.46,103.35
geoId-QTI,97.9,97.8,98.4,97.4,97.53,97.62,97.71,97.8,97.89,98.0,98.1,98.2,98.2,98.33,98.33,98.71,99.42
geoId-STG,95.1,95.1,96.6,98.8,98.87,98.93,98.99,99.04,99.1,99.2,99.2,99.3,99.3,99.38,99.34,99.34,102.53
geoId-SLA,100.8,101.1,98.5,101.1,101.27,101.43,101.6,101.76,101.93,102.1,102.3,102.4,102.6,102.8,102.94,103.04,103.04
geoId-THA,95.9,96.2,98.1,97.7,97.89,98.08,98.27,98.46,98.65,98.8,99.0,99.2,99.4,99.6,98.81,98.91,99.71
geoId-TBH,92.3,92.5,93.1,93.3,93.49,93.64,93.78,93.94,94.09,94.2,94.4,94.5,94.7,94.84,95.05,96.0,97.28
geoId-TNN,100.1,99.9,99.4,97.8,97.65,97.21,97.21,97.21,96.46,95.8,95.8,96.1,95.9,95.64,95.51,95.47,95.4
geoId-TTH,96.2,96.5,96.9,97.7,97.7,97.73,97.76,97.79,97.82,97.8,97.9,97.9,97.9,97.96,98.06,98.06,99.35
geoId-TGG,94.0,94.3,95.5,96.3,96.92,96.94,96.19,96.31,96.26,96.3,96.3,96.3,96.3,96.38,96.15,96.13,96.97
geoId-HCM,93.6,93.7,93.4,92.4,92.65,92.92,93.18,93.45,93.72,94.0,94.3,94.5,94.8,95.07,94.93,96.86,94.36
geoId-NT,98.6,98.8,98.6,99.3,99.53,99.59,99.77,99.98,100.06,100.2,100.4,100.6,100.8,100.98,101.05,100.98,101.53
geoId-TVH,98.7,98.1,97.9,97.1,97.06,97.05,97.04,97.04,97.05,97.0,97.0,97.0,97.0,96.98,96.85,96.85,97.55
geoId-TQG,97.8,98.1,97.7,100.4,100.49,100.59,100.7,100.8,100.91,101.0,101.1,101.2,101.3,101.43,101.41,101.37,102.38
geoId-TNN,101.9,101.4,100.6,102.1,102.03,101.99,101.97,101.94,101.9,101.9,101.9,101.8,101.8,101.73,101.67,101.66,101.81
geoId-TNH,96.2,96.8,98.0,99.0,99.11,99.2,99.28,99.37,99.45,99.5,99.6,99.7,99.8,99.88,100.11,100.11,100.61
geoId-VLG,94.6,94.6,95.9,96.9,96.95,96.97,96.99,97.01,97.02,97.0,97.1,97.1,97.1,97.1,97.09,97.11,97.81
geoId-VPC,98.1,98.1,98.1,97.6,97.58,97.58,97.58,97.58,96.76,96.8,96.8,97.8,98.1,99.32,99.35,99.35,99.74
geoId-YBI,99.1,98.9,99.4,99.9,100.01,100.26,100.67,100.61,100.48,100.6,100.7,101.0,101.1,101.25,101.35,101.59,102.57
geoId-DBN,100.6,100.7,100.7,100.1,100.37,100.63,100.89,101.14,101.39,101.7,102.0,102.2,102.5,102.82,103.13,103.13,103.14
geoId-DNG,96.6,93.7,96.7,97.3,97.3,97.29,97.28,97.27,97.26,97.2,97.2,97.2,97.2,97.19,97.91,97.91,98.18
geoId-ST,95.4,95.7,95.7,95.1,95.32,95.58,95.85,96.13,96.41,96.7,97.0,97.3,97.6,97.91,98.6,99.15,97.41
geoId-DLK,104.9,101.8,102.0,102.0,101.93,101.91,101.88,101.86,101.83,101.8,101.8,101.8,101.7,101.7,101.87,101.86,102.18
geoId-DNG1,105.3,98.4,100.0,108.2,108.0,107.81,107.63,107.44,107.12,107.2,106.9,106.7,106.5,106.34,104.98,104.98,104.76
geoId-MRD,96.0,96.3,97.7,98.8,98.85,98.88,98.83,98.87,98.89,98.9,98.9,99.0,99.0,99.04,99.12,99.13,100.55
geoId-RRD,96.3,96.3,96.1,96.8,96.94,97.07,97.22,97.35,97.44,97.6,97.7,98.0,98.1,98.32,98.25,98.52,98.45
