dia phuong,Năm,Tổng số,Thành thị,Nông thôn
geoId-VNM,2000,107.3,113.6,105.5
geoId-VNM,2001,109.0,112.5,106.8
geoId-VNM,2002,107.0,109.9,106.7
geoId-VNM,2003,104.0,99.5,105.0
geoId-VNM,2004,108.0,106.1,108.5
geoId-VNM,2005,105.6,105.4,105.7
geoId-VNM,2006,109.8,109.0,110.0
geoId-VNM,2007,111.6,112.7,111.3
geoId-VNM,2008,112.1,114.2,111.4
geoId-VNM,2009,110.5,110.6,110.5
geoId-VNM,2010,111.2,108.9,112.0
geoId-VNM,2011,111.9,114.2,111.1
geoId-VNM,2012,112.3,116.8,110.4
geoId-VNM,2013,113.8,110.3,115.5
geoId-VNM,2014,112.2,109.9,113.2
geoId-VNM,2015,112.8,114.8,111.9
geoId-VNM,2016,112.2,110.4,113.0
geoId-VNM,2017,112.1,114.4,111.1
geoId-VNM,2018,114.8,118.0,113.4
geoId-VNM,2019,111.5,110.8,111.8
geoId-VNM,2020,112.06,109.85,113.2
geoId-VNM,2021,112.0,111.8,113.0
geoId-VNM,Sơ bộ 2022,111.56,107.24,113.88
