Địa phương,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-AGG,2004,283.0,207.0,37.0,39.0
geoId-AGG,2005,322.0,219.0,59.0,44.0
geoId-AGG,2006,308.0,181.0,58.0,69.0
geoId-AGG,2007,264.0,213.0,34.0,17.0
geoId-AGG,2008,303.0,200.0,76.0,27.0
geoId-AGG,2009,335.0,206.0,72.0,57.0
geoId-AGG,2010,363.0,218.0,86.0,59.0
geoId-AGG,2012,437.0,271.0,105.0,61.0
geoId-AGG,2013,455.0,287.0,103.0,65.0
geoId-AGG,2014,467.0,290.0,110.0,67.0
geoId-AGG,2015,474.0,301.0,106.0,67.0
geoId-AGG,2016,475.0,301.0,117.0,57.0
geoId-AGG,2017,471.0,296.0,123.0,52.0
geoId-AGG,2019,503.0,309.0,136.0,58.0
geoId-AGG,2020,505.0,312.0,136.0,57.0
geoId-AGG,2021,526.0,321.0,150.0,55.0
geoId-BR-VT,2004,,,,
geoId-BR-VT,2005,,,,
geoId-BR-VT,2006,,,,
geoId-BR-VT,2007,,,,
geoId-BR-VT,2008,,,,
geoId-BR-VT,2009,,,,
geoId-BR-VT,2010,,,,
geoId-BR-VT,2012,,,,
geoId-BR-VT,2013,,,,
geoId-BR-VT,2014,,,,
geoId-BR-VT,2015,,,,
geoId-BR-VT,2016,,,,
geoId-BR-VT,2017,75.0,32.0,26.0,17.0
geoId-BR-VT,2019,92.0,39.0,33.0,20.0
geoId-BR-VT,2020,92.0,39.0,35.0,18.0
geoId-BR-VT,2021,123.0,49.0,44.0,30.0
geoId-BPC,2004,192.0,144.0,32.0,16.0
geoId-BPC,2005,178.0,140.0,25.0,13.0
geoId-BPC,2006,202.0,152.0,38.0,12.0
geoId-BPC,2007,230.0,152.0,51.0,27.0
geoId-BPC,2008,299.0,197.0,66.0,36.0
geoId-BPC,2009,287.0,191.0,56.0,40.0
geoId-BPC,2010,344.0,235.0,61.0,48.0
geoId-BPC,2012,456.0,297.0,112.0,47.0
geoId-BPC,2013,535.0,335.0,133.0,67.0
geoId-BPC,2014,555.0,340.0,141.0,74.0
geoId-BPC,2015,599.0,380.0,143.0,76.0
geoId-BPC,2016,610.0,398.0,142.0,70.0
geoId-BPC,2017,601.0,399.0,132.0,70.0
geoId-BPC,2019,672.0,403.0,187.0,82.0
geoId-BPC,2020,680.0,411.0,186.0,83.0
geoId-BPC,2021,662.0,402.0,182.0,78.0
geoId-BTN,2004,310.0,189.0,74.0,47.0
geoId-BTN,2005,331.0,184.0,85.0,62.0
geoId-BTN,2006,347.0,183.0,98.0,66.0
geoId-BTN,2007,415.0,210.0,122.0,83.0
geoId-BTN,2008,401.0,190.0,117.0,94.0
geoId-BTN,2009,385.0,151.0,119.0,115.0
geoId-BTN,2010,479.0,221.0,128.0,130.0
geoId-BTN,2012,523.0,246.0,119.0,158.0
geoId-BTN,2013,595.0,281.0,148.0,166.0
geoId-BTN,2014,627.0,303.0,155.0,169.0
geoId-BTN,2015,644.0,312.0,163.0,169.0
geoId-BTN,2016,664.0,333.0,167.0,164.0
geoId-BTN,2017,654.0,332.0,161.0,161.0
geoId-BTN,2019,724.0,381.0,177.0,166.0
geoId-BTN,2020,754.0,407.0,187.0,160.0
geoId-BTN,2021,755.0,406.0,190.0,159.0
geoId-BDH,2004,,,,
geoId-BDH,2005,,,,
geoId-BDH,2006,,,,
geoId-BDH,2007,,,,
geoId-BDH,2008,,,,
geoId-BDH,2009,,,,
geoId-BDH,2010,,,,
geoId-BDH,2012,,,,
geoId-BDH,2013,179.0,81.0,39.0,59.0
geoId-BDH,2014,141.0,79.0,39.0,23.0
geoId-BDH,2015,152.0,90.0,38.0,24.0
geoId-BDH,2016,149.0,86.0,35.0,28.0
geoId-BDH,2017,152.0,90.0,35.0,27.0
geoId-BDH,2019,144.0,75.0,40.0,29.0
geoId-BDH,2020,151.0,82.0,40.0,29.0
geoId-BDH,2021,161.0,93.0,39.0,29.0
geoId-BLU,2004,266.0,173.0,83.0,10.0
geoId-BLU,2005,240.0,140.0,73.0,27.0
geoId-BLU,2006,276.0,163.0,81.0,32.0
geoId-BLU,2007,273.0,140.0,94.0,39.0
geoId-BLU,2008,304.0,155.0,109.0,40.0
geoId-BLU,2009,241.0,128.0,73.0,40.0
geoId-BLU,2010,262.0,142.0,75.0,45.0
geoId-BLU,2012,266.0,130.0,92.0,44.0
geoId-BLU,2013,269.0,138.0,89.0,42.0
geoId-BLU,2014,273.0,130.0,101.0,42.0
geoId-BLU,2015,271.0,132.0,96.0,43.0
geoId-BLU,2016,279.0,136.0,95.0,48.0
geoId-BLU,2017,287.0,134.0,100.0,53.0
geoId-BLU,2019,335.0,138.0,131.0,66.0
geoId-BLU,2020,334.0,144.0,122.0,68.0
geoId-BLU,2021,329.0,137.0,121.0,71.0
geoId-BGG,2004,741.0,416.0,254.0,71.0
geoId-BGG,2005,819.0,428.0,312.0,79.0
geoId-BGG,2006,825.0,425.0,321.0,79.0
geoId-BGG,2007,756.0,320.0,351.0,85.0
geoId-BGG,2008,858.0,392.0,347.0,119.0
geoId-BGG,2009,846.0,394.0,339.0,113.0
geoId-BGG,2010,1093.0,477.0,445.0,171.0
geoId-BGG,2012,1271.0,565.0,496.0,210.0
geoId-BGG,2013,1411.0,623.0,546.0,242.0
geoId-BGG,2014,1396.0,646.0,531.0,219.0
geoId-BGG,2015,1423.0,659.0,541.0,223.0
geoId-BGG,2016,1489.0,668.0,560.0,261.0
geoId-BGG,2017,1596.0,736.0,612.0,248.0
geoId-BGG,2019,1809.0,884.0,621.0,304.0
geoId-BGG,2020,1956.0,1004.0,644.0,308.0
geoId-BGG,2021,2039.0,1038.0,682.0,319.0
geoId-BKN,2004,2969.0,1594.0,1090.0,285.0
geoId-BKN,2005,2963.0,1529.0,1126.0,308.0
geoId-BKN,2006,1587.0,153.0,1126.0,308.0
geoId-BKN,2007,2960.0,1530.0,1138.0,292.0
geoId-BKN,2008,3417.0,1753.0,1214.0,450.0
geoId-BKN,2009,3482.0,1868.0,1185.0,429.0
geoId-BKN,2010,3425.0,1883.0,1122.0,420.0
geoId-BKN,2012,3690.0,1923.0,1287.0,480.0
geoId-BKN,2013,3424.0,1962.0,1061.0,401.0
geoId-BKN,2014,3452.0,1979.0,1074.0,399.0
geoId-BKN,2015,3499.0,2026.0,1094.0,379.0
geoId-BKN,2016,3499.0,2023.0,1117.0,359.0
geoId-BKN,2017,3522.0,2017.0,1115.0,390.0
geoId-BKN,2019,3168.0,1846.0,980.0,342.0
geoId-BKN,2020,3159.0,1834.0,973.0,352.0
geoId-BKN,2021,3046.0,1767.0,941.0,338.0
geoId-CBG,2004,5908.0,3640.0,1777.0,491.0
geoId-CBG,2005,6076.0,3661.0,1951.0,464.0
geoId-CBG,2006,6527.0,3699.0,2196.0,632.0
geoId-CBG,2007,6353.0,3445.0,2215.0,693.0
geoId-CBG,2008,6313.0,3329.0,2192.0,792.0
geoId-CBG,2009,6827.0,3624.0,2413.0,790.0
geoId-CBG,2010,7062.0,3768.0,2468.0,826.0
geoId-CBG,2012,6901.0,3809.0,2357.0,735.0
geoId-CBG,2013,7089.0,3988.0,2304.0,797.0
geoId-CBG,2014,7111.0,4028.0,2311.0,772.0
geoId-CBG,2015,7055.0,4047.0,2270.0,738.0
geoId-CBG,2016,7015.0,4043.0,2235.0,737.0
geoId-CBG,2017,6910.0,3950.0,2223.0,737.0
geoId-CBG,2019,6510.0,3806.0,2024.0,680.0
geoId-CBG,2020,6416.0,3739.0,1981.0,696.0
geoId-CBG,2021,6249.0,3639.0,1924.0,686.0
geoId-CMU,2004,,,,
geoId-CMU,2005,,,,
geoId-CMU,2006,,,,
geoId-CMU,2007,,,,
geoId-CMU,2008,,,,
geoId-CMU,2009,,,,
geoId-CMU,2010,,,,
geoId-CMU,2012,,,,
geoId-CMU,2013,,,,
geoId-CMU,2014,,,,
geoId-CMU,2015,,,,
geoId-CMU,2016,,,,
geoId-CMU,2017,127.0,59.0,35.0,33.0
geoId-CMU,2019,151.0,59.0,49.0,43.0
geoId-CMU,2020,157.0,61.0,49.0,47.0
geoId-CMU,2021,154.0,59.0,47.0,48.0
,2004,,,,
,2005,,,,
,2006,,,,
,2007,,,,
,2008,,,,
,2009,,,,
,2010,,,,
