Địa phương,năm,Giáo viên,Giáo viên công lập,"Học sinh, sinh viên được tuyển mới","Học sinh, sinh viên được tuyển mới-Trung cấp","Học sinh, sinh viên được tuyển mới-Cao đẳng"
geoId-AGG,2020,811.0,811.0,24436.0,2459.0,1047.0
geoId-BR-VT,2020,1248.0,353.0,34862.0,4083.0,5590.0
geoId-BDG,2020,1981.0,762.0,47894.0,4850.0,6808.0
geoId-BPC,2020,776.0,245.0,37396.0,1010.0,1560.0
geoId-BTN,2020,888.0,337.0,16516.0,2510.0,1520.0
geoId-BDH,2020,1127.0,1119.0,29941.0,2259.0,1795.0
geoId-BLU,2020,276.0,267.0,9273.0,1323.0,1546.0
geoId-BGG,2020,1113.0,533.0,31567.0,5125.0,1100.0
geoId-BKN,2020,285.0,202.0,6274.0,615.0,190.0
geoId-BNH,2020,2935.0,825.0,67116.0,5213.0,4463.0
geoId-SCC,2020,15700.0,10676.0,424147.0,72376.0,56591.0
geoId-BTE,2020,508.0,486.0,9415.0,640.0,960.0
geoId-CBG,2020,164.0,164.0,5550.0,750.0,
geoId-CMU,2020,412.0,412.0,10849.0,1169.0,1090.0
geoId-VNM,2020,83959.0,47465.0,2260471.0,330000.0,250000.0
geoId-CTO,2020,1431.0,778.0,61560.0,10670.0,12065.0
geoId-GLI,2020,611.0,388.0,16331.0,1370.0,890.0
geoId-HBH,2020,951.0,407.0,15305.0,2450.0,1050.0
geoId-HGG,2020,326.0,326.0,10130.0,595.0,255.0
geoId-HNM,2020,596.0,450.0,18939.0,3193.0,2265.0
geoId-HNI,2020,11176.0,4791.0,265723.0,46825.0,30465.0
geoId-HNI,2020,,,,,
geoId-HTH,2020,836.0,726.0,31071.0,5746.0,3010.0
geoId-HYN,2020,1236.0,647.0,30524.0,4361.0,2065.0
geoId-HDG,2020,1896.0,1030.0,38116.0,3462.0,2108.0
geoId-HPG,2020,2002.0,1468.0,68115.0,8300.0,4200.0
geoId-HGG,2020,497.0,221.0,9729.0,765.0,439.0
geoId-KHA,2020,1007.0,926.0,29815.0,5033.0,2676.0
geoId-KGG,2020,803.0,803.0,25970.0,2904.0,1990.0
geoId-KTM,2020,354.0,307.0,14815.0,319.0,203.0
geoId-LCU,2020,176.0,98.0,9546.0,319.0,160.0
geoId-LAN,2020,548.0,230.0,28200.0,2520.0,2180.0
geoId-LCI,2020,382.0,382.0,10593.0,1404.0,1625.0
geoId-LDG,2020,1064.0,379.0,28802.0,4200.0,3125.0
geoId-LSN,2020,448.0,289.0,19195.0,1750.0,850.0
geoId-NDH,2020,1407.0,1065.0,37920.0,5902.0,3324.0
geoId-NAN,2020,2594.0,1578.0,76804.0,9015.0,14250.0
geoId-NBH,2020,1022.0,767.0,25049.0,3263.0,2577.0
geoId-NTN,2020,413.0,319.0,11586.0,2150.0,565.0
geoId-PTO,2020,1806.0,698.0,32354.0,4850.0,4235.0
geoId-PYN,2020,384.0,384.0,10651.0,2850.0,1305.0
geoId-QBH,2020,670.0,596.0,19626.0,1808.0,550.0
geoId-QNM,2020,1483.0,848.0,35220.0,3150.0,3064.0
geoId-QNI,2020,604.0,229.0,25319.0,5615.0,2165.0
geoId-QNH,2020,1793.0,1112.0,32625.0,12819.0,5298.0
geoId-QTI,2020,195.0,195.0,16045.0,1400.0,980.0
geoId-STG,2020,529.0,529.0,12830.0,796.0,885.0
geoId-SLA,2020,435.0,435.0,26172.0,2295.0,1520.0
geoId-THA,2020,2013.0,1307.0,50152.0,11200.0,11621.0
geoId-TBH,2020,527.0,527.0,22728.0,5556.0,3100.0
geoId-TNN,2020,2009.0,1507.0,45067.0,10950.0,5240.0
geoId-TTH,2020,1584.0,1271.0,30831.0,5660.0,3550.0
geoId-TGG,2020,881.0,881.0,13631.0,2620.0,2380.0
geoId-HCM,2020,13068.0,4885.0,337637.0,50143.0,42965.0
geoId-NT,2020,9303.0,5986.0,251856.0,36364.0,19065.0
geoId-TVH,2020,283.0,283.0,21516.0,865.0,1560.0
geoId-TQG,2020,509.0,319.0,9167.0,550.0,250.0
geoId-TNN,2020,3469.0,1835.0,98666.0,9069.0,6093.0
geoId-TNH,2020,478.0,236.0,15808.0,2580.0,2380.0
geoId-VLG,2020,698.0,628.0,33400.0,2500.0,1450.0
geoId-VPC,2020,1966.0,1213.0,43818.0,5998.0,3885.0
geoId-YBI,2020,425.0,352.0,22015.0,3859.0,2050.0
geoId-DBN,2020,274.0,274.0,8921.0,852.0,540.0
geoId-DNG,2020,1902.0,841.0,40570.0,13980.0,9540.0
geoId-ST,2020,20728.0,8218.0,557702.0,74288.0,73349.0
geoId-DLK,2020,1092.0,640.0,32889.0,1980.0,1625.0
geoId-DNG1,2020,348.0,121.0,5829.0,1200.0,250.0
geoId-MRD,2020,8203.0,6855.0,277427.0,33011.0,31152.0
geoId-RRD,2020,26556.0,13895.0,650673.0,104892.0,63750.0
geoId-DNI,2020,3177.0,1737.0,84105.0,11622.0,14046.0
geoId-DTP,2020,526.0,526.0,16618.0,3780.0,3560.0
