Địa phương,2015,2016,2017,2018,2019,2020
geoId-AGG,446.0,502.0,488.0,466.0,441.0,426.0
geoId-BR-VT,244.0,212.0,237.0,216.0,209.0,223.0
geoId-BDG,1182.0,1380.0,1302.0,1119.0,1174.0,1287.0
geoId-BTN,129.0,133.0,122.0,135.0,133.0,191.0
geoId-BDH,674.0,688.0,609.0,591.0,541.0,589.0
geoId-BLU,196.0,202.0,195.0,182.0,176.0,167.0
geoId-BGG,156.0,150.0,153.0,153.0,152.0,156.0
geoId-BNH,416.0,448.0,444.0,556.0,468.0,578.0
geoId-SCC,9739.0,10544.0,10541.0,10551.0,9966.0,10210.0
geoId-VNM,69591.0,72792.0,74991.0,73312.0,73132.0,76576.0
geoId-CTO,2584.0,2831.0,2891.0,2769.0,2736.0,2734.0
geoId-HBH,118.0,,,,,
geoId-HNI,23611.0,24342.0,26181.0,25369.0,25306.0,26292.0
geoId-HTH,217.0,194.0,219.0,221.0,205.0,184.0
geoId-HYN,663.0,704.0,607.0,643.0,643.0,659.0
geoId-HDG,1024.0,861.0,948.0,899.0,786.0,853.0
geoId-HPG,1157.0,1589.0,1749.0,1721.0,1647.0,1607.0
geoId-HGG,332.0,392.0,436.0,270.0,266.0,254.0
geoId-KHA,857.0,824.0,852.0,854.0,766.0,763.0
geoId-KGG,86.0,161.0,185.0,221.0,205.0,181.0
geoId-KTM,60.0,67.0,66.0,,51.0,52.0
geoId-LAN,414.0,415.0,344.0,554.0,334.0,354.0
geoId-LDG,324.0,430.0,449.0,414.0,390.0,464.0
geoId-NDH,1342.0,1286.0,1019.0,977.0,910.0,916.0
geoId-NAN,1524.0,1681.0,1781.0,1781.0,1373.0,1351.0
geoId-NBH,220.0,195.0,164.0,192.0,189.0,192.0
geoId-PTO,590.0,598.0,555.0,534.0,513.0,491.0
geoId-PYN,337.0,359.0,363.0,330.0,322.0,329.0
geoId-QBH,146.0,193.0,192.0,187.0,179.0,170.0
geoId-QNM,310.0,337.0,336.0,327.0,277.0,273.0
geoId-QNI,400.0,418.0,433.0,399.0,381.0,362.0
geoId-QNH,430.0,482.0,469.0,429.0,376.0,361.0
geoId-QTI,,,37.0,33.0,,33.0
geoId-SLA,361.0,358.0,347.0,269.0,298.0,284.0
geoId-THA,629.0,652.0,598.0,707.0,688.0,618.0
geoId-TBH,505.0,529.0,492.0,549.0,532.0,525.0
geoId-TNN,2326.0,2369.0,2289.0,2218.0,2191.0,2503.0
geoId-TTH,2052.0,2286.0,2156.0,1975.0,2036.0,2011.0
geoId-TGG,203.0,306.0,296.0,270.0,308.0,290.0
geoId-HCM,16617.0,17241.0,17438.0,17148.0,17921.0,19126.0
geoId-NT,3746.0,3672.0,3589.0,3409.0,3414.0,3786.0
geoId-TVH,862.0,902.0,953.0,1160.0,1144.0,1172.0
geoId-TQG,195.0,197.0,245.0,235.0,260.0,281.0
geoId-TNN,900.0,1059.0,1147.0,1054.0,1071.0,1169.0
geoId-VLG,536.0,427.0,712.0,644.0,729.0,953.0
geoId-VPC,377.0,406.0,461.0,392.0,429.0,407.0
geoId-DNG,2464.0,2779.0,2843.0,3011.0,3065.0,3336.0
geoId-ST,19333.0,20069.0,20205.0,19580.0,20608.0,22068.0
geoId-DLK,516.0,562.0,632.0,640.0,630.0,653.0
geoId-MRD,6128.0,6606.0,6975.0,6991.0,6787.0,6953.0
geoId-RRD,29745.0,30842.0,32534.0,31727.0,31286.0,32390.0
geoId-DNI,1290.0,1236.0,1228.0,1097.0,1304.0,1432.0
geoId-DTP,469.0,468.0,475.0,455.0,448.0,422.0
