dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,30236.0,21417.0,7523.0,1296.0
geoId-VNM,2005,32506.0,21699.0,8925.0,1882.0
geoId-VNM,2006,21024.0,10207.0,8543.0,2274.0
geoId-VNM,2007,34439.0,21627.0,10727.0,2085.0
geoId-VNM,2008,32911.0,21339.0,9435.0,2137.0
geoId-VNM,2009,31210.0,19230.0,9814.0,2166.0
geoId-VNM,2010,34912.0,22160.0,9886.0,2866.0
geoId-VNM,2011,35632.0,22101.0,10272.0,3259.0
geoId-VNM,2012,33244.0,22100.0,7931.0,3213.0
geoId-VNM,2013,36381.0,22233.0,10755.0,3393.0
geoId-VNM,2014,35859.0,22026.0,10617.0,3216.0
geoId-VNM,2015,35918.0,21480.0,11114.0,3324.0
geoId-VNM,2016,35229.0,20719.0,11272.0,3238.0
geoId-VNM,2017,35213.0,20091.0,11759.0,3363.0
geoId-VNM,2018,36068.0,20625.0,12201.0,3242.0
geoId-VNM,2019,36856.0,21102.0,12284.0,3470.0
geoId-VNM,2020,37289.0,21393.0,12267.0,3629.0
geoId-VNM,2021,37468.0,21835.0,11612.0,4021.0
