Địa phương,2015,2016,2017,2018,2019,2020
geoId-AGG,10069.0,9117.0,8348.0,8802.0,9069.0,10203.0
geoId-BR-VT,4018.0,4137.0,4237.0,4323.0,4247.0,4841.0
geoId-BDG,23252.0,26264.0,26016.0,25666.0,27663.0,24652.0
geoId-BTN,1299.0,1606.0,1618.0,1762.0,1945.0,2267.0
geoId-BDH,21368.0,17886.0,17798.0,19792.0,18378.0,20294.0
geoId-BLU,2747.0,2391.0,2257.0,2149.0,1602.0,1654.0
geoId-BGG,1690.0,3091.0,2314.0,1880.0,1312.0,1192.0
geoId-BNH,6196.0,5638.0,7166.0,4477.0,4974.0,7727.0
geoId-SCC,260500.0,257262.0,241676.0,214342.0,220266.0,254965.0
geoId-VNM,1753174.0,1767879.0,1707025.0,1526111.0,1672881.0,1905956.0
geoId-CTO,78341.0,82134.0,80157.0,68354.0,78063.0,84717.0
geoId-HBH,1324.0,,,,,
geoId-HNI,611608.0,611982.0,588931.0,505627.0,556008.0,628981.0
geoId-HTH,3607.0,4439.0,3610.0,2948.0,1917.0,1399.0
geoId-HYN,13062.0,14264.0,11674.0,10631.0,11131.0,13507.0
geoId-HDG,11533.0,12225.0,10992.0,8312.0,9079.0,11449.0
geoId-HPG,35793.0,36475.0,32458.0,30617.0,35327.0,40989.0
geoId-HGG,4321.0,4616.0,4437.0,4369.0,4255.0,4253.0
geoId-KHA,14264.0,13824.0,15987.0,15980.0,17702.0,19688.0
geoId-KGG,853.0,1996.0,3297.0,4178.0,4428.0,4486.0
geoId-KTM,1928.0,2234.0,2052.0,,1520.0,1386.0
geoId-LAN,2427.0,2161.0,2117.0,2647.0,2388.0,2406.0
geoId-LDG,13219.0,14708.0,14803.0,13905.0,15071.0,17069.0
geoId-NDH,21034.0,23546.0,23384.0,20886.0,18325.0,18112.0
geoId-NAN,50993.0,46683.0,37978.0,36375.0,28622.0,33364.0
geoId-NBH,1429.0,1565.0,1376.0,940.0,934.0,1136.0
geoId-PTO,10006.0,10464.0,7689.0,6640.0,6471.0,7534.0
geoId-PYN,5465.0,5973.0,4750.0,3203.0,3713.0,4275.0
geoId-QBH,3515.0,3344.0,3924.0,2381.0,1907.0,1888.0
geoId-QNM,4470.0,5126.0,4595.0,2543.0,1865.0,3164.0
geoId-QNI,5509.0,5178.0,4269.0,3613.0,3033.0,3064.0
geoId-QNH,4588.0,3911.0,2972.0,3056.0,3571.0,4038.0
geoId-QTI,,249.0,202.0,77.0,,135.0
geoId-SLA,8545.0,6887.0,5971.0,5971.0,4345.0,4488.0
geoId-THA,12810.0,12588.0,11263.0,9303.0,9577.0,10472.0
geoId-TBH,7353.0,7654.0,7773.0,7077.0,7857.0,8168.0
geoId-TNN,54466.0,58289.0,53211.0,32420.0,39272.0,47232.0
geoId-TTH,63270.0,65431.0,55969.0,41739.0,45380.0,55382.0
geoId-TGG,4003.0,4013.0,4032.0,3144.0,3676.0,4782.0
geoId-HCM,455926.0,458987.0,466367.0,462407.0,520981.0,599782.0
geoId-NT,76950.0,80047.0,70753.0,48471.0,52848.0,63633.0
geoId-TVH,29266.0,29135.0,25527.0,15575.0,17290.0,20818.0
geoId-TQG,919.0,1316.0,1568.0,1560.0,1448.0,2846.0
geoId-TNN,30835.0,31169.0,29967.0,25824.0,28440.0,30221.0
geoId-VLG,7996.0,9336.0,10663.0,10215.0,12872.0,15530.0
geoId-VPC,15675.0,15065.0,11362.0,7615.0,7288.0,10650.0
geoId-DNG,73930.0,74935.0,79713.0,74626.0,86227.0,99573.0
geoId-ST,504772.0,510127.0,516797.0,510857.0,574138.0,651727.0
geoId-DLK,15688.0,14227.0,13112.0,11919.0,11849.0,11766.0
geoId-MRD,151846.0,156949.0,149744.0,127379.0,142695.0,160653.0
geoId-RRD,728271.0,732325.0,698088.0,599238.0,654494.0,744757.0
geoId-DNI,21576.0,20739.0,20177.0,18461.0,21247.0,22452.0
geoId-DTP,11823.0,12050.0,8909.0,7946.0,9052.0,11804.0
