dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1019.0,1109.0,28.875
geoId-VNM,2003,,1078.0,1272.0,30.218
geoId-VNM,2004,144.0,1146.0,1259.0,32.122
geoId-VNM,2005,151.0,1356.0,1307.0,35.183
geoId-VNM,2006,153.0,1209.0,1330.0,32.5
geoId-VNM,2007,157.0,1259.0,1392.0,34.2
geoId-VNM,2008,162.0,1333.0,1560.0,37.1
geoId-VNM,2009,166.0,1410.0,1603.0,38.7
geoId-VNM,2010,168.0,1463.0,1600.0,38.9
geoId-VNM,2011,169.0,1389.0,1743.0,40.347
geoId-VNM,2012,170.0,1474.0,1944.0,43.85
geoId-VNM,2013,173.0,1460.0,2120.0,43.604
geoId-VNM,2014,180.0,1553.0,2202.0,44.313
geoId-VNM,2015,184.0,1548.0,2635.0,46.501
geoId-VNM,2016,186.0,1781.0,2985.0,52.228
geoId-VNM,2017,193.0,1722.0,3364.0,55.246
geoId-VNM,2018,189.0,1715.0,3259.0,52.521
geoId-VNM,2020,181.0,1871.0,3697.0,55.858
geoId-VNM,2021,181.0,1867.0,3678.0,52.265
