dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,374.0,149.0,98.0,18.0,109.0,
geoId-VNM,2003,422.0,187.0,141.0,21.0,73.0,
geoId-VNM,2004,411.0,199.0,158.0,21.0,33.0,
geoId-VNM,2005,434.0,218.0,178.0,24.0,14.0,
geoId-VNM,2006,444.0,226.0,186.0,25.0,7.0,
geoId-VNM,2007,448.0,229.0,186.0,26.0,7.0,
geoId-VNM,2008,454.0,234.0,187.0,26.0,7.0,
geoId-VNM,2009,457.0,236.0,187.0,26.0,8.0,
geoId-VNM,2010,459.0,237.0,188.0,27.0,7.0,
geoId-VNM,2011,466.0,240.0,191.0,27.0,7.0,1.0
geoId-VNM,2012,463.0,239.0,189.0,27.0,7.0,1.0
geoId-VNM,2013,465.0,241.0,190.0,27.0,6.0,1.0
geoId-VNM,2014,463.0,238.0,184.0,27.0,9.0,5.0
geoId-VNM,2015,456.0,231.0,178.0,27.0,15.0,5.0
geoId-VNM,2016,448.0,223.0,168.0,27.0,21.0,9.0
geoId-VNM,2017,437.0,212.0,163.0,27.0,26.0,9.0
geoId-VNM,2019,410.0,186.0,150.0,27.0,38.0,9.0
geoId-VNM,2020,406.0,182.0,147.0,27.0,41.0,9.0
geoId-VNM,2021,405.0,182.0,145.0,27.0,42.0,9.0
