dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2000,38545.4,19548.7,18996.7,8910.3,29635.1
geoId-VNM,2001,39615.8,20207.9,19407.9,9475.9,30139.9
geoId-VNM,2002,40716.0,20718.9,19997.1,9848.5,30867.5
geoId-VNM,2003,41846.7,21449.7,20397.0,10104.2,31742.5
geoId-VNM,2004,43008.9,21948.3,21060.6,10703.0,32305.9
geoId-VNM,2005,44904.5,23493.1,21411.4,11461.4,33443.1
geoId-VNM,2006,46238.7,24613.9,21624.8,12266.3,33972.4
geoId-VNM,2007,47160.3,23945.7,23214.6,12409.1,34751.2
geoId-VNM,2008,48209.6,24709.0,23500.6,13175.3,35034.3
geoId-VNM,2009,49322.0,25655.6,23666.4,13271.8,36050.2
geoId-VNM,2010,50473.5,25945.6,24527.9,14262.4,36211.1
geoId-VNM,2011,51594.3,26595.4,24998.9,15136.3,36458.0
geoId-VNM,2012,52616.6,27072.2,25544.4,15586.0,37030.6
geoId-VNM,2013,53549.3,27554.9,25994.4,15950.7,37598.6
geoId-VNM,2014,54040.7,27836.7,26204.0,16656.0,37384.7
geoId-VNM,2015,54266.0,28133.3,26132.7,16913.8,37352.2
geoId-VNM,2016,54482.8,28273.6,26209.2,17126.2,37356.6
geoId-VNM,2017,54819.6,28513.6,26306.0,17416.1,37403.5
geoId-VNM,2018,55388.0,28911.4,26476.6,17864.2,37523.8
geoId-VNM,2019,55767.4,29370.6,26396.8,18094.5,37672.9
geoId-VNM,2020,54842.94,28866.11,25976.83,18171.93,36671.01
geoId-VNM,2021,50560.5,27041.3,23519.2,18535.0,32025.5
geoId-VNM,Sơ bộ 2022,51704.88,27527.09,24177.79,19211.6,32493.29
