dia phuong,Năm,Tổng số,15 - 24,25 - 49,50+
geoId-VNM,2000,100.0,21.5,66.1,12.4
geoId-VNM,2001,100.0,22.1,66.2,11.7
geoId-VNM,2002,100.0,21.6,65.7,12.7
geoId-VNM,2003,100.0,22.4,63.5,14.1
geoId-VNM,2004,100.0,21.1,63.3,15.6
geoId-VNM,2005,100.0,20.4,63.3,16.3
geoId-VNM,2006,100.0,21.0,63.7,15.3
geoId-VNM,2007,100.0,18.2,62.3,19.5
geoId-VNM,2008,100.0,18.1,62.2,19.7
geoId-VNM,2009,100.0,18.6,61.4,20.0
geoId-VNM,2010,100.0,18.3,61.4,20.3
geoId-VNM,2011,100.0,16.5,61.3,22.2
geoId-VNM,2012,100.0,15.1,61.1,23.8
geoId-VNM,2013,100.0,14.9,59.9,25.2
geoId-VNM,2014,100.0,14.1,59.7,26.2
geoId-VNM,2015,100.0,14.8,59.3,25.9
geoId-VNM,2016,100.0,13.8,59.6,26.6
geoId-VNM,2017,100.0,13.9,59.4,26.7
geoId-VNM,2018,100.0,12.8,60.2,27.0
geoId-VNM,2019,100.0,12.8,61.5,25.7
geoId-VNM,2020,100.0,11.1,63.1,25.8
geoId-VNM,2021,100.0,10.08,63.1,26.83
geoId-VNM,Sơ bộ 2022,100.0,10.1,63.18,26.72
