"Tỉnh, thành phố",2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-AGG,73.36,87.28,92.31,103.92,112.57
geoId-BR-VT,584.21,565.8,510.99,561.18,634.39
geoId-BDG,225.52,225.72,243.02,254.57,258.92
geoId-BPC,96.85,106.21,116.53,132.72,149.33
geoId-BTN,93.47,111.9,123.71,131.73,144.23
geoId-BDH,84.65,95.8,106.09,117.13,128.77
geoId-BLU,80.24,83.31,89.22,101.2,116.86
geoId-BGG,83.8,95.02,110.39,137.45,158.89
geoId-BKN,51.7,57.48,63.6,98.47,103.38
geoId-BNH,275.72,263.34,275.46,305.03,317.14
geoId-SCC,87.08,97.69,103.93,123.88,137.75
geoId-BTE,58.79,63.76,66.69,75.42,82.45
geoId-CBG,46.7,50.39,55.19,127.11,106.54
geoId-CMU,86.09,89.31,93.16,108.24,124.03
geoId-VNM,129.12,141.0,150.06,172.8,187.99
geoId-CTO,122.59,128.26,129.6,162.53,183.47
geoId-GLI,65.71,68.09,74.25,83.6,91.91
geoId-HBH,84.84,84.51,94.01,110.38,113.92
geoId-HGG,41.89,45.82,49.45,77.85,82.86
geoId-HNM,99.58,114.25,130.26,154.15,167.62
geoId-HNI,215.49,240.54,251.66,279.35,304.76
geoId-HTH,102.87,113.69,125.93,179.01,182.5
geoId-HYN,114.94,129.73,142.25,169.24,195.56
geoId-HDG,110.78,120.19,131.24,159.81,180.64
geoId-HPG,189.88,227.77,260.75,311.54,357.59
geoId-HGG,73.65,87.25,96.22,106.5,119.78
geoId-KHA,114.63,129.1,124.27,132.16,147.67
geoId-KGG,97.35,103.16,108.45,117.85,128.35
geoId-KTM,64.88,70.08,77.15,84.86,94.43
geoId-LCU,67.68,63.81,71.92,128.5,110.86
geoId-LAN,113.79,123.21,129.75,141.45,159.22
geoId-LCI,102.43,116.65,126.03,154.56,173.13
geoId-LDG,91.35,102.93,108.0,114.57,129.89
geoId-LSN,61.26,67.3,72.73,124.85,135.44
geoId-NDH,57.54,66.91,75.18,88.71,96.56
geoId-NAN,62.74,69.83,76.01,98.53,109.92
geoId-NBH,91.87,106.7,120.51,150.12,169.04
geoId-NTN,77.88,94.75,110.22,131.78,142.15
geoId-PTO,74.43,82.17,89.89,120.29,127.37
geoId-PYN,74.57,83.23,88.66,101.3,111.41
geoId-QBH,69.22,76.81,85.3,106.79,118.48
geoId-QNM,104.12,113.46,114.52,130.7,143.99
geoId-QNI,114.95,119.83,120.46,151.38,182.71
geoId-QNH,229.22,265.0,309.04,350.83,407.83
geoId-QTI,85.57,93.68,100.15,113.89,124.88
geoId-STG,77.23,83.49,87.05,96.96,108.03
geoId-SLA,67.13,64.92,71.87,103.78,107.73
geoId-THA,65.35,77.71,85.77,109.95,129.09
geoId-TBH,66.81,75.11,84.57,104.58,115.47
geoId-TNN,145.64,153.09,162.77,226.44,247.55
geoId-TTH,81.1,88.49,98.09,104.97,113.75
geoId-TGG,80.83,87.23,91.45,101.76,108.24
geoId-HCM,271.3,286.34,298.82,305.54,328.17
geoId-NT,75.67,81.43,89.46,126.43,135.63
geoId-TVH,94.61,105.37,112.03,123.7,134.12
geoId-TQG,59.83,64.35,72.74,100.77,111.99
geoId-TNN,72.21,77.97,85.09,91.8,102.4
geoId-TNH,109.11,118.75,127.99,141.1,154.59
geoId-VLG,83.96,89.11,99.51,102.8,119.69
geoId-VPC,167.27,185.8,199.25,241.01,261.94
geoId-YBI,53.2,60.13,64.03,99.07,111.24
geoId-DBN,51.07,55.28,57.74,73.88,76.38
geoId-DNG,174.33,189.66,194.43,200.6,197.34
geoId-ST,249.03,255.94,263.71,275.38,298.69
geoId-DLK,65.57,71.27,80.54,85.09,94.15
geoId-DNG1,73.02,76.91,83.67,90.76,102.01
geoId-MRD,85.9,94.45,99.72,110.87,123.4
geoId-RRD,162.47,181.4,197.26,228.75,252.85
geoId-DNI,193.83,198.34,210.73,223.46,247.9
geoId-DTP,74.28,89.63,95.54,100.7,114.39
