dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2005,51.9,54.1,49.8,47.9,53.4
geoId-VNM,2006,52.8,56.9,48.8,48.5,54.4
geoId-VNM,2007,53.7,55.3,52.1,46.9,56.3
geoId-VNM,2008,54.6,57.0,52.3,48.7,57.0
geoId-VNM,2009,55.5,58.3,52.7,49.6,58.0
geoId-VNM,2010,56.4,58.9,54.0,51.7,58.5
geoId-VNM,2011,57.3,60.0,54.8,52.8,59.4
geoId-VNM,2012,58.0,60.3,55.6,53.5,60.0
geoId-VNM,2013,58.2,60.4,56.0,53.4,60.5
geoId-VNM,2014,58.1,60.4,56.0,53.3,60.6
geoId-VNM,2015,57.6,60.1,55.1,53.0,59.9
geoId-VNM,2016,57.2,59.7,54.7,52.9,59.4
geoId-VNM,2017,57.0,59.5,54.4,52.9,59.0
geoId-VNM,2018,56.9,59.8,54.0,53.1,58.9
geoId-VNM,2019,56.7,60.0,53.4,51.9,59.2
geoId-VNM,2020,54.94,58.11,51.77,48.76,58.54
geoId-VNM,2021,49.82,53.45,46.21,48.59,50.54
geoId-VNM,Sơ bộ 2022,50.88,54.27,47.5,50.08,51.36
