dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,100.0,11.7,87.3,1.0
geoId-VNM,2001,100.0,11.7,87.4,0.9
geoId-VNM,2002,100.0,11.8,87.1,1.1
geoId-VNM,2003,100.0,12.1,86.0,1.9
geoId-VNM,2004,100.0,12.1,85.7,2.2
geoId-VNM,2005,100.0,11.6,85.8,2.6
geoId-VNM,2006,100.0,11.2,85.8,3.0
geoId-VNM,2007,100.0,11.0,85.5,3.5
geoId-VNM,2008,100.0,10.9,85.5,3.6
geoId-VNM,2009,100.0,10.6,86.2,3.2
geoId-VNM,2010,100.0,10.2,86.3,3.5
geoId-VNM,2011,100.0,9.9,85.9,4.2
geoId-VNM,2012,100.0,9.7,85.9,4.4
geoId-VNM,2013,100.0,9.5,85.7,4.8
geoId-VNM,2014,100.0,9.2,85.4,5.4
geoId-VNM,2015,100.0,9.0,85.0,6.0
geoId-VNM,2016,100.0,8.8,84.5,6.7
geoId-VNM,2017,100.0,8.6,83.6,7.8
geoId-VNM,2018,100.0,8.3,83.3,8.4
geoId-VNM,2019,100.0,7.7,83.6,8.7
geoId-VNM,2020,100.0,7.64,83.6,8.83
geoId-VNM,2021,100.0,8.05,82.6,9.35
geoId-VNM,Sơ bộ 2022,100.0,7.89,82.07,10.03
