Tỉnh/Thành phố,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,1064.06,972.16,962.3,883.74,902.82
geoId-BR-VT,603.2,611.71,577.6,565.0,623.3
geoId-BDG,1431.58,1603.79,1597.92,1620.42,1760.31
geoId-BPC,570.28,588.19,587.6,583.37,591.56
geoId-BTN,700.99,707.36,693.53,669.58,673.5
geoId-BDH,883.09,864.56,842.71,814.0,825.84
geoId-BLU,494.5,500.89,491.64,470.71,472.95
geoId-BGG,1078.52,1099.78,1095.16,945.3,979.82
geoId-BKN,213.47,208.95,204.33,140.08,147.14
geoId-BNH,703.06,759.05,758.68,746.34,768.74
geoId-SCC,11572.93,11573.08,11238.98,10153.96,10415.52
geoId-BTE,803.99,815.0,811.28,761.1,772.23
geoId-CBG,346.72,346.5,345.91,157.3,201.68
geoId-CMU,669.56,677.62,656.37,583.26,601.77
geoId-VNM,54282.48,54659.19,53609.58,49072.01,50604.71
geoId-CTO,678.87,700.21,693.32,562.85,586.75
geoId-GLI,895.73,898.7,884.3,909.43,925.24
geoId-HGG,526.85,528.0,524.43,350.52,361.34
geoId-HNM,479.04,478.9,460.05,432.36,453.34
geoId-HNI,4098.87,4048.73,4042.59,3839.69,3928.74
geoId-HTH,681.24,687.08,654.39,489.6,502.97
geoId-HBH,545.44,553.01,528.75,464.17,497.48
geoId-HYN,723.16,713.58,705.2,668.53,671.95
geoId-HDG,1037.56,1053.91,999.61,930.06,940.3
geoId-HPG,1108.81,1090.67,1054.81,1011.46,1015.58
geoId-HGG,441.68,408.16,391.39,374.22,405.6
geoId-KHA,682.49,671.92,642.51,591.96,651.16
geoId-KGG,918.5,921.84,887.08,878.05,905.9
geoId-KTM,310.28,312.67,309.7,313.55,326.43
geoId-LCU,271.28,281.78,283.04,165.01,206.5
geoId-LAN,969.64,1001.55,1008.87,971.96,982.01
geoId-LCI,437.47,428.2,426.27,375.98,390.79
geoId-LDG,792.31,763.74,762.98,768.54,793.47
geoId-LSN,484.45,487.33,479.69,299.98,306.22
geoId-NDH,1082.87,1039.06,1010.9,933.89,952.0
geoId-NAN,1915.72,1904.36,1906.34,1590.66,1596.95
geoId-NBH,576.25,579.14,556.95,481.65,483.5
geoId-NTN,330.17,328.76,318.36,315.16,326.92
geoId-PTO,828.25,840.01,836.42,673.0,706.75
geoId-PYN,517.7,510.13,497.89,451.15,456.04
geoId-QBH,511.31,510.64,489.81,419.33,421.99
geoId-QNM,881.23,871.74,859.68,790.23,808.75
geoId-QNI,725.03,725.05,711.42,657.7,664.03
geoId-QNH,721.35,716.48,673.5,654.37,664.28
geoId-QTI,334.79,340.41,336.31,321.35,326.42
geoId-STG,649.14,639.4,629.64,596.87,607.23
geoId-SLA,741.5,765.71,765.78,550.07,585.93
geoId-THA,2237.19,2267.3,2190.36,1947.97,1955.32
geoId-TBH,1109.64,1121.12,1073.74,942.59,972.96
geoId-TNN,741.09,766.39,757.96,590.14,602.56
geoId-TTH,590.32,597.47,561.3,560.35,578.57
geoId-TGG,1099.88,1105.11,1081.09,983.22,1043.97
geoId-HCM,4522.91,4692.57,4589.77,4331.54,4507.49
geoId-NT,7558.89,7646.83,7591.48,5738.58,6045.62
geoId-TVH,570.9,563.74,550.03,517.03,534.52
geoId-TQG,470.81,483.64,474.35,366.61,368.11
geoId-TNN,3480.31,3440.09,3403.74,3489.26,3567.7
geoId-TNH,663.3,696.4,681.46,639.39,659.52
geoId-VLG,585.66,607.56,589.49,567.84,568.5
geoId-VPC,643.43,636.93,622.39,570.05,584.29
geoId-YBI,518.64,507.71,517.77,360.77,361.77
geoId-DBN,354.4,349.82,351.62,299.62,329.58
geoId-DNG,581.67,586.25,534.43,534.86,627.06
geoId-ST,9416.03,9930.32,9770.34,9459.3,9888.68
geoId-DLK,1111.1,1095.01,1079.72,1110.97,1133.19
geoId-DNG1,370.88,370.02,366.98,386.76,389.37
geoId-MRD,9970.27,9831.31,9646.63,9019.94,9251.52
geoId-RRD,12284.05,12237.56,11958.4,11210.97,11435.68
geoId-DNI,1624.69,1737.59,1735.88,1719.64,1746.5
geoId-DTP,1023.76,918.08,894.06,869.09,867.34
