dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2013,77.71,78.06,77.35,56.27,86.63
geoId-VNM,2014,78.11,78.65,77.55,56.63,87.47
geoId-VNM,2015,75.99,77.22,74.67,55.15,85.28
geoId-VNM,2016,74.72,76.02,73.33,54.38,83.93
geoId-VNM,2017,73.93,75.79,71.93,54.62,82.65
geoId-VNM,2018,72.07,74.08,69.87,53.79,80.65
geoId-VNM,2019,70.99,73.18,68.56,52.84,79.59
geoId-VNM,2020,70.31,72.7,67.63,52.75,78.83
geoId-VNM,2021,68.54,71.61,65.01,52.0,77.92
geoId-VNM,Sơ bộ 2022,65.83,68.93,62.31,50.35,74.9
