Tỉnh/Thành phố,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,84.97,82.15,86.35,85.91,83.0
geoId-BR-VT,64.13,64.81,64.59,64.68,62.96
geoId-BDG,36.95,31.98,31.42,34.49,32.81
geoId-BPC,70.16,76.58,74.73,73.35,72.1
geoId-BTN,80.56,80.77,80.59,82.57,81.54
geoId-BDH,82.61,83.08,79.57,83.54,79.79
geoId-BLU,88.19,87.96,88.94,88.52,87.43
geoId-BGG,65.47,67.08,62.81,61.31,56.77
geoId-BKN,85.14,86.85,87.14,79.3,74.9
geoId-BNH,65.58,52.77,57.15,54.22,51.08
geoId-SCC,78.22,79.04,77.41,75.79,73.15
geoId-BTE,85.46,85.02,83.69,85.56,86.06
geoId-CBG,86.19,86.58,87.5,68.47,75.61
geoId-CMU,85.08,86.68,87.63,84.48,83.96
geoId-VNM,72.06,70.99,70.28,68.54,65.83
geoId-CTO,69.6,82.34,73.92,73.61,73.13
geoId-GLI,88.86,88.88,85.74,88.78,88.21
geoId-HGG,87.73,89.54,89.9,85.17,78.68
geoId-HNM,72.68,73.3,68.99,64.6,62.26
geoId-HNI,61.83,56.18,58.52,56.09,53.09
geoId-HTH,79.92,82.87,82.9,78.5,75.88
geoId-HBH,83.95,81.95,81.81,78.92,79.06
geoId-HYN,71.51,68.89,66.51,66.34,62.33
geoId-HDG,66.96,62.69,58.08,54.71,50.97
geoId-HPG,63.43,60.33,57.17,56.73,48.52
geoId-HGG,84.87,84.64,81.26,83.39,80.94
geoId-KHA,74.62,73.77,72.47,74.31,74.04
geoId-KGG,80.92,85.64,85.48,84.69,82.17
geoId-KTM,77.02,85.26,81.6,81.73,81.74
geoId-LCU,88.15,88.65,89.94,79.06,82.53
geoId-LAN,66.05,66.23,64.33,61.84,60.91
geoId-LCI,80.97,82.63,81.67,81.04,79.94
geoId-LDG,84.37,82.97,84.54,83.8,82.52
geoId-LSN,79.52,82.96,79.37,73.09,68.63
geoId-NDH,75.7,75.46,76.4,70.17,68.52
geoId-NAN,83.2,83.96,83.18,81.07,77.5
geoId-NBH,76.47,74.78,73.17,69.26,65.31
geoId-NTN,82.32,84.17,87.16,86.32,85.13
geoId-PTO,77.79,73.89,76.45,67.35,63.53
geoId-PYN,87.54,85.28,86.46,80.48,81.16
geoId-QBH,81.63,85.78,86.46,82.56,77.18
geoId-QNM,74.93,76.11,72.89,71.97,67.61
geoId-QNI,84.76,83.15,79.67,77.07,73.78
geoId-QNH,62.54,63.1,62.12,56.92,49.84
geoId-QTI,77.87,80.68,79.14,77.4,75.05
geoId-STG,85.23,86.05,84.28,87.14,85.22
geoId-SLA,87.13,91.12,89.0,85.66,83.66
geoId-THA,75.47,77.01,72.08,71.09,67.9
geoId-TBH,78.02,77.9,80.75,76.99,63.48
geoId-TNN,70.57,69.01,63.46,59.07,53.33
geoId-TTH,73.66,73.68,73.35,68.96,68.15
geoId-TGG,76.33,78.21,74.69,78.25,74.72
geoId-HCM,45.34,44.21,46.45,48.03,46.57
geoId-NT,79.79,80.34,78.97,60.47,71.41
geoId-TVH,81.99,84.16,85.06,85.83,82.56
geoId-TQG,83.78,83.21,82.55,81.01,78.16
geoId-TNN,86.2,86.98,85.48,86.56,85.9
geoId-TNH,69.95,66.68,64.36,67.84,64.27
geoId-VLG,78.07,77.7,78.94,77.76,77.31
geoId-VPC,66.97,64.62,63.1,57.63,54.08
geoId-YBI,83.21,86.47,85.22,83.37,82.18
geoId-DBN,86.41,86.13,87.12,85.4,85.66
geoId-DNG,53.23,54.1,55.16,50.81,52.94
geoId-ST,50.43,47.16,47.64,48.59,46.75
geoId-DLK,87.39,88.33,86.35,86.82,86.61
geoId-DNG1,87.76,88.06,87.46,90.0,88.77
geoId-MRD,80.41,81.86,80.75,80.89,78.93
geoId-RRD,67.29,63.66,63.78,73.96,55.83
geoId-DNI,56.49,45.12,44.47,42.45,40.3
geoId-DTP,85.1,86.34,85.05,84.08,79.73
