Địa phương,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,8.1,7.2,7.0,7.8,8.7,10.6,9.83,9.0,10.4,12.5,13.6,14.6,13.86,13.38,14.53
geoId-BR-VT,16.7,18.7,15.7,16.5,22.1,23.2,24.72,25.0,25.7,26.5,25.9,27.8,30.07,29.89,28.04
geoId-BDG,13.3,13.3,13.7,14.9,14.4,17.2,18.21,16.8,17.1,18.7,20.6,21.9,20.13,21.03,21.1
geoId-BPC,10.0,12.3,14.9,12.5,13.4,15.1,15.91,12.9,13.7,14.0,16.8,15.8,18.06,19.21,20.11
geoId-BTN,10.6,10.8,10.6,9.3,10.8,10.8,12.36,13.4,13.4,15.6,14.0,16.3,15.66,18.29,18.47
geoId-BDH,11.4,12.2,9.4,11.9,13.5,15.3,14.7,15.5,16.7,16.9,21.2,19.2,21.8,24.96,25.01
geoId-BLU,9.4,8.2,6.7,6.3,8.4,9.5,9.56,9.0,10.0,11.3,8.2,8.8,10.27,10.66,12.19
geoId-BGG,10.5,12.4,13.9,14.2,14.0,16.0,16.0,17.6,17.8,17.9,16.7,18.0,19.83,26.72,32.0
geoId-BKN,11.1,13.9,12.8,14.2,12.1,12.4,12.45,16.6,15.5,17.2,17.7,16.1,16.32,27.02,27.58
geoId-BNH,16.6,15.7,15.0,19.1,19.7,20.6,21.81,21.4,21.9,22.4,28.0,28.0,27.8,33.49,34.42
geoId-SCC,13.1,13.5,12.9,14.6,15.1,16.4,16.94,19.5,19.7,20.5,21.3,21.5,22.71,25.75,26.69
geoId-BTE,6.4,7.6,9.1,9.4,7.5,8.4,9.32,12.6,12.4,12.9,9.2,11.6,12.56,12.95,11.93
geoId-CBG,16.7,15.5,17.8,16.1,20.2,19.5,20.17,18.8,19.8,21.0,20.6,20.8,21.8,24.7,25.57
geoId-CMU,5.3,6.6,5.7,5.6,5.2,7.4,7.42,10.2,10.5,10.4,12.5,12.3,13.02,14.08,14.33
geoId-VNM,14.3,14.8,14.7,15.6,16.7,18.2,18.69,20.4,20.9,21.6,22.0,22.8,24.05,26.13,26.44
geoId-CTO,11.0,14.3,11.7,12.9,14.9,15.3,17.39,19.1,20.4,21.1,24.2,16.4,20.6,24.18,22.93
