dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2000,10.3,11.8,8.6,24.2,5.3
geoId-VNM,2001,10.7,12.3,9.0,24.9,5.9
geoId-VNM,2002,11.1,12.9,9.5,25.6,6.4
geoId-VNM,2003,11.5,13.2,9.7,26.0,7.0
geoId-VNM,2004,12.0,13.8,10.2,26.5,7.3
geoId-VNM,2005,12.5,14.3,10.6,27.2,7.6
geoId-VNM,2006,13.1,14.9,11.2,28.4,8.1
geoId-VNM,2007,13.6,15.6,11.6,29.7,8.3
geoId-VNM,2008,14.3,16.3,12.2,31.5,8.3
geoId-VNM,2009,14.8,16.7,12.8,32.0,8.7
geoId-VNM,2010,14.7,16.5,12.8,30.5,8.5
geoId-VNM,2011,15.6,17.3,13.7,30.9,9.2
geoId-VNM,2012,16.7,18.7,14.6,32.0,10.3
geoId-VNM,2013,18.2,20.6,15.7,34.1,11.5
geoId-VNM,2014,18.7,20.8,16.4,34.8,11.5
geoId-VNM,2015,20.4,22.8,17.9,36.9,13.0
geoId-VNM,2016,20.9,23.2,18.4,37.3,13.4
geoId-VNM,2017,21.6,24.0,19.0,37.7,14.1
geoId-VNM,2018,22.0,24.4,19.4,37.3,14.7
geoId-VNM,2019,22.8,25.0,20.3,39.0,14.9
geoId-VNM,2020,24.05,26.92,20.87,39.71,16.29
geoId-VNM,2021,26.1,28.52,23.33,41.05,17.45
geoId-VNM,Sơ bộ 2022,26.44,28.8,23.9,41.2,17.71
