dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thủy sản",Công nghiệp - Xây dựng,Dịch vụ
geoId-VNM,2010,3.56,6.04,1.38,1.45
geoId-VNM,2011,2.95,4.97,1.21,1.29
geoId-VNM,2012,2.74,4.49,1.43,1.25
geoId-VNM,2013,2.74,4.56,1.48,1.23
geoId-VNM,2014,2.38,4.11,1.15,1.04
geoId-VNM,2015,2.3,4.27,0.9,1.06
geoId-VNM,2016,1.88,3.75,0.56,0.86
geoId-VNM,2017,1.97,3.9,0.67,1.05
geoId-VNM,2018,1.62,3.27,0.66,0.89
geoId-VNM,2019,1.5,3.45,0.43,0.87
geoId-VNM,2020,2.52,4.7,1.49,1.74
geoId-VNM,2021,3.1,3.1,4.18,2.6
geoId-VNM,Sơ bộ 2022,2.21,4.0,1.44,1.81
