dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2010,3.56,0.29,4.11,0.18
geoId-VNM,2011,2.95,0.41,3.42,0.13
geoId-VNM,2012,2.74,0.27,3.16,0.44
geoId-VNM,2013,2.74,0.34,3.19,0.21
geoId-VNM,2014,2.38,0.38,2.78,0.05
geoId-VNM,2015,2.3,0.34,2.67,0.22
geoId-VNM,2016,1.88,0.24,2.2,0.11
geoId-VNM,2017,1.97,0.37,2.31,0.11
geoId-VNM,2018,1.62,0.38,1.9,0.05
geoId-VNM,2019,1.5,0.35,1.75,0.11
geoId-VNM,2020,2.52,0.71,2.81,1.45
geoId-VNM,2021,3.1,0.96,3.46,1.91
geoId-VNM,Sơ bộ 2022,2.21,0.65,2.58,0.8
