Tỉnh/Thành phố,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,2.51,3.18,2.53,4.52,3.32
geoId-BR-VT,2.36,2.08,3.56,9.18,2.81
geoId-BDG,2.23,2.67,3.31,2.2,1.31
geoId-BPC,3.04,2.73,2.93,3.01,2.05
geoId-BTN,2.87,2.94,2.86,3.5,3.5
geoId-BDH,3.06,3.42,2.85,2.75,2.54
geoId-BLU,3.66,3.74,3.48,2.35,2.12
geoId-BGG,1.1,1.37,0.79,1.64,0.79
geoId-BKN,0.82,1.07,0.88,3.86,3.16
geoId-BNH,2.1,2.48,2.19,2.7,2.55
geoId-SCC,2.7,2.47,3.16,3.3,2.59
geoId-BTE,0.33,1.88,2.16,2.09,2.0
geoId-CBG,1.05,0.79,0.96,4.29,3.73
geoId-CMU,2.55,2.1,2.27,2.52,1.47
geoId-VNM,2.19,2.17,2.48,3.2,2.34
geoId-CTO,3.58,3.18,3.6,3.96,3.72
geoId-GLI,0.81,1.08,1.76,0.7,0.52
geoId-HGG,0.34,0.93,1.03,4.36,4.25
geoId-HNM,2.17,1.83,1.76,1.91,0.91
geoId-HNI,1.8,1.78,2.11,2.68,2.22
geoId-HTH,4.97,3.36,3.18,5.38,5.43
geoId-HBH,0.64,0.65,0.44,2.96,1.21
geoId-HYN,0.93,2.08,2.67,2.05,1.86
geoId-HDG,2.75,1.99,1.7,1.18,1.5
geoId-HPG,3.55,2.06,2.37,2.41,2.36
geoId-HGG,1.86,3.11,3.05,5.43,1.69
geoId-KHA,3.46,3.49,4.7,5.72,3.37
geoId-KGG,3.04,3.56,4.35,4.52,2.82
geoId-KTM,1.0,1.16,1.05,0.51,0.67
geoId-LCU,0.33,0.54,0.42,2.28,1.23
geoId-LAN,2.34,5.34,2.15,2.28,1.89
geoId-LCI,1.08,1.81,1.62,1.94,1.47
geoId-LDG,0.08,0.84,0.98,1.49,0.65
geoId-LSN,3.08,2.82,1.84,7.82,6.34
geoId-NDH,0.68,1.31,1.68,1.71,1.65
geoId-NAN,1.28,1.3,1.26,2.11,1.77
geoId-NBH,1.36,0.52,1.36,1.34,1.32
geoId-NTN,3.29,2.93,3.32,3.43,1.99
geoId-PTO,1.95,1.46,1.47,0.93,1.12
geoId-PYN,1.21,2.17,2.76,3.29,2.95
geoId-QBH,3.42,1.34,3.49,3.6,3.35
geoId-QNM,3.18,3.2,4.09,4.21,4.05
geoId-QNI,2.35,2.3,3.19,2.28,1.82
geoId-QNH,3.19,2.73,3.22,2.23,2.21
geoId-QTI,3.71,3.16,3.93,3.83,2.77
geoId-STG,3.4,2.91,2.1,3.13,3.37
geoId-SLA,0.23,0.74,0.67,1.03,2.38
geoId-THA,1.65,1.4,1.87,1.15,1.12
geoId-TBH,1.44,1.32,1.24,1.72,1.13
geoId-TNN,1.19,1.61,1.7,1.57,1.47
geoId-TTH,4.47,4.21,4.29,3.6,3.55
geoId-TGG,1.67,1.8,3.14,7.32,2.03
geoId-HCM,2.89,2.82,3.91,6.4,4.19
geoId-NT,1.05,1.29,1.06,2.42,2.1
geoId-TVH,3.04,2.88,2.22,4.01,2.66
geoId-TQG,1.29,1.44,1.4,3.64,3.56
geoId-TNN,1.05,1.37,1.66,0.96,0.67
geoId-TNH,1.52,1.54,1.72,2.66,1.69
geoId-VLG,4.48,2.63,2.67,3.32,2.88
geoId-VPC,1.76,1.79,2.09,1.48,1.46
geoId-YBI,0.49,1.66,0.73,3.02,2.89
geoId-DBN,0.5,0.47,0.45,0.51,0.39
geoId-DNG,4.28,3.55,9.41,8.06,2.42
geoId-ST,2.63,2.45,3.23,4.66,2.88
geoId-DLK,2.03,2.12,2.2,1.05,0.81
geoId-DNG1,0.76,1.14,1.79,0.66,0.64
geoId-MRD,2.71,2.9,2.82,4.05,2.76
geoId-RRD,1.97,1.82,2.05,2.18,1.93
geoId-DNI,2.64,1.62,1.86,2.22,1.81
geoId-DTP,3.6,1.28,2.79,5.44,4.94
