Năm,Vùng,Chung,Nam,Nữ
2010,geoId-VNM,3.56,3.48,3.48
2010,geoId-RRD,3.49,3.38,3.38
2010,geoId-NT,2.13,2.35,2.35
2010,geoId-SCC,4.46,4.32,4.32
2010,geoId-TNN,3.7,3.88,3.88
2010,geoId-ST,1.22,1.31,1.31
2010,geoId-MRD,5.56,5.1,5.1
2011,geoId-VNM,2.95,2.99,2.99
2011,geoId-RRD,3.2,3.02,3.02
2011,geoId-NT,1.87,2.03,2.03
2011,geoId-SCC,3.4,3.47,3.47
2011,geoId-TNN,3.09,3.35,3.35
2011,geoId-ST,0.8,0.85,0.85
2011,geoId-MRD,4.79,4.77,4.77
2012,geoId-VNM,2.74,2.92,2.53
2012,geoId-RRD,2.51,2.55,2.48
2012,geoId-NT,1.97,2.17,1.76
2012,geoId-SCC,3.24,3.4,3.06
2012,geoId-TNN,2.81,3.14,2.44
2012,geoId-ST,0.94,1.0,0.87
2012,geoId-MRD,4.56,4.88,4.15
2013,geoId-VNM,2.74,2.96,2.5
2013,geoId-RRD,2.64,2.72,2.56
2013,geoId-NT,1.67,2.01,1.31
2013,geoId-SCC,2.9,3.14,2.64
2013,geoId-TNN,2.41,2.78,1.99
2013,geoId-ST,0.92,1.09,0.71
2013,geoId-MRD,5.26,5.37,5.12
2014,geoId-VNM,2.39,2.5,2.25
2014,geoId-RRD,2.5,2.59,2.39
2014,geoId-NT,1.46,1.68,1.21
2014,geoId-SCC,2.63,2.48,2.81
2014,geoId-TNN,2.51,2.85,2.12
2014,geoId-ST,0.62,0.73,0.49
2014,geoId-MRD,4.28,4.5,3.99
2015,geoId-VNM,2.3,2.42,2.16
2015,geoId-RRD,1.89,1.86,1.92
2015,geoId-NT,1.88,2.08,1.66
2015,geoId-SCC,3.03,3.11,2.94
2015,geoId-TNN,2.33,2.55,2.05
2015,geoId-ST,0.86,1.01,0.7
2015,geoId-MRD,3.7,3.81,3.55
2016,geoId-VNM,1.92,1.84,2.01
2016,geoId-RRD,1.23,1.21,1.24
2016,geoId-NT,1.66,1.72,1.59
2016,geoId-SCC,2.39,2.18,2.64
2016,geoId-TNN,2.32,2.18,2.5
2016,geoId-ST,0.65,0.63,0.68
2016,geoId-MRD,3.51,3.28,3.83
2017,geoId-VNM,2.03,1.97,2.11
2017,geoId-RRD,1.39,1.3,1.49
2017,geoId-NT,1.69,1.71,1.67
2017,geoId-SCC,2.31,2.22,2.43
2017,geoId-TNN,2.08,2.28,1.85
2017,geoId-ST,0.74,0.66,0.83
2017,geoId-MRD,4.03,3.77,4.38
2018,geoId-VNM,1.62,1.64,1.59
2018,geoId-RRD,0.84,0.82,0.87
2018,geoId-NT,1.64,1.64,1.64
2018,geoId-SCC,1.8,1.8,1.8
2018,geoId-TNN,2.31,2.37,2.24
2018,geoId-ST,0.53,0.54,0.52
2018,geoId-MRD,3.17,3.21,3.11
2019,geoId-VNM,1.5,1.42,1.6
2019,geoId-RRD,0.79,0.73,0.86
2019,geoId-NT,1.77,1.8,1.74
2019,geoId-SCC,1.96,1.7,2.27
2019,geoId-TNN,1.56,1.62,1.48
2019,geoId-ST,0.47,0.41,0.55
2019,geoId-MRD,2.78,2.63,2.99
2020,geoId-VNM,2.52,2.52,2.51
2020,geoId-RRD,1.36,1.37,1.36
2020,geoId-NT,2.34,2.44,2.22
2020,geoId-SCC,3.05,2.92,3.2
2020,geoId-TNN,5.2,5.38,4.98
2020,geoId-ST,1.62,1.65,1.58
2020,geoId-MRD,3.47,3.35,3.65
2021,geoId-VNM,3.1,3.23,2.94
2021,geoId-RRD,1.5,1.58,1.42
2021,geoId-NT,1.92,2.15,1.63
2021,geoId-SCC,3.66,3.85,3.43
2021,geoId-TNN,3.56,3.58,3.55
2021,geoId-ST,3.76,3.63,3.92
2021,geoId-MRD,4.33,4.57,3.96
2022,geoId-VNM,2.21,2.28,2.13
2022,geoId-RRD,0.93,1.0,0.86
2022,geoId-NT,2.18,2.28,2.06
2022,geoId-SCC,3.05,3.22,2.83
2022,geoId-TNN,2.82,3.03,2.57
2022,geoId-ST,1.39,1.29,1.52
2022,geoId-MRD,3.61,3.53,3.72
