"Tỉnh, thành phố",2015,2016,2017,2018,2019,2020,2021
geoId-AGG,61.9,76.64,84.44,86.19,87.87,90.6,92.06
geoId-BR-VT,69.74,77.25,84.07,81.5,83.5,86.13,86.12
geoId-BDG,72.29,73.95,79.73,81.1,82.37,82.2,85.19
geoId-BPC,63.87,69.51,79.15,82.41,83.91,87.8,85.19
geoId-BTN,60.41,67.95,77.29,78.82,80.25,82.2,85.22
geoId-BDH,77.4,86.08,91.19,93.26,94.48,95.95,95.34
geoId-BLU,68.53,76.61,83.13,81.94,79.68,79.16,73.45
geoId-BGG,70.86,79.65,88.46,88.6,89.83,91.48,90.65
geoId-BKN,93.16,98.74,102.03,100.34,97.76,97.52,96.17
geoId-BNH,73.75,80.62,91.42,92.11,93.39,95.61,92.94
geoId-SCC,76.76,83.14,88.33,89.23,89.38,90.23,90.52
geoId-BTE,70.15,80.42,89.97,90.7,90.46,92.07,92.77
geoId-CBG,92.1,97.44,99.64,99.2,97.82,97.34,93.76
geoId-CMU,70.37,81.61,84.51,86.73,85.81,88.18,89.02
geoId-CTO,66.92,77.43,84.23,87.18,85.71,88.14,88.56
geoId-GLI,73.27,81.74,86.89,87.05,86.75,88.31,78.27
geoId-HBH,86.82,82.99,96.64,95.74,93.83,94.46,94.54
geoId-HGG,94.82,95.68,98.98,97.99,96.32,96.38,95.87
geoId-HNM,64.59,71.79,81.09,82.93,85.81,88.32,89.85
geoId-HNI,69.71,75.42,82.47,84.88,86.1,87.74,89.7
geoId-HTH,82.99,86.24,89.47,89.17,86.01,85.81,87.07
geoId-HYN,64.47,72.49,79.84,81.78,84.42,85.63,87.18
geoId-HDG,72.25,77.86,84.29,84.65,86.66,88.28,89.04
geoId-HPG,70.62,75.64,84.43,88.19,87.37,88.72,90.04
geoId-HGG,67.29,79.35,85.24,87.12,87.94,90.96,91.1
geoId-KHA,70.21,78.22,84.96,90.1,93.78,92.61,93.56
geoId-KGG,59.5,71.74,81.48,82.46,83.14,85.97,81.77
geoId-KTM,82.88,87.73,87.32,88.84,87.53,89.34,89.02
geoId-LCU,92.85,93.32,93.65,94.98,94.36,94.74,93.81
geoId-LAN,67.4,72.54,76.18,79.93,82.8,85.44,82.78
geoId-LCI,96.31,99.19,98.63,97.81,96.58,96.09,95.11
geoId-LDG,64.53,72.1,79.87,83.11,86.25,88.89,91.25
geoId-LSN,85.66,91.4,97.25,95.9,93.92,92.71,92.08
geoId-NDH,65.68,71.73,86.36,86.79,89.2,90.62,89.97
geoId-NAN,72.63,76.39,82.89,84.32,83.49,85.04,84.9
geoId-NBH,66.81,81.21,91.02,89.46,90.4,91.24,91.33
geoId-NTN,70.14,81.03,89.33,87.8,92.52,94.03,89.46
geoId-PTO,76.56,84.26,86.04,85.37,85.47,86.67,84.98
geoId-PYN,77.63,83.97,87.26,88.55,90.01,91.93,92.35
geoId-QBH,79.56,86.91,94.27,93.72,86.97,87.59,88.45
geoId-QNM,87.37,92.55,93.6,93.48,94.55,95.07,95.63
geoId-QNI,80.09,85.62,92.32,93.3,94.73,95.94,95.93
geoId-QNH,80.57,86.88,91.82,91.85,91.81,92.52,92.51
geoId-QTI,77.38,85.62,92.63,93.28,93.41,95.25,96.05
geoId-STG,79.36,107.78,114.94,110.3,106.48,104.78,94.69
geoId-SLA,92.33,94.52,95.9,96.16,94.79,94.19,90.4
geoId-THA,73.68,81.78,86.39,86.1,86.27,87.33,87.76
geoId-TBH,71.54,76.64,83.21,84.28,85.02,85.27,86.67
geoId-TNN,91.1,94.34,96.65,95.16,94.08,93.0,91.79
geoId-TTH,91.89,97.43,99.75,101.92,101.69,101.25,100.45
geoId-TGG,65.74,72.39,79.89,82.85,84.37,85.21,85.57
geoId-HCM,67.93,75.1,79.32,80.5,83.05,85.57,88.88
geoId-NT,86.67,90.61,94.7,94.14,93.39,93.57,91.88
geoId-TVH,77.21,95.34,97.78,98.46,95.18,96.13,96.25
geoId-TQG,93.12,94.35,98.42,95.84,94.24,94.96,93.37
geoId-TNN,72.11,78.32,83.21,86.01,86.87,88.56,83.67
geoId-TNH,60.71,66.89,75.28,77.76,80.03,82.42,82.81
geoId-VLG,63.6,71.26,80.54,84.19,87.85,90.17,90.23
geoId-VPC,69.31,75.31,83.83,87.2,88.18,93.86,92.98
geoId-YBI,85.21,90.88,95.32,96.4,96.6,96.71,91.26
geoId-DBN,94.84,96.82,97.51,97.66,97.12,96.96,95.56
geoId-DNG,82.83,88.01,91.51,91.62,91.62,90.99,91.21
geoId-ST,67.94,74.14,79.45,80.75,82.79,84.41,87.08
geoId-DLK,73.86,77.2,82.09,86.48,87.09,88.71,80.91
geoId-DNG1,71.09,78.77,81.18,85.67,87.27,87.4,84.67
geoId-MRD,67.12,78.84,85.36,87.08,87.54,89.53,88.27
geoId-RRD,70.05,83.19,85.84,86.18,87.39,89.03,89.93
geoId-DNI,68.35,74.65,79.59,81.54,82.8,81.86,85.98
geoId-DTP,63.94,73.66,78.02,82.58,85.87,90.6,91.42
